# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:34:50.733589+00:00
date,fund_value_inr,benchmark_value_inr
2023-02-24,10000.00,
2023-02-27,10000.00,
2023-03-01,9999.00,
2023-03-03,10001.00,
2023-03-06,10022.99,
2023-03-09,10015.00,
2023-03-13,10037.99,
2023-03-14,10057.98,
2023-03-16,10060.38,
2023-03-20,10066.58,
2023-03-23,10096.17,
2023-03-27,10111.47,
2023-03-28,10112.97,
2023-03-29,10120.26,
2023-04-05,10166.75,
2023-04-06,10191.94,
2023-04-11,10199.44,
2023-04-13,10202.14,
2023-04-18,10192.94,
2023-04-19,10198.04,
2023-04-21,10200.34,
2023-04-24,10213.64,
2023-04-27,10231.33,
2023-04-28,10225.73,
2023-05-02,10222.53,
2023-05-04,10248.93,
2023-05-10,10242.93,
2023-05-11,10249.33,
2023-05-12,10249.93,
2023-05-17,10267.32,
2023-05-18,10276.92,
2023-05-22,10289.71,
2023-05-23,10304.41,
2023-05-25,10294.81,
2023-05-29,10302.81,
2023-05-30,10297.71,
2023-06-02,10315.41,
2023-06-06,10310.71,
2023-06-07,10320.50,
2023-06-09,10305.31,
2023-06-13,10313.11,
2023-06-14,10315.71,
2023-06-16,10312.81,
2023-06-19,10328.70,
2023-06-22,10327.60,
2023-06-26,10337.30,
2023-06-27,10329.30,
2023-06-30,10335.00,
2023-07-03,10341.70,
2023-07-05,10347.60,
2023-07-07,10338.10,
2023-07-10,10334.90,
2023-07-12,10343.40,
2023-07-14,10361.29,
2023-07-17,10368.29,
2023-07-20,10362.79,
2023-07-24,10375.09,
2023-07-25,10375.09,
2023-07-26,10371.79,
2023-07-31,10373.49,
2023-08-02,10371.89,
2023-08-03,10374.39,
2023-08-07,10386.08,
2023-08-08,10395.28,
2023-08-11,10390.78,
2023-08-14,10395.58,
2023-08-17,10384.28,
2023-08-21,10403.38,
2023-08-23,10409.88,
2023-08-25,10420.27,
2023-08-29,10422.97,
2023-08-30,10421.37,
2023-09-01,10426.97,
2023-09-05,10430.67,
2023-09-07,10439.67,
2023-09-08,10432.07,
2023-09-12,10437.97,
2023-09-13,10440.07,
2023-09-15,10459.66,
2023-09-21,10470.96,
2023-09-22,10465.26,
2023-09-25,10473.96,
2023-09-27,10468.96,
2023-10-03,10471.86,
2023-10-04,10466.56,
2023-10-06,10456.66,
2023-10-10,10461.76,
2023-10-11,10468.86,
2023-10-12,10473.96,
2023-10-16,10471.76,
2023-10-18,10465.36,
2023-10-20,10478.06,
2023-10-25,10487.45,
2023-10-27,10481.06,
2023-10-30,10486.55,
2023-11-01,10489.35,
2023-11-03,10501.45,
2023-11-07,10520.34,
2023-11-09,10534.04,
2023-11-10,10530.94,
2023-11-13,10538.44,
2023-11-17,10547.34,
2023-11-20,10553.33,
2023-11-21,10549.34,
2023-11-24,10558.13,
2023-11-29,10572.13,
2023-11-30,10571.53,
2023-12-01,10572.33,
2023-12-05,10586.92,
2023-12-08,10594.62,
2023-12-11,10598.12,
2023-12-13,10593.82,
2023-12-15,10632.71,
2023-12-18,10638.41,
2023-12-20,10640.71,
2023-12-21,10640.51,
2023-12-26,10655.80,
2023-12-28,10651.50,
2023-12-29,10658.40,
2024-01-02,10668.20,
2024-01-05,10669.30,
2024-01-08,10678.00,
2024-01-09,10682.50,
2024-01-12,10688.69,
2024-01-15,10687.99,
2024-01-17,10697.49,
2024-01-19,10697.39,
2024-01-24,10704.49,
2024-01-29,10720.48,
2024-01-30,10727.08,
2024-02-01,10746.18,
2024-02-02,10752.27,
2024-02-06,10756.77,
2024-02-08,10759.87,
2024-02-09,10760.57,
2024-02-13,10768.47,
2024-02-15,10770.07,
2024-02-16,10771.07,
2024-02-21,10788.16,
2024-02-23,10787.86,
2024-02-27,10802.66,
2024-02-29,10811.16,
2024-03-01,10811.56,
2024-03-06,10823.05,
2024-03-07,10829.75,
2024-03-11,10839.15,
2024-03-14,10843.45,
2024-03-18,10850.84,
2024-03-19,10849.75,
2024-03-20,10858.14,
2024-03-22,10851.54,
2024-03-27,10859.14,
2024-03-28,10868.04,
2024-04-02,10872.64,
2024-04-04,10883.93,
2024-04-08,10889.53,
2024-04-12,10889.23,
2024-04-16,10901.83,
2024-04-19,10894.43,
2024-04-22,10907.13,
2024-04-23,10911.53,
2024-04-26,10912.33,
2024-04-29,10920.72,
2024-05-02,10931.02,
2024-05-06,10952.81,
2024-05-08,10951.61,
2024-05-10,10960.31,
2024-05-13,10967.81,
2024-05-14,10965.91,
2024-05-17,10977.31,
2024-05-21,10988.60,
2024-05-22,10998.00,
2024-05-27,11010.00,
2024-05-30,11011.10,
2024-05-31,11009.00,
2024-06-03,11020.59,
2024-06-05,11012.50,
2024-06-10,11036.49,
2024-06-11,11040.59,
2024-06-12,11040.39,
2024-06-14,11047.99,
2024-06-19,11062.78,
2024-06-21,11070.68,
2024-06-25,11085.27,
2024-06-26,11088.27,
2024-06-28,11085.97,
2024-07-01,11091.97,
2024-07-04,11106.27,
2024-07-05,11108.07,
2024-07-09,11117.16,
2024-07-11,11124.26,
2024-07-15,11137.26,
2024-07-18,11146.06,
2024-07-19,11138.06,
2024-07-22,11157.25,
2024-07-25,11158.65,
2024-07-29,11186.74,
2024-07-30,11182.35,
2024-07-31,11177.95,
2024-08-05,11202.34,
2024-08-06,11203.84,
2024-08-07,11210.54,
2024-08-09,11211.24,
2024-08-13,11224.03,
2024-08-16,11223.93,
2024-08-20,11238.93,
2024-08-22,11244.73,
2024-08-26,11257.32,
2024-08-27,11258.22,
2024-08-28,11260.52,
2024-08-30,11257.62,
2024-09-03,11269.42,
2024-09-05,11271.22,
2024-09-06,11273.92,
2024-09-11,11285.31,
2024-09-13,11295.01,
2024-09-16,11304.31,
2024-09-17,11306.81,
2024-09-20,11317.10,
2024-09-24,11322.90,
2024-09-26,11326.30,
2024-09-27,11330.00,
2024-10-03,11355.09,
2024-10-04,11354.89,
2024-10-08,11362.19,
2024-10-10,11381.59,
2024-10-11,11382.19,
2024-10-15,11393.08,
2024-10-16,11392.98,
2024-10-21,11399.18,
2024-10-23,11398.48,
2024-10-24,11396.78,
2024-10-25,11403.08,
2024-10-30,11400.68,
2024-10-31,11406.98,
2024-11-04,11417.27,
2024-11-07,11425.27,
2024-11-08,11420.57,
2024-11-12,11432.27,
2024-11-14,11437.67,
2024-11-19,11450.26,
2024-11-22,11443.47,
2024-11-25,11450.76,
2024-11-27,11450.16,
2024-11-29,11457.86,
2024-12-02,11474.16,
2024-12-04,11479.86,
2024-12-06,11486.65,
2024-12-09,11495.25,
2024-12-11,11498.75,
2024-12-13,11497.85,
2024-12-17,11509.45,
2024-12-19,11502.15,
2024-12-20,11505.55,
2024-12-24,11509.35,
2024-12-26,11517.34,
2024-12-31,11517.64,
2025-01-01,11523.14,
2025-01-03,11526.74,
2025-01-06,11536.84,
2025-01-09,11545.74,
2025-01-10,11546.34,
2025-01-14,11546.54,
2025-01-16,11560.83,
2025-01-20,11573.13,
2025-01-21,11575.03,
2025-01-23,11580.13,
2025-01-27,11590.52,
2025-01-28,11592.42,
2025-01-29,11593.82,
2025-02-03,11613.42,
2025-02-04,11614.92,
2025-02-06,11627.71,
2025-02-07,11626.81,
2025-02-12,11635.61,
2025-02-13,11634.71,
2025-02-17,11646.61,
2025-02-20,11646.41,
2025-02-21,11647.01,
2025-02-25,11665.20,
2025-02-28,11671.90,
2025-03-04,11677.30,
2025-03-06,11685.39,
2025-03-07,11686.79,
2025-03-11,11696.99,
2025-03-13,11697.19,
2025-03-17,11707.19,
2025-03-19,11709.59,
2025-03-21,11716.49,
2025-03-24,11725.28,
2025-03-27,11741.78,
2025-03-28,11750.27,
2025-04-02,11773.07,
2025-04-04,11778.57,
2025-04-07,11792.76,
2025-04-09,11792.56,
2025-04-15,11820.25,
2025-04-17,11834.55,
2025-04-22,11844.45,
2025-04-23,11855.34,
2025-04-25,11858.44,
2025-04-28,11865.64,
2025-04-30,11874.54,
2025-05-05,11881.84,
2025-05-07,11893.03,
2025-05-09,11888.03,
2025-05-13,11908.83,
2025-05-15,11912.13,
2025-05-16,11919.32,
2025-05-21,11958.21,
2025-05-22,11956.61,
2025-05-26,11969.91,
2025-05-28,11977.31,
2025-05-29,11977.31,
2025-06-02,11986.90,
2025-06-04,11989.30,
2025-06-05,11993.80,
2025-06-09,12019.79,
2025-06-11,12016.69,
2025-06-13,12017.49,
2025-06-16,12022.89,
2025-06-18,12026.49,
2025-06-20,12021.79,
2025-06-23,12021.49,
2025-06-26,12027.49,
2025-06-27,12029.39,
2025-07-01,12036.79,
2025-07-02,12043.79,
2025-07-04,12046.89,
2025-07-08,12059.78,
2025-07-09,12060.38,
2025-07-14,12072.78,
2025-07-15,12076.08,
2025-07-17,12073.08,
2025-07-18,12077.28,
2025-07-23,12091.17,
2025-07-24,12088.47,
2025-07-28,12097.47,
2025-07-29,12098.57,
2025-08-01,12102.57,
2025-08-04,12113.07,
2025-08-06,12112.57,
2025-08-07,12114.47,
2025-08-11,12122.86,
2025-08-13,12120.46,
2025-08-14,12125.16,
2025-08-20,12121.46,
2025-08-22,12124.66,
2025-08-25,12131.46,
2025-08-26,12128.76,
2025-09-01,12141.86,
2025-09-02,12140.06,
2025-09-04,12151.05,
2025-09-09,12168.45,
2025-09-10,12171.85,
2025-09-12,12174.05,
2025-09-15,12178.95,
2025-09-18,12191.94,
2025-09-19,12190.14,
2025-09-23,12195.64,
2025-09-25,12198.24,
2025-09-26,12199.54,
2025-10-03,12213.64,
2025-10-06,12227.03,
2025-10-08,12232.43,
2025-10-10,12231.43,
2025-10-13,12238.23,
2025-10-15,12243.23,
2025-10-17,12249.33,
2025-10-23,12261.42,
2025-10-24,12260.32,
2025-10-28,12273.62,
2025-10-30,12272.42,
2025-10-31,12273.42,
2025-11-04,12280.12,
2025-11-07,12284.81,
2025-11-11,12294.51,
2025-11-12,12296.31,
2025-11-14,12298.21,
2025-11-17,12305.01,
2025-11-20,12309.71,
2025-11-24,12319.40,
2025-11-25,12322.50,
2025-11-27,12327.20,
2025-12-01,12334.20,
2025-12-02,12333.20,
2025-12-04,12339.70,
2025-12-08,12350.00,
2025-12-10,12351.49,
2025-12-11,12356.49,
2025-12-15,12361.99,
2025-12-16,12361.99,
2025-12-19,12366.49,
2025-12-22,12371.59,
2025-12-23,12370.99,
2025-12-29,12383.78,
2025-12-30,12383.19,
2026-01-01,12391.18,
2026-01-05,12398.28,
2026-01-07,12399.08,
2026-01-08,12402.18,
2026-01-12,12410.98,
2026-01-14,12411.78,
2026-01-19,12421.17,
2026-01-20,12421.47,
2026-01-22,12426.27,
2026-01-27,12438.97,
2026-01-28,12438.77,
2026-01-30,12441.67,
2026-02-03,12449.77,
2026-02-04,12452.06,
2026-02-06,12455.36,
2026-02-10,12466.76,
2026-02-11,12467.96,
2026-02-16,12479.66,
2026-02-18,12483.55,
2026-02-20,12487.35,
2026-02-23,12493.65,
2026-02-26,12499.05,
2026-02-27,12503.35,
2026-03-02,12509.25,
2026-03-06,12513.75,
2026-03-09,12517.54,
2026-03-11,12521.44,
2026-03-13,12521.24,
2026-03-16,12525.94,
2026-03-18,12528.64,
2026-03-23,12537.74,
2026-03-24,12537.54,
2026-03-27,12540.84,
2026-04-02,12550.43,
2026-04-06,12560.43,
2026-04-07,12562.73,
2026-04-09,12573.73,
2026-04-13,12581.33,
2026-04-15,12588.62,
2026-04-20,12599.72,
2026-04-21,12601.72,
2026-04-23,12603.42,
2026-04-27,12612.22,
2026-04-29,12615.72,
2026-04-30,12616.91,
2026-05-05,12626.31,
2026-05-07,12630.81,
2026-05-11,12637.11,
2026-05-13,12639.31,
2026-05-14,12640.11,
2026-05-15,12641.11,
2026-05-19,12647.51,
2026-05-21,12649.11,
2026-05-25,12657.60,
2026-05-27,12660.20,
2026-06-01,12670.00,
2026-06-02,12671.90,
2026-06-04,12677.10,
2026-06-08,12687.89,
2026-06-10,12692.79,
2026-06-11,12693.99,
2026-06-15,12703.79,
2026-06-16,12705.39,
2026-06-19,12711.39,
2026-06-22,12717.28,
2026-06-24,12721.28,
2026-06-29,12729.98,
2026-07-01,12733.88,
2026-07-02,12735.48,
2026-07-06,12742.58,
2026-07-07,12743.78,
2026-07-09,12747.68,
2026-07-13,12755.57,
2026-07-14,12756.57,
2026-07-17,12763.07,
2026-07-20,12768.27,
2026-07-22,12772.97,
2026-07-24,12776.47,
2026-07-27,12782.87,
2026-07-29,12786.06,
2026-07-31,12789.66,
2026-08-03,12795.16,
2026-08-05,12798.86,
2026-08-07,12802.76,
2026-08-10,12808.66,
2026-08-12,12811.26,
2026-08-14,12814.96,
2026-08-17,12820.55,
2026-08-20,12825.55,
2026-08-21,12827.05,
2026-08-25,12834.25,
2026-08-28,12839.65,
2026-08-31,12845.05,
2026-09-03,12851.54,
2026-09-04,12853.34,
2026-09-07,12858.84,
2026-09-10,12864.24,
2026-09-15,12874.14,
2026-09-16,12875.94,
2026-09-18,12879.54,
2026-09-21,12884.83,
2026-09-24,12890.03,
2026-09-25,12891.63,
