# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:50.070228+00:00
date,fund_below_high,benchmark_below_high
2023-03-15,0.000000,
2023-03-16,0.000000,
2023-03-20,0.000000,
2023-03-21,-0.000359,
2023-03-24,0.000000,
2023-03-28,0.000000,
2023-03-31,-0.002029,
2023-04-03,-0.001005,
2023-04-06,0.000000,
2023-04-11,-0.002822,
2023-04-12,-0.002166,
2023-04-17,-0.002548,
2023-04-18,-0.000470,
2023-04-20,0.000000,
2023-04-24,0.000000,
2023-04-26,-0.000281,
2023-04-27,0.000000,
2023-05-02,0.000000,
2023-05-04,0.000000,
2023-05-09,-0.001613,
2023-05-11,0.000000,
2023-05-12,0.000000,
2023-05-16,0.000000,
2023-05-17,0.000000,
2023-05-19,-0.002127,
2023-05-23,-0.001774,
2023-05-24,0.000000,
2023-05-29,-0.002184,
2023-05-30,-0.001840,
2023-05-31,0.000000,
2023-06-05,-0.001029,
2023-06-07,-0.000067,
2023-06-08,-0.001856,
2023-06-09,-0.003637,
2023-06-13,-0.001009,
2023-06-15,-0.002028,
2023-06-16,-0.003846,
2023-06-21,-0.004018,
2023-06-22,-0.006103,
2023-06-26,-0.004836,
2023-06-28,-0.003370,
2023-06-30,-0.007369,
2023-07-04,-0.007216,
2023-07-05,-0.006331,
2023-07-07,-0.008892,
2023-07-11,-0.003047,
2023-07-12,-0.004589,
2023-07-17,0.000000,
2023-07-18,0.000000,
2023-07-20,-0.000970,
2023-07-24,0.000000,
2023-07-25,-0.002167,
2023-07-27,-0.002575,
2023-07-31,-0.006262,
2023-08-01,-0.004181,
2023-08-04,-0.007212,
2023-08-07,-0.005369,
2023-08-08,-0.005179,
2023-08-10,-0.002072,
2023-08-14,-0.003630,
2023-08-17,-0.007488,
2023-08-22,-0.004400,
2023-08-24,-0.000694,
2023-08-25,-0.002091,
2023-08-28,0.000000,
2023-08-30,-0.001668,
2023-09-01,-0.000370,
2023-09-05,-0.002863,
2023-09-06,-0.003659,
2023-09-08,-0.000341,
2023-09-12,-0.003384,
2023-09-14,0.000000,
2023-09-15,-0.003602,
2023-09-20,-0.001919,
2023-09-21,-0.004367,
2023-09-26,-0.000908,
2023-09-29,-0.004755,
2023-09-30,-0.004566,
2023-10-04,-0.006050,
2023-10-05,-0.002656,
2023-10-09,-0.015191,
2023-10-11,-0.009879,
2023-10-13,-0.011249,
2023-10-16,-0.012185,
2023-10-18,-0.010985,
2023-10-19,-0.011637,
2023-10-25,-0.009208,
2023-10-26,-0.010597,
2023-10-30,-0.010096,
2023-11-01,-0.007563,
2023-11-02,-0.006012,
2023-11-03,-0.005228,
2023-11-08,-0.001286,
2023-11-10,-0.004122,
2023-11-13,-0.002392,
2023-11-15,0.000000,
2023-11-17,0.000000,
2023-11-21,-0.003659,
2023-11-23,-0.001035,
2023-11-24,-0.003490,
2023-11-29,-0.001157,
2023-12-01,-0.004892,
