# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:53.185673+00:00
stretch_ending,fund_return,benchmark_return
2024-09-06,0.432197,
2024-09-13,0.456965,
2024-09-20,0.450413,
2024-09-27,0.478349,
2024-10-04,0.429752,
2024-10-11,0.458312,
2024-10-18,0.467153,
2024-10-25,0.473848,
2024-10-31,0.429039,
2024-11-08,0.459683,
2024-11-14,0.401593,
2024-11-22,0.420768,
2024-11-29,0.426139,
2024-12-06,0.444698,
2024-12-13,0.399080,
2024-12-20,0.356727,
2024-12-27,0.356767,
2025-01-03,0.380512,
2025-01-10,0.315521,
2025-01-17,0.256089,
2025-01-24,0.284946,
2025-01-31,0.240415,
2025-02-07,0.246475,
2025-02-14,0.189767,
2025-02-21,0.173383,
2025-02-28,0.102249,
2025-03-07,0.132839,
2025-03-13,0.070261,
2025-03-21,0.151003,
2025-03-28,0.154942,
2025-04-04,0.074317,
2025-04-11,0.052572,
2025-04-17,0.121705,
2025-04-25,0.139947,
2025-05-02,0.174741,
2025-05-09,0.173737,
2025-05-16,0.222193,
2025-05-23,0.203566,
2025-05-30,0.242337,
2025-06-06,0.173027,
2025-06-13,0.192862,
2025-06-20,0.186754,
2025-06-27,0.183747,
2025-07-04,0.150278,
2025-07-11,0.081435,
2025-07-18,0.056927,
2025-07-25,-0.002846,
2025-08-01,-0.011404,
2025-08-08,-0.001732,
2025-08-14,-0.040166,
2025-08-22,-0.028624,
2025-08-29,-0.074645,
2025-09-05,-0.064052,
2025-09-12,-0.067600,
2025-09-19,-0.032988,
2025-09-26,-0.097112,
2025-10-03,-0.083502,
2025-10-10,-0.058204,
2025-10-17,-0.066303,
2025-10-24,-0.026212,
2025-10-31,-0.006861,
2025-11-07,-0.048449,
2025-11-14,-0.001926,
2025-11-21,-0.024039,
2025-11-28,-0.041311,
2025-12-05,-0.048211,
2025-12-12,-0.076873,
2025-12-19,-0.033972,
2025-12-26,-0.034744,
2026-01-02,-0.050235,
2026-01-09,-0.058556,
2026-01-16,-0.011150,
2026-01-23,-0.043651,
2026-01-30,-0.034740,
2026-02-06,-0.087556,
2026-02-13,-0.107115,
2026-02-20,-0.112915,
2026-02-27,-0.092069,
2026-03-06,-0.125247,
2026-03-13,-0.116019,
2026-03-20,-0.139412,
2026-03-27,-0.145495,
2026-04-02,-0.079987,
2026-04-10,-0.040221,
2026-04-17,-0.063467,
2026-04-24,-0.148876,
2026-04-30,-0.143118,
2026-05-08,-0.120242,
2026-05-15,-0.204080,
2026-05-22,-0.176761,
2026-05-29,-0.177939,
2026-06-05,-0.188294,
2026-06-12,-0.218535,
2026-06-19,-0.216131,
2026-06-25,-0.236886,
2026-07-03,-0.221033,
2026-07-10,-0.175801,
2026-07-17,-0.145538,
2026-07-24,-0.139627,
2026-07-31,-0.068090,
2026-08-07,-0.054160,
2026-08-14,-0.057771,
2026-08-21,-0.095569,
2026-08-28,-0.073076,
2026-09-04,-0.087670,
2026-09-11,-0.146600,
2026-09-18,-0.156809,
