# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:51.509096+00:00
stretch_ending,fund_return,benchmark_return
2025-08-22,-0.017346,
2025-08-29,-0.054676,
2025-09-05,-0.029477,
2025-09-12,-0.031897,
2025-09-19,-0.024920,
2025-09-26,-0.068461,
2025-10-03,-0.020272,
2025-10-10,-0.013733,
2025-10-17,-0.000020,
2025-10-24,0.054654,
2025-10-31,0.048276,
2025-11-07,0.033940,
2025-11-14,0.086979,
2025-11-21,0.064755,
2025-11-28,0.043752,
2025-12-05,0.007084,
2025-12-12,0.001309,
2025-12-19,0.042136,
2025-12-26,0.043328,
2026-01-02,0.043898,
2026-01-09,0.063680,
2026-01-16,0.069971,
2026-01-23,0.052067,
2026-01-30,0.063847,
2026-02-06,0.074741,
2026-02-13,0.138152,
2026-02-20,0.134015,
2026-02-27,0.175531,
2026-03-06,0.104710,
2026-03-13,0.066971,
2026-03-20,0.007992,
2026-03-27,-0.005404,
2026-04-02,0.016384,
2026-04-10,0.088419,
2026-04-17,0.053932,
2026-04-24,0.052272,
2026-04-30,0.056987,
2026-05-08,0.099590,
2026-05-15,0.005896,
2026-05-22,0.013422,
2026-05-29,0.010110,
2026-06-05,-0.016036,
2026-06-12,-0.001441,
2026-06-19,0.026570,
2026-06-25,-0.004508,
2026-07-03,0.004625,
2026-07-10,0.020208,
2026-07-17,0.014098,
2026-07-24,0.010950,
2026-07-31,0.052550,
2026-08-07,0.079213,
2026-08-14,0.051958,
2026-08-21,0.046217,
2026-08-28,0.074973,
2026-09-04,0.045272,
2026-09-11,0.013696,
2026-09-18,-0.001991,
