# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m0
# Generated: 2026-09-26T10:34:51.480423+00:00
date,nav
2024-08-23,9.99670
2024-08-26,10.05550
2024-08-27,10.08880
2024-08-28,10.08620
2024-08-29,10.07420
2024-08-30,10.12510
2024-09-02,10.12770
2024-09-03,10.14930
2024-09-04,10.14200
2024-09-05,10.16110
2024-09-06,10.04160
2024-09-09,10.03010
2024-09-10,10.10800
2024-09-11,10.05710
2024-09-12,10.19680
2024-09-13,10.22660
2024-09-16,10.24520
2024-09-17,10.24050
2024-09-18,10.20400
2024-09-19,10.16370
2024-09-20,10.30100
2024-09-23,10.38160
2024-09-24,10.38480
2024-09-25,10.36480
2024-09-26,10.39400
2024-09-27,10.38700
2024-09-30,10.31260
2024-10-01,10.33650
2024-10-03,10.12080
2024-10-04,10.02850
2024-10-07,9.84670
2024-10-09,10.06740
2024-10-10,10.06710
2024-10-11,10.08510
2024-10-14,10.12890
2024-10-15,10.15580
2024-10-16,10.13840
2024-10-17,10.00360
2024-10-18,10.02420
2024-10-21,9.92290
2024-10-22,9.69340
2024-10-23,9.72520
2024-10-24,9.69590
2024-10-25,9.54920
2024-10-28,9.62080
2024-10-29,9.68870
2024-10-30,9.69830
2024-10-31,9.70540
2024-11-04,9.63420
2024-11-05,9.69580
2024-11-06,9.85910
2024-11-07,9.77540
2024-11-08,9.68470
2024-11-11,9.63790
2024-11-12,9.52730
2024-11-13,9.32010
2024-11-14,9.35380
2024-11-18,9.32180
2024-11-19,9.37940
2024-11-21,9.31060
2024-11-25,9.61090
2024-11-26,9.62410
2024-11-27,9.68570
2024-11-28,9.63550
2024-11-29,9.70480
2024-12-02,9.77260
2024-12-03,9.85460
2024-12-04,9.90250
2024-12-05,9.96940
2024-12-06,9.99420
2024-12-09,9.99940
2024-12-10,10.01490
2024-12-11,10.03680
2024-12-12,9.98310
2024-12-13,10.00570
2024-12-16,10.02000
2024-12-17,9.92530
2024-12-18,9.85750
2024-12-19,9.79420
2024-12-20,9.59980
2024-12-23,9.62120
2024-12-24,9.62440
2024-12-26,9.63290
2024-12-27,9.64050
2024-12-30,9.60860
2024-12-31,9.62700
2025-01-01,9.67970
2025-01-02,9.80370
2025-01-06,9.53840
2025-01-07,9.60680
2025-01-08,9.53810
2025-01-09,9.45350
2025-01-10,9.31530
2025-01-13,9.03960
2025-01-14,9.15950
2025-01-15,9.19280
2025-01-16,9.27310
2025-01-17,9.26670
2025-01-20,9.32730
2025-01-21,9.15730
2025-01-22,9.10740
2025-01-23,9.18190
2025-01-24,9.06340
2025-01-27,8.85320
2025-01-28,8.82320
2025-01-29,8.99150
2025-01-30,9.00660
2025-01-31,9.13750
2025-02-03,9.05210
2025-02-04,9.18220
2025-02-05,9.23120
2025-02-06,9.18630
2025-02-07,9.17570
2025-02-10,9.03730
2025-02-11,8.82720
2025-02-12,8.80260
2025-02-13,8.79830
2025-02-14,8.64480
2025-02-18,8.61790
2025-02-19,8.69950
2025-02-20,8.76010
2025-02-21,8.69830
2025-02-24,8.60430
2025-02-25,8.57770
2025-02-27,8.51060
2025-02-28,8.32220
2025-03-03,8.31980
2025-03-04,8.34280
2025-03-05,8.50510
2025-03-06,8.58860
2025-03-07,8.59420
2025-03-10,8.49960
2025-03-11,8.50590
2025-03-12,8.48550
2025-03-13,8.44330
2025-03-17,8.48880
2025-03-18,8.65660
2025-03-19,8.77110
2025-03-20,8.84930
2025-03-21,8.95880
2025-03-24,9.06410
2025-03-25,9.00070
2025-03-26,8.92330
2025-03-27,8.98030
2025-03-28,8.95620
2025-03-31,8.95600
2025-04-01,8.85910
2025-04-03,8.95490
2025-04-04,8.74010
2025-04-07,8.43370
2025-04-08,8.59810
2025-04-09,8.53850
2025-04-11,8.72100
2025-04-15,8.95550
2025-04-16,9.01560
2025-04-17,9.11000
2025-04-21,9.26160
2025-04-22,9.30820
2025-04-23,9.36880
2025-04-24,9.34940
2025-04-25,9.18090
2025-04-28,9.27990
2025-04-29,9.28900
2025-04-30,9.22650
2025-05-02,9.21090
2025-05-05,9.30270
2025-05-06,9.17190
2025-05-07,9.24300
2025-05-08,9.13590
2025-05-09,9.07720
2025-05-12,9.42800
2025-05-13,9.39840
2025-05-14,9.48170
2025-05-15,9.58690
2025-05-16,9.65050
2025-05-19,9.66290
2025-05-20,9.54620
2025-05-22,9.56190
2025-05-23,9.63350
2025-05-26,9.68640
2025-05-27,9.66460
2025-05-28,9.66470
