# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:43.196920+00:00
stretch_ending,fund_return,benchmark_return
2026-05-06,0.069302,
2026-05-13,0.068948,
2026-05-20,0.067500,
2026-05-27,0.066753,
2026-06-03,0.067418,
2026-06-10,0.068090,
2026-06-17,0.069515,
2026-06-24,0.069880,
2026-07-01,0.071107,
2026-07-08,0.069760,
2026-07-15,0.069185,
2026-07-22,0.069732,
2026-07-29,0.070008,
2026-08-05,0.070523,
2026-08-12,0.071166,
2026-08-19,0.071114,
2026-08-25,0.070775,
2026-09-02,0.071994,
2026-09-09,0.072522,
2026-09-16,0.071511,
2026-09-23,0.071637,
