# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m0
# Generated: 2026-09-26T10:34:46.409458+00:00
date,nav
2025-07-17,10.01100
2025-07-18,9.97800
2025-07-21,10.05300
2025-07-22,10.12600
2025-07-23,10.15000
2025-07-24,10.12100
2025-07-25,10.04700
2025-07-28,10.00600
2025-07-29,10.06000
2025-07-30,10.04500
2025-07-31,9.99600
2025-08-01,9.86200
2025-08-04,9.93500
2025-08-05,9.89800
2025-08-06,9.78100
2025-08-07,9.84500
2025-08-08,9.72400
2025-08-11,9.83700
2025-08-12,9.83000
2025-08-13,9.94600
2025-08-14,9.97200
2025-08-18,10.05300
2025-08-19,10.13100
2025-08-20,10.14800
2025-08-21,10.16300
2025-08-22,10.14200
2025-08-25,10.17500
2025-08-26,10.02300
2025-08-28,9.92900
2025-08-29,9.88200
2025-09-01,10.02000
2025-09-02,10.01900
2025-09-03,10.11100
2025-09-04,10.09400
2025-09-05,10.11300
2025-09-08,10.16300
2025-09-09,10.20400
2025-09-10,10.26300
2025-09-11,10.27600
2025-09-12,10.30400
2025-09-15,10.31000
2025-09-16,10.37000
2025-09-17,10.45500
2025-09-18,10.51200
2025-09-19,10.53600
2025-09-22,10.44800
2025-09-23,10.41300
2025-09-24,10.32400
2025-09-25,10.24600
2025-09-26,10.01400
2025-09-30,10.05200
2025-10-01,10.12800
2025-10-03,10.17600
2025-10-06,10.24600
2025-10-07,10.29700
2025-10-08,10.24800
2025-10-09,10.30100
2025-10-10,10.36200
2025-10-13,10.33600
2025-10-14,10.29600
2025-10-15,10.40300
2025-10-16,10.47800
2025-10-17,10.45100
2025-10-20,10.44700
2025-10-23,10.44700
2025-10-24,10.43100
2025-10-27,10.47000
2025-10-28,10.48000
2025-10-29,10.48000
2025-10-30,10.47500
2025-10-31,10.44100
2025-11-03,10.52800
2025-11-04,10.47800
2025-11-06,10.38400
2025-11-07,10.37500
2025-11-10,10.42700
2025-11-11,10.44000
2025-11-12,10.48400
2025-11-13,10.41800
2025-11-14,10.45100
2025-11-17,10.55000
2025-11-18,10.47300
2025-11-19,10.52600
2025-11-20,10.53400
2025-11-21,10.41700
2025-11-24,10.32700
2025-11-25,10.32500
2025-11-26,10.44800
2025-11-27,10.44100
2025-11-28,10.47600
2025-12-01,10.48600
2025-12-02,10.47800
2025-12-03,10.39800
2025-12-04,10.39000
2025-12-05,10.37100
2025-12-08,10.19000
2025-12-09,10.26100
2025-12-10,10.20300
2025-12-11,10.31500
2025-12-12,10.38900
2025-12-15,10.34600
2025-12-16,10.22300
2025-12-17,10.17300
2025-12-18,10.16500
2025-12-19,10.32700
2025-12-22,10.39300
2025-12-23,10.39200
2025-12-24,10.35500
2025-12-26,10.29300
2025-12-29,10.24400
2025-12-30,10.22200
2025-12-31,10.27100
2026-01-01,10.27900
2026-01-02,10.34700
2026-01-05,10.31800
2026-01-06,10.30400
2026-01-07,10.38500
2026-01-08,10.25000
2026-01-09,10.18700
2026-01-12,10.15600
2026-01-13,10.18100
2026-01-14,10.20300
2026-01-16,10.13400
2026-01-19,10.08700
2026-01-20,9.85500
2026-01-21,9.84800
2026-01-22,9.95700
2026-01-23,9.74700
2026-01-27,9.69600
2026-01-28,9.90400
2026-01-29,9.91300
2026-01-30,9.94500
2026-02-02,9.82600
