# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:35:28.804131+00:00
stretch_ending,fund_return,benchmark_return
2016-01-01,0.150843,
2016-01-08,0.142128,
2016-01-15,0.142060,
2016-01-22,0.144500,
2016-01-29,0.148285,
2016-02-05,0.148462,
2016-02-12,0.138143,
2016-02-19,0.146647,
2016-02-26,0.151200,
2016-03-11,0.157057,
2016-03-18,0.177976,
2016-03-23,0.183552,
2016-04-01,0.178159,
2016-04-08,0.167066,
2016-04-13,0.166279,
2016-04-22,0.155046,
2016-04-29,0.148671,
2016-05-13,0.136391,
2016-05-20,0.145518,
2016-05-27,0.152898,
2016-06-03,0.164020,
2016-06-10,0.168705,
2016-06-17,0.168301,
2016-06-24,0.169098,
2016-07-01,0.167699,
2016-07-08,0.162974,
2016-07-22,0.182147,
2016-07-29,0.192430,
2016-08-05,0.203806,
2016-08-12,0.209161,
2016-08-19,0.219766,
2016-08-26,0.215613,
2016-09-02,0.213342,
2016-09-09,0.197425,
2016-09-24,0.192830,
2016-09-30,0.165588,
2016-10-07,0.162677,
2016-10-14,0.159235,
2016-10-21,0.155951,
2016-10-28,0.146754,
2016-11-04,0.145273,
2016-11-11,0.142845,
2016-11-25,0.130479,
2016-12-02,0.120017,
2016-12-09,0.126823,
2016-12-16,0.126569,
2016-12-23,0.115551,
2016-12-31,0.125810,
2017-01-06,0.133979,
2017-01-13,0.137506,
2017-01-20,0.135349,
2017-02-03,0.162156,
2017-02-10,0.163098,
2017-02-17,0.159274,
2017-02-23,0.153410,
2017-03-03,0.140595,
2017-03-10,0.141571,
2017-03-17,0.146620,
2017-03-25,0.138284,
2017-04-07,0.128205,
2017-04-13,0.129639,
2017-04-21,0.126340,
2017-04-28,0.134995,
2017-05-05,0.130335,
2017-05-12,0.122364,
2017-05-19,0.100720,
2017-05-26,0.106267,
2017-06-02,0.091424,
2017-06-16,0.089069,
2017-06-23,0.086824,
2017-06-30,0.071681,
2017-07-07,0.084934,
2017-07-14,0.082776,
2017-07-22,0.085799,
2017-07-28,0.091308,
2017-08-04,0.092731,
2017-08-18,0.076222,
2017-08-24,0.073489,
2017-09-01,0.068998,
2017-09-08,0.063404,
2017-09-15,0.069523,
2017-09-22,0.073039,
2017-09-29,0.070320,
2017-10-13,0.090012,
2017-10-18,0.085102,
2017-10-27,0.082209,
2017-11-03,0.077769,
2017-11-10,0.071428,
2017-11-17,0.068961,
2017-11-24,0.069091,
2017-12-01,0.060275,
2017-12-08,0.071640,
2017-12-22,0.079896,
2017-12-29,0.076341,
2018-01-05,0.078009,
2018-01-12,0.072287,
2018-01-19,0.069426,
2018-01-25,0.068193,
2018-02-02,0.067850,
2018-02-09,0.060974,
2018-02-23,0.062275,
2018-03-01,0.053743,
2018-03-09,0.053416,
2018-03-17,0.056349,
2018-03-23,0.056312,
2018-03-28,0.047647,
2018-04-06,0.047073,
2018-04-13,0.051494,
2018-04-27,0.070999,
2018-05-04,0.074458,
2018-05-11,0.071075,
2018-05-18,0.061904,
2018-05-25,0.065432,
2018-06-01,0.072113,
2018-06-08,0.078594,
2018-06-15,0.072467,
2018-06-22,0.065526,
2018-07-06,0.066609,
2018-07-13,0.060688,
2018-07-20,0.061040,
2018-07-27,0.069209,
2018-08-03,0.064962,
2018-08-10,0.072229,
2018-08-17,0.072169,
2018-08-24,0.086922,
2018-09-07,0.093048,
2018-09-14,0.085215,
2018-09-21,0.085054,
2018-09-28,0.079374,
2018-10-05,0.066591,
2018-10-12,0.067386,
2018-10-19,0.060710,
2018-10-26,0.063958,
2018-11-09,0.081952,
2018-11-16,0.080743,
2018-11-22,0.077981,
2018-11-30,0.082804,
2018-12-07,0.086544,
2018-12-14,0.082448,
2018-12-21,0.081877,
2018-12-28,0.080403,
2019-01-04,0.091041,
2019-01-18,0.102409,
2019-01-25,0.095634,
2019-02-01,0.097694,
2019-02-08,0.114342,
2019-02-15,0.104229,
2019-02-22,0.114295,
2019-03-01,0.094558,
2019-03-08,0.096409,
2019-03-15,0.100616,
2019-03-31,0.100160,
2019-04-05,0.105822,
2019-04-12,0.090794,
2019-04-18,0.092407,
2019-04-26,0.094125,
2019-05-03,0.095711,
2019-05-10,0.080970,
2019-05-17,0.087404,
2019-05-31,0.083338,
2019-06-07,0.038947,
2019-06-14,0.040026,
