# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:35:29.854802+00:00
stretch_ending,fund_return,benchmark_return
2016-01-01,0.153469,
2016-01-08,0.144529,
2016-01-15,0.137130,
2016-01-22,0.136891,
2016-01-29,0.142384,
2016-02-05,0.149557,
2016-02-12,0.128208,
2016-02-19,0.134091,
2016-02-26,0.136941,
2016-03-11,0.159403,
2016-03-18,0.178877,
2016-03-23,0.185263,
2016-04-01,0.189504,
2016-04-08,0.189027,
2016-04-13,0.191092,
2016-04-22,0.174221,
2016-04-29,0.164772,
2016-05-13,0.152572,
2016-05-20,0.154929,
2016-05-27,0.171603,
2016-06-03,0.189219,
2016-06-10,0.201060,
2016-06-17,0.191412,
2016-06-24,0.207441,
2016-07-01,0.209209,
2016-07-08,0.208723,
2016-07-22,0.229891,
2016-07-29,0.267422,
2016-08-05,0.288488,
2016-08-12,0.270953,
2016-08-19,0.309195,
2016-08-26,0.314238,
2016-09-02,0.315558,
2016-09-09,0.283937,
2016-09-23,0.287307,
2016-09-30,0.275508,
2016-10-07,0.280056,
2016-10-14,0.276412,
2016-10-21,0.267712,
2016-10-28,0.256693,
2016-11-04,0.240012,
2016-11-11,0.247230,
2016-11-18,0.225937,
2016-12-02,0.217043,
2016-12-09,0.216242,
2016-12-16,0.209193,
2016-12-23,0.197535,
2016-12-30,0.204373,
2017-01-06,0.226166,
2017-01-13,0.233147,
2017-01-20,0.235337,
2017-02-03,0.281553,
2017-02-10,0.276533,
2017-02-17,0.271725,
2017-02-23,0.268245,
2017-03-03,0.250388,
2017-03-10,0.239490,
2017-03-17,0.251611,
2017-03-24,0.246381,
2017-04-07,0.239258,
2017-04-13,0.253952,
2017-04-21,0.237381,
2017-04-28,0.259816,
2017-05-05,0.255850,
2017-05-12,0.230233,
2017-05-19,0.206312,
2017-05-26,0.211721,
2017-06-02,0.198863,
2017-06-16,0.192328,
2017-06-23,0.185597,
2017-06-30,0.169598,
2017-07-07,0.187452,
2017-07-14,0.192136,
2017-07-21,0.186083,
2017-07-28,0.196293,
2017-08-04,0.207905,
2017-08-18,0.183383,
2017-08-24,0.186078,
2017-09-01,0.177203,
2017-09-08,0.177371,
2017-09-15,0.186077,
2017-09-22,0.177651,
2017-09-29,0.175159,
2017-10-13,0.201824,
2017-10-18,0.182026,
2017-10-27,0.178627,
2017-11-03,0.166887,
2017-11-10,0.155549,
2017-11-17,0.149916,
2017-11-24,0.151357,
2017-12-01,0.134613,
2017-12-08,0.154402,
2017-12-15,0.174178,
2017-12-29,0.161978,
2018-01-05,0.172486,
2018-01-12,0.164638,
2018-01-19,0.145090,
2018-01-25,0.132650,
2018-02-02,0.135094,
2018-02-09,0.132380,
2018-02-23,0.128310,
2018-03-01,0.115603,
2018-03-09,0.112585,
2018-03-16,0.113752,
2018-03-23,0.116484,
2018-03-28,0.115463,
2018-04-06,0.121720,
2018-04-13,0.126157,
2018-04-20,0.144256,
2018-05-04,0.149444,
2018-05-11,0.140992,
2018-05-18,0.132434,
2018-05-25,0.133022,
2018-06-01,0.143924,
2018-06-08,0.145309,
2018-06-15,0.139353,
2018-06-22,0.128946,
2018-06-29,0.116846,
2018-07-13,0.124650,
2018-07-20,0.122537,
2018-07-27,0.143816,
2018-08-03,0.131132,
2018-08-10,0.145302,
2018-08-17,0.136531,
2018-08-24,0.178729,
2018-08-31,0.182387,
2018-09-14,0.171389,
2018-09-21,0.157706,
2018-09-28,0.141394,
2018-10-05,0.112640,
2018-10-12,0.126275,
2018-10-19,0.111223,
2018-10-26,0.115645,
2018-11-09,0.147415,
2018-11-16,0.150914,
2018-11-22,0.139553,
2018-11-30,0.148804,
2018-12-07,0.152336,
2018-12-14,0.153614,
2018-12-21,0.149480,
2018-12-28,0.149187,
2019-01-04,0.144930,
2019-01-18,0.174319,
2019-01-25,0.160609,
2019-02-01,0.170198,
2019-02-08,0.176886,
2019-02-15,0.174876,
2019-02-22,0.188184,
2019-03-01,0.174558,
2019-03-08,0.175656,
2019-03-15,0.188792,
2019-03-29,0.177740,
2019-04-05,0.182227,
2019-04-12,0.167761,
2019-04-18,0.165196,
2019-04-26,0.165785,
2019-05-03,0.176735,
2019-05-10,0.164193,
2019-05-24,0.171854,
2019-05-31,0.162378,
2019-06-07,0.154610,
2019-06-14,0.155585,
2019-06-21,0.155399,
2019-06-28,0.153799,
2019-07-05,0.147305,
2019-07-12,0.136949,
2019-07-26,0.117953,
2019-08-02,0.110379,
2019-08-09,0.114565,
2019-08-16,0.108359,
2019-08-23,0.100471,
2019-08-30,0.100129,
2019-09-06,0.088831,
2019-09-13,0.100505,
2019-09-20,0.112912,
2019-09-27,0.122636,
2019-10-11,0.112142,
2019-10-18,0.119412,
2019-10-25,0.122528,
2019-11-01,0.134368,
2019-11-08,0.141129,
2019-11-15,0.160134,
2019-11-22,0.160324,
2019-12-06,0.149738,
2019-12-13,0.157356,
2019-12-20,0.172655,
2019-12-27,0.175120,
2020-01-03,0.158986,
2020-01-10,0.147382,
2020-01-17,0.149836,
2020-01-24,0.133916,
2020-01-31,0.124286,
2020-02-14,0.137918,
2020-02-20,0.124470,
2020-02-28,0.104805,
2020-03-06,0.104673,
2020-03-13,0.067072,
2020-03-20,0.021996,
2020-03-27,0.002512,
2020-04-03,-0.026252,
2020-04-17,0.011703,
2020-04-24,-0.008127,
2020-04-30,0.011765,
2020-05-08,-0.015235,
2020-05-15,-0.017303,
2020-05-22,-0.007009,
2020-05-29,-0.004211,
2020-06-05,0.011215,
2020-06-19,0.011751,
2020-06-26,0.025909,
2020-07-03,0.025390,
2020-07-10,0.026309,
2020-07-17,0.024188,
2020-07-24,0.021442,
2020-07-31,0.014019,
2020-08-07,0.020913,
2020-08-14,0.016476,
2020-08-28,0.026446,
2020-09-04,0.016803,
2020-09-11,0.008631,
2020-09-18,0.006826,
2020-09-25,0.008920,
2020-10-01,0.013955,
2020-10-09,0.018550,
2020-10-16,0.008255,
2020-10-30,0.006652,
2020-11-06,0.028263,
2020-11-13,0.051957,
2020-11-20,0.056956,
2020-11-27,0.066251,
2020-12-04,0.085883,
2020-12-11,0.081363,
2020-12-18,0.078058,
2020-12-24,0.074438,
2021-01-08,0.094679,
2021-01-15,0.093344,
2021-01-22,0.088951,
2021-01-29,0.073194,
2021-02-05,0.125825,
2021-02-12,0.128665,
2021-02-19,0.132985,
2021-02-26,0.121289,
2021-03-12,0.135612,
2021-03-19,0.138918,
2021-03-26,0.135141,
2021-04-01,0.139599,
2021-04-09,0.128733,
2021-04-16,0.118409,
2021-04-23,0.117113,
2021-05-07,0.127655,
2021-05-14,0.119535,
2021-05-21,0.142305,
2021-05-28,0.135169,
2021-06-04,0.143900,
2021-06-11,0.145918,
2021-06-18,0.142798,
