# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m0
# Generated: 2026-09-26T10:35:31.186688+00:00
date,nav
2024-06-24,9.98990
2024-06-25,9.99690
2024-06-26,10.01900
2024-06-27,9.90510
2024-06-28,9.91100
2024-07-01,10.05620
2024-07-02,10.10990
2024-07-03,10.21550
2024-07-04,10.23680
2024-07-05,10.31400
2024-07-09,10.29260
2024-07-10,10.18990
2024-07-11,10.26440
2024-07-12,10.24310
2024-07-15,10.28320
2024-07-16,10.27670
2024-07-18,10.18690
2024-07-19,9.97550
2024-07-23,9.99380
2024-07-24,10.18180
2024-07-25,10.17480
2024-07-26,10.26620
2024-07-29,10.35970
2024-07-30,10.42340
2024-07-31,10.37980
2024-08-01,10.32540
2024-08-05,9.82440
2024-08-06,9.81100
2024-08-07,10.05010
2024-08-08,10.07530
2024-08-09,10.18760
2024-08-12,10.24670
2024-08-13,10.09540
2024-08-14,10.07250
2024-08-19,10.48180
2024-08-20,10.55060
2024-08-21,10.62440
2024-08-22,10.66990
2024-08-23,10.72270
2024-08-26,10.70680
2024-08-27,10.75250
2024-08-28,10.75940
2024-08-29,10.69050
2024-08-30,10.82960
2024-09-03,10.86400
2024-09-04,10.83080
2024-09-05,10.87540
2024-09-06,10.80670
2024-09-09,10.71330
2024-09-10,10.88450
2024-09-11,10.77850
2024-09-13,11.00170
2024-09-16,11.06830
2024-09-17,11.03560
2024-09-18,11.02260
2024-09-19,10.88470
2024-09-20,11.02320
2024-09-23,11.11720
2024-09-24,11.11780
2024-09-25,11.09900
2024-09-26,11.01020
2024-09-30,11.04060
2024-10-01,11.09280
2024-10-03,10.90850
2024-10-04,10.78650
2024-10-07,10.42460
2024-10-08,10.73870
2024-10-09,10.87710
2024-10-10,10.90290
2024-10-14,10.97730
2024-10-15,11.08830
2024-10-16,11.11510
2024-10-17,10.91870
2024-10-18,10.86420
2024-10-21,10.73810
2024-10-22,10.29080
2024-10-23,10.48340
2024-10-25,10.15470
2024-10-28,10.30080
2024-10-29,10.39870
2024-10-30,10.49500
2024-10-31,10.65020
2024-11-04,10.60960
2024-11-05,10.67360
2024-11-06,10.85860
2024-11-07,10.80170
2024-11-11,10.45910
2024-11-12,10.34080
2024-11-13,10.02970
2024-11-14,10.13810
2024-11-18,10.01240
2024-11-19,10.08970
2024-11-21,10.06650
2024-11-25,10.31550
2024-11-26,10.36880
2024-11-27,10.50200
2024-11-28,10.51200
2024-11-29,10.61690
2024-12-02,10.69200
2024-12-03,10.77440
2024-12-04,10.83900
2024-12-05,10.91250
2024-12-09,11.06430
2024-12-10,11.04090
2024-12-11,11.07300
2024-12-12,10.96310
2024-12-13,10.94650
2024-12-16,11.00110
2024-12-17,10.95470
2024-12-18,10.85960
2024-12-19,10.84430
2024-12-23,10.61140
2024-12-24,10.66450
2024-12-26,10.68850
2024-12-27,10.72370
2024-12-30,10.62080
2024-12-31,10.66470
2025-01-01,10.78700
2025-01-02,10.85190
2025-01-06,10.44650
2025-01-07,10.66390
2025-01-08,10.54930
2025-01-09,10.39000
2025-01-10,10.10910
2025-01-13,9.64090
2025-01-14,9.77720
2025-01-15,9.83030
2025-01-16,9.94300
2025-01-20,9.94920
2025-01-21,9.67350
2025-01-22,9.59790
2025-01-23,9.68010
2025-01-24,9.50300
2025-01-27,9.17550
2025-01-28,9.02820
2025-01-29,9.40540
2025-01-31,9.53990
2025-02-03,9.46390
2025-02-04,9.63370
2025-02-05,9.78880
2025-02-06,9.77310
2025-02-07,9.72370
2025-02-10,9.55000
2025-02-11,9.18360
2025-02-13,9.16300
2025-02-14,8.88830
2025-02-17,8.87740
2025-02-18,8.72420
2025-02-19,8.87890
2025-02-20,8.96770
2025-02-21,8.92110
2025-02-24,8.82090
2025-02-25,8.81110
2025-02-28,8.44510
2025-03-03,8.40950
2025-03-04,8.55410
2025-03-05,8.75140
2025-03-06,8.92570
2025-03-07,8.96260
2025-03-10,8.77190
2025-03-11,8.71160
2025-03-13,8.60690
2025-03-17,8.61780
2025-03-18,8.84550
2025-03-19,8.97060
2025-03-20,9.06830
2025-03-21,9.18530
2025-03-24,9.27820
2025-03-25,9.11360
2025-03-26,8.97860
2025-03-28,9.08540
2025-03-31,9.08500
2025-04-01,9.09350
2025-04-02,9.16770
2025-04-03,9.22360
2025-04-04,8.82870
2025-04-07,8.41050
2025-04-08,8.67770
2025-04-09,8.59650
2025-04-15,9.17590
2025-04-16,9.30110
2025-04-17,9.39180
2025-04-21,9.50130
2025-04-22,9.58330
2025-04-23,9.59470
2025-04-24,9.63340
2025-04-25,9.43950
2025-04-29,9.43660
2025-04-30,9.27730
2025-05-02,9.28640
2025-05-05,9.41740
2025-05-06,9.17540
2025-05-07,9.27550
2025-05-08,9.15550
2025-05-09,9.11100
2025-05-12,9.51000
2025-05-14,9.68240
2025-05-15,9.76650
2025-05-16,9.78880
