# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:33:46.939413+00:00
date,fund_value_inr,benchmark_value_inr
2013-03-08,10000.00,
2013-03-14,10029.59,
2013-03-26,10058.78,
2013-04-02,10103.87,
2013-04-10,10114.36,
2013-05-02,10195.04,
2013-05-03,10187.74,
2013-05-21,10247.82,
2013-05-24,10247.02,
2013-06-10,10282.71,
2013-06-14,10282.91,
2013-06-19,10306.40,
2013-07-08,10346.09,
2013-07-15,10356.49,
2013-07-24,10217.43,
2013-07-29,10256.82,
2013-08-08,10280.61,
2013-08-20,10250.72,
2013-08-30,10277.01,
2013-09-05,10346.49,
2013-09-17,10371.88,
2013-09-25,10442.26,
2013-10-08,10506.64,
2013-10-18,10525.53,
2013-10-29,10560.32,
2013-11-05,10578.51,
2013-11-14,10584.61,
2013-12-03,10647.49,
2013-12-11,10665.99,
2013-12-17,10686.98,
2013-12-27,10711.07,
2014-01-06,10740.06,
2014-01-10,10747.96,
2014-01-27,10790.15,
2014-01-31,10799.84,
2014-02-14,10834.03,
2014-02-24,10858.53,
2014-03-06,10884.22,
2014-03-13,10912.11,
2014-03-24,10963.99,
2014-04-11,11004.68,
2014-04-21,11035.37,
2014-04-30,11054.86,
2014-05-09,11085.35,
2014-05-19,11120.64,
2014-05-29,11150.93,
2014-06-09,11191.22,
2014-06-20,11211.61,
2014-07-02,11248.70,
2014-07-11,11255.70,
2014-07-21,11288.59,
2014-07-25,11295.49,
2014-08-04,11321.78,
2014-08-14,11344.17,
2014-09-01,11396.05,
2014-09-05,11406.75,
2014-09-12,11424.24,
2014-09-26,11464.03,
2014-10-07,11496.72,
2014-10-22,11541.91,
2014-11-07,11590.19,
2014-11-10,11597.69,
2014-11-21,11625.18,
2014-12-01,11652.37,
2014-12-15,11688.26,
2014-12-19,11696.06,
2015-01-05,11741.94,
2015-01-09,11751.94,
2015-01-19,11778.83,
2015-01-23,11789.03,
2015-02-06,11825.42,
2015-02-13,11843.71,
2015-03-04,11914.99,
2015-03-09,11926.18,
2015-03-20,11953.47,
2015-04-06,12022.05,
2015-04-08,12021.75,
2015-04-20,12051.44,
2015-05-08,12081.73,
2015-05-11,12091.83,
2015-05-25,12144.81,
2015-05-29,12157.01,
2015-06-08,12194.90,
2015-06-19,12224.29,
2015-06-26,12241.98,
2015-07-06,12274.97,
2015-07-17,12306.16,
2015-07-24,12327.56,
2015-08-03,12361.94,
2015-08-14,12389.94,
2015-08-20,12404.23,
2015-09-07,12447.32,
2015-09-11,12453.71,
2015-09-24,12488.40,
2015-10-05,12538.39,
2015-10-09,12545.19,
2015-10-26,12584.47,
2015-11-06,12611.66,
2015-11-16,12634.46,
2015-11-20,12644.85,
2015-12-07,12684.24,
2015-12-11,12692.74,
2015-12-23,12721.43,
2016-01-04,12755.62,
2016-01-08,12764.52,
2016-01-22,12798.50,
2016-02-01,12822.60,
2016-02-12,12849.79,
2016-02-25,12877.28,
2016-03-02,12906.67,
2016-03-10,12916.37,
2016-03-28,12976.15,
2016-04-04,13060.22,
2016-04-20,13104.81,
2016-04-29,13120.60,
2016-05-06,13135.30,
2016-05-16,13167.79,
2016-05-27,13195.48,
2016-06-03,13212.77,
2016-06-13,13248.56,
2016-06-24,13280.55,
2016-06-30,13293.65,
2016-07-13,13349.23,
2016-07-25,13377.92,
2016-08-01,13395.41,
2016-08-12,13420.21,
2016-08-22,13444.60,
2016-09-02,13470.39,
2016-09-06,13479.99,
2016-09-23,13523.07,
2016-09-26,13535.57,
2016-10-17,13596.45,
2016-10-21,13603.95,
2016-10-28,13618.64,
2016-11-11,13660.53,
2016-11-21,13696.52,
2016-11-25,13713.61,
2016-12-08,13724.81,
2016-12-19,13752.10,
2016-12-29,13774.39,
2017-01-03,13787.99,
2017-01-13,13809.58,
2017-01-30,13848.47,
2017-02-03,13857.47,
2017-02-17,13889.46,
2017-02-27,13910.95,
2017-03-07,13931.94,
2017-03-21,13954.63,
2017-03-24,13959.83,
2017-04-03,13998.72,
2017-04-13,14013.12,
2017-04-28,14044.71,
2017-05-08,14068.70,
2017-05-19,14091.99,
2017-05-29,14114.98,
2017-06-09,14144.07,
2017-06-20,14179.86,
2017-06-28,14181.56,
2017-07-03,14176.96,
2017-07-11,14240.44,
2017-07-24,14325.92,
2017-08-03,14372.00,
2017-08-11,14370.50,
2017-08-21,14397.69,
2017-09-04,14443.18,
2017-09-11,14448.78,
