# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:33:45.717870+00:00
date,fund_value_inr,benchmark_value_inr
2013-01-02,10000.00,
2013-01-07,10035.79,
2013-01-14,10079.40,
2013-01-23,10060.07,
2013-02-04,10072.85,
2013-02-14,10127.77,
2013-02-28,10145.51,
2013-03-04,10171.31,
2013-03-18,10209.26,
2013-03-26,10211.11,
2013-04-04,10232.02,
2013-04-22,10318.66,
2013-05-07,10363.67,
2013-05-14,10416.49,
2013-05-17,10417.45,
2013-05-27,10446.56,
2013-06-06,10455.02,
2013-06-20,10405.69,
2013-06-26,10400.60,
2013-07-11,10492.71,
2013-07-16,10408.93,
2013-07-24,10348.67,
2013-08-08,10540.20,
2013-08-19,10253.44,
2013-08-22,10537.97,
2013-09-03,10561.43,
2013-09-19,10794.47,
2013-09-23,10585.27,
2013-10-08,10910.16,
2013-10-15,10866.30,
2013-10-29,10964.76,
2013-11-08,10881.81,
2013-11-19,10988.92,
2013-11-22,10964.57,
2013-12-02,11022.42,
2013-12-13,10970.80,
2013-12-19,11041.87,
2014-01-01,11030.68,
2014-01-16,11153.88,
2014-01-20,11209.50,
2014-01-30,11107.98,
2014-02-13,11139.64,
2014-02-18,11207.59,
2014-03-07,11243.70,
2014-03-12,11271.54,
2014-03-28,11330.40,
2014-04-04,11320.74,
2014-04-21,11391.18,
2014-05-05,11437.83,
2014-05-15,11460.59,
2014-05-23,11559.69,
2014-06-02,11594.15,
2014-06-06,11654.73,
2014-06-23,11634.64,
2014-07-02,11704.56,
2014-07-10,11695.92,
2014-07-18,11727.70,
2014-07-24,11806.21,
2014-08-06,11748.17,
2014-08-20,11850.58,
2014-08-28,11841.49,
2014-09-10,11882.23,
2014-09-18,11942.12,
2014-09-30,11942.12,
2014-10-08,12000.85,
2014-10-22,12072.68,
2014-11-05,12194.10,
2014-11-13,12186.79,
2014-11-27,12254.17,
2014-12-02,12343.67,
2014-12-12,12441.44,
2014-12-17,12366.43,
2015-01-06,12431.33,
2015-01-14,12514.60,
2015-01-16,12593.75,
2015-02-02,12674.99,
2015-02-05,12647.02,
2015-02-20,12690.37,
2015-03-04,12716.11,
2015-03-13,12699.08,
2015-03-26,12739.13,
2015-04-06,12805.04,
2015-04-10,12792.65,
2015-04-22,12840.52,
2015-05-07,12779.43,
2015-05-19,12861.30,
2015-05-29,12885.84,
2015-06-04,12825.20,
2015-06-16,12826.72,
2015-06-19,12939.87,
2015-06-29,12873.82,
2015-07-10,12965.49,
2015-07-20,12958.05,
2015-07-28,13022.95,
2015-08-05,13028.93,
2015-08-24,13075.21,
2015-08-28,13141.57,
2015-09-10,13179.58,
2015-09-22,13237.49,
2015-09-30,13342.19,
2015-10-07,13351.03,
2015-10-15,13385.61,
2015-11-02,13428.13,
2015-11-09,13426.74,
2015-11-17,13457.12,
2015-11-30,13468.63,
2015-12-07,13510.01,
2015-12-22,13553.62,
2015-12-28,13574.59,
2016-01-11,13634.86,
2016-01-15,13631.68,
2016-01-27,13688.76,
2016-02-11,13716.22,
2016-02-23,13693.97,
2016-02-25,13647.06,
2016-03-04,13766.31,
2016-03-22,13845.96,
2016-04-04,13944.56,
2016-04-11,13984.22,
2016-04-26,13993.82,
2016-05-09,14047.66,
2016-05-16,14072.07,
2016-05-20,14075.70,
2016-06-01,14107.73,
2016-06-09,14142.82,
2016-06-24,14190.24,
2016-06-30,14216.05,
2016-07-13,14324.94,
2016-07-18,14332.00,
2016-08-01,14399.13,
2016-08-04,14399.45,
2016-08-16,14444.58,
2016-09-02,14492.38,
2016-09-07,14523.34,
2016-09-21,14567.52,
2016-10-04,14679.46,
2016-10-07,14673.29,
2016-10-24,14725.42,
2016-11-04,14737.50,
2016-11-11,14803.93,
2016-11-24,15025.33,
2016-12-05,15038.49,
2016-12-07,14972.76,
2016-12-19,14941.68,
2016-12-27,14929.28,
2017-01-04,15024.51,
2017-01-19,15036.46,
