# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:33:51.655106+00:00
stretch_ending,fund_return,benchmark_return
2016-01-01,0.097394,
2016-01-08,0.084743,
2016-01-15,0.067477,
2016-01-22,0.064698,
2016-01-29,0.081301,
2016-02-05,0.079298,
2016-02-12,0.051741,
2016-02-19,0.062559,
2016-02-26,0.053273,
2016-03-04,0.078501,
2016-03-18,0.107632,
2016-03-23,0.119003,
2016-04-01,0.114536,
2016-04-08,0.114780,
2016-04-13,0.124313,
2016-04-22,0.115285,
2016-04-29,0.099924,
2016-05-06,0.093104,
2016-05-20,0.095205,
2016-05-27,0.107051,
2016-06-03,0.116897,
2016-06-10,0.141324,
2016-06-17,0.134860,
2016-06-24,0.151348,
2016-07-01,0.159309,
2016-07-15,0.164070,
2016-07-22,0.180278,
2016-07-29,0.200590,
2016-08-05,0.215624,
2016-08-12,0.186476,
2016-08-19,0.238354,
2016-08-26,0.249879,
2016-09-02,0.246119,
2016-09-09,0.215828,
2016-09-16,0.205417,
2016-09-30,0.204601,
2016-10-07,0.219915,
2016-10-14,0.212420,
2016-10-21,0.203509,
2016-10-28,0.202533,
2016-11-04,0.184502,
2016-11-11,0.202408,
2016-11-18,0.173252,
2016-12-02,0.180321,
2016-12-09,0.192445,
2016-12-16,0.187435,
2016-12-23,0.176473,
2016-12-30,0.180747,
2017-01-06,0.209698,
2017-01-13,0.224154,
2017-01-27,0.259163,
2017-02-03,0.256555,
2017-02-10,0.270102,
2017-02-17,0.262010,
2017-02-23,0.261489,
2017-03-03,0.258319,
2017-03-10,0.234049,
2017-03-17,0.244712,
2017-03-24,0.234268,
2017-03-31,0.225274,
2017-04-13,0.241072,
2017-04-21,0.232188,
2017-04-28,0.254058,
2017-05-05,0.254483,
2017-05-12,0.234605,
2017-05-19,0.193010,
2017-05-26,0.190396,
2017-06-09,0.167306,
2017-06-16,0.178467,
2017-06-23,0.175717,
2017-06-30,0.160484,
2017-07-07,0.191117,
2017-07-14,0.190023,
2017-07-21,0.189593,
2017-07-28,0.200833,
2017-08-04,0.204998,
2017-08-18,0.192978,
2017-08-24,0.199284,
2017-09-01,0.189051,
2017-09-08,0.188181,
2017-09-15,0.189104,
2017-09-22,0.181644,
2017-09-29,0.188738,
2017-10-13,0.221813,
2017-10-18,0.207251,
2017-10-27,0.220811,
2017-11-03,0.222121,
2017-11-10,0.209038,
2017-11-17,0.191193,
2017-11-24,0.206924,
2017-12-01,0.200415,
2017-12-08,0.216025,
2017-12-15,0.237066,
2017-12-29,0.224767,
2018-01-05,0.244242,
2018-01-12,0.237929,
2018-01-19,0.213844,
2018-01-25,0.201749,
2018-02-02,0.187702,
2018-02-09,0.199227,
2018-02-23,0.187381,
2018-03-01,0.169953,
2018-03-09,0.161364,
2018-03-16,0.165279,
2018-03-23,0.164643,
2018-03-28,0.155311,
2018-04-06,0.162107,
2018-04-13,0.158971,
2018-04-27,0.190196,
2018-05-04,0.189046,
2018-05-11,0.183453,
2018-05-18,0.160235,
2018-05-25,0.167428,
2018-06-01,0.167884,
2018-06-08,0.162191,
2018-06-15,0.154839,
2018-06-22,0.133980,
2018-06-29,0.111590,
2018-07-13,0.096707,
2018-07-20,0.082459,
2018-07-27,0.112562,
2018-08-03,0.109890,
2018-08-10,0.123363,
2018-08-17,0.115789,
2018-08-24,0.153453,
2018-08-31,0.156614,
2018-09-14,0.144649,
2018-09-21,0.131790,
2018-09-28,0.103005,
2018-10-05,0.078455,
2018-10-12,0.085969,
2018-10-19,0.073217,
2018-10-26,0.067620,
2018-11-09,0.121005,
2018-11-16,0.118833,
2018-11-22,0.106950,
2018-11-30,0.105141,
2018-12-07,0.112269,
2018-12-14,0.108347,
2018-12-21,0.109463,
2018-12-28,0.109249,
2019-01-04,0.104832,
2019-01-18,0.145143,
2019-01-25,0.116804,
2019-02-01,0.119222,
2019-02-08,0.121738,
2019-02-15,0.125930,
2019-02-22,0.143685,
2019-03-01,0.139874,
2019-03-08,0.151150,
2019-03-15,0.170218,
2019-03-29,0.157825,
2019-04-05,0.159994,
2019-04-12,0.145941,
2019-04-18,0.139560,
2019-04-26,0.138749,
2019-05-03,0.145446,
2019-05-10,0.130438,
2019-05-24,0.169920,
2019-05-31,0.167298,
2019-06-07,0.152531,
2019-06-14,0.146666,
2019-06-21,0.144107,
2019-06-28,0.143890,
2019-07-05,0.126389,
2019-07-12,0.108715,
2019-07-26,0.079725,
2019-08-02,0.074603,
2019-08-09,0.070897,
2019-08-16,0.064569,
2019-08-23,0.038269,
2019-08-30,0.040425,
2019-09-06,0.041512,
2019-09-13,0.058076,
2019-09-20,0.062389,
2019-10-04,0.041371,
2019-10-11,0.045181,
2019-10-18,0.050944,
2019-10-25,0.041942,
2019-11-01,0.052395,
2019-11-08,0.056087,
2019-11-15,0.068985,
2019-11-22,0.063075,
2019-12-06,0.045174,
2019-12-13,0.045197,
2019-12-20,0.048759,
2019-12-27,0.049711,
2020-01-03,0.053478,
2020-01-10,0.040845,
2020-01-17,0.043537,
2020-01-24,0.046578,
2020-02-07,0.022832,
2020-02-14,0.024716,
2020-02-20,0.014611,
2020-02-28,-0.020108,
2020-03-06,-0.026222,
2020-03-13,-0.071401,
2020-03-20,-0.106007,
2020-03-27,-0.131843,
2020-04-03,-0.151976,
2020-04-17,-0.106988,
2020-04-24,-0.124535,
2020-04-30,-0.114369,
2020-05-08,-0.134804,
2020-05-15,-0.134220,
2020-05-22,-0.120839,
2020-05-29,-0.117895,
2020-06-05,-0.093985,
2020-06-19,-0.093964,
2020-06-26,-0.082063,
2020-07-03,-0.087615,
2020-07-10,-0.094939,
2020-07-17,-0.103194,
2020-07-24,-0.103288,
2020-07-31,-0.106909,
2020-08-07,-0.096406,
2020-08-21,-0.071821,
2020-08-28,-0.077373,
2020-09-04,-0.091384,
2020-09-11,-0.103550,
2020-09-18,-0.096472,
2020-09-25,-0.100938,
2020-10-01,-0.101222,
2020-10-09,-0.107076,
2020-10-16,-0.119139,
2020-10-30,-0.129832,
2020-11-06,-0.116998,
2020-11-13,-0.103089,
2020-11-20,-0.099592,
2020-11-27,-0.096461,
2020-12-04,-0.069958,
2020-12-11,-0.072438,
2020-12-18,-0.076618,
2020-12-24,-0.086906,
2021-01-08,-0.069601,
2021-01-15,-0.066856,
2021-01-22,-0.068170,
2021-01-29,-0.065931,
2021-02-05,-0.016575,
2021-02-12,-0.008388,
2021-02-19,0.003847,
2021-03-05,0.027173,
2021-03-12,0.020803,
2021-03-19,0.016006,
2021-03-26,0.020216,
2021-04-01,0.025627,
2021-04-09,0.023008,
2021-04-16,0.009461,
2021-04-23,0.002686,
2021-05-07,0.023266,
2021-05-14,0.032491,
2021-05-21,0.060453,
2021-05-28,0.063246,
2021-06-04,0.093473,
2021-06-11,0.091178,
2021-06-18,0.099135,
2021-06-25,0.119550,
2021-07-02,0.126239,
2021-07-16,0.151410,
2021-07-23,0.141051,
2021-07-30,0.135651,
2021-08-06,0.138210,
2021-08-13,0.139668,
2021-08-20,0.125163,
2021-08-27,0.123763,
2021-09-03,0.152736,
2021-09-17,0.162210,
2021-09-24,0.170677,
2021-10-01,0.190777,
2021-10-08,0.206312,
2021-10-14,0.215759,
2021-10-22,0.226364,
2021-10-29,0.214143,
2021-11-03,0.211414,
2021-11-12,0.220793,
2021-11-26,0.198786,
2021-12-03,0.207826,
2021-12-10,0.217797,
2021-12-17,0.193114,
2021-12-24,0.199075,
2021-12-31,0.200059,
2022-01-07,0.215347,
2022-01-14,0.227749,
2022-01-28,0.224790,
2022-02-04,0.241604,
2022-02-11,0.236657,
2022-02-18,0.222526,
2022-02-25,0.201276,
2022-03-04,0.161021,
2022-03-11,0.145417,
2022-03-17,0.152274,
2022-04-01,0.164809,
2022-04-08,0.186354,
2022-04-13,0.181065,
2022-04-22,0.184174,
2022-04-29,0.177540,
2022-05-06,0.176800,
2022-05-13,0.163152,
2022-05-20,0.153734,
2022-05-27,0.121355,
2022-06-10,0.127287,
2022-06-17,0.114701,
2022-06-24,0.106709,
2022-07-01,0.109765,
2022-07-08,0.146356,
2022-07-15,0.145893,
2022-07-22,0.177967,
2022-07-29,0.196026,
2022-08-12,0.220133,
2022-08-19,0.238017,
2022-08-26,0.237333,
2022-09-02,0.250128,
2022-09-09,0.240846,
2022-09-16,0.245305,
2022-09-23,0.216543,
2022-09-30,0.218123,
2022-10-07,0.229105,
2022-10-21,0.213428,
2022-10-28,0.212826,
2022-11-04,0.223821,
2022-11-11,0.229047,
2022-11-18,0.221751,
2022-11-25,0.233544,
2022-12-02,0.245507,
2022-12-09,0.254862,
2022-12-23,0.218345,
2022-12-30,0.222286,
2023-01-06,0.222863,
2023-01-13,0.211771,
2023-01-20,0.212832,
