# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:33:48.170195+00:00
date,nav
2017-03-06,10.00130
2017-03-10,9.98870
2017-03-20,10.01400
2017-03-22,10.04160
2017-04-03,10.10150
2017-04-07,10.07150
2017-04-17,10.12980
2017-04-20,10.14260
2017-04-26,10.12770
2017-05-04,10.14410
2017-05-15,10.19490
2017-05-19,10.20030
2017-05-26,10.23150
2017-06-06,10.26060
2017-06-09,10.31340
2017-06-15,10.32710
2017-06-27,10.33950
2017-07-03,10.33510
2017-07-10,10.37850
2017-07-14,10.39500
2017-07-24,10.44380
2017-07-28,10.44830
2017-08-03,10.47780
2017-08-11,10.48670
2017-08-21,10.50770
2017-08-24,10.50960
2017-09-04,10.54220
2017-09-11,10.55210
2017-09-15,10.54580
2017-09-22,10.53850
2017-09-29,10.55580
2017-10-03,10.57830
2017-10-11,10.57970
2017-10-17,10.60490
2017-10-27,10.62480
2017-11-06,10.63680
2017-11-13,10.64170
2017-11-16,10.61970
2017-11-21,10.65200
2017-11-28,10.64000
2017-12-07,10.66100
2017-12-18,10.65550
2017-12-21,10.63830
2017-12-28,10.62280
2018-01-08,10.66580
2018-01-10,10.65310
2018-01-16,10.64970
2018-01-23,10.67830
2018-02-01,10.66220
2018-02-08,10.70080
2018-02-14,10.71470
2018-02-22,10.68650
2018-03-01,10.68780
2018-03-12,10.74660
2018-03-16,10.78070
2018-03-26,10.79370
2018-04-03,10.86000
2018-04-09,10.89390
2018-04-17,10.86960
2018-04-20,10.83150
2018-04-26,10.80120
2018-05-07,10.83330
2018-05-16,10.78240
2018-05-17,10.77290
2018-05-30,10.82960
2018-06-01,10.81660
2018-06-07,10.81240
2018-06-15,10.84830
2018-06-25,10.89010
2018-06-29,10.87740
2018-07-04,10.89440
2018-07-11,10.90430
2018-07-17,10.93330
2018-07-26,10.94840
2018-08-02,10.98320
2018-08-03,10.98220
2018-08-16,11.00180
2018-08-27,11.03200
2018-09-03,11.03550
2018-09-04,11.02240
2018-09-12,11.00700
2018-09-25,10.99360
2018-10-01,11.03980
2018-10-04,11.01860
2018-10-16,11.07070
2018-10-17,11.06740
2018-10-26,11.07890
2018-11-01,11.09160
2018-11-09,11.12530
2018-11-20,11.16110
2018-11-26,11.18180
2018-12-06,11.24930
2018-12-11,11.22940
2018-12-19,11.27370
2018-12-27,11.30010
2019-01-03,11.30760
2019-01-07,11.31710
2019-01-14,11.35650
2019-01-21,11.35440
2019-01-29,11.38170
2019-02-05,11.36700
2019-02-08,11.41080
2019-02-13,11.44170
2019-02-27,11.43260
2019-02-28,11.43830
2019-03-12,11.51600
2019-03-18,11.54540
2019-03-27,11.56350
2019-04-02,11.61830
2019-04-08,11.59560
2019-04-18,11.60950
2019-04-25,11.60950
2019-04-30,11.62390
2019-05-10,11.64400
2019-05-16,11.66370
2019-05-22,11.70070
2019-05-27,11.76470
2019-06-06,11.81490
2019-06-11,11.79550
2019-06-20,11.84990
2019-06-26,11.82660
2019-07-02,11.84320
2019-07-08,11.91990
2019-07-16,11.97950
2019-07-23,11.97120
2019-07-26,11.96150
2019-08-02,12.02630
2019-08-14,12.01720
2019-08-22,12.07220
2019-08-29,12.08480
2019-09-04,12.11900
2019-09-09,12.13020
2019-09-19,12.13640
2019-09-24,12.10920
2019-10-03,12.15820
2019-10-11,12.17200
2019-10-18,12.20140
2019-10-23,12.22350
2019-11-01,12.27710
2019-11-11,12.28190
2019-11-15,12.31300
2019-11-25,12.35610
2019-12-02,12.38160
2019-12-04,12.41360
2019-12-13,12.35890
2019-12-20,12.41540
2019-12-23,12.42480
2019-12-31,12.44120
2020-01-09,12.48420
2020-01-14,12.47390
2020-01-21,12.50090
2020-01-30,12.54260
2020-02-05,12.57600
2020-02-07,12.64730
2020-02-17,12.68930
2020-02-28,12.70720
2020-03-06,12.75000
2020-03-13,12.59140
2020-03-19,12.43320
2020-03-27,12.71890
2020-04-08,12.60030
2020-04-15,12.57330
2020-04-23,12.72320
2020-04-29,12.47680
2020-05-08,12.59960
2020-05-15,12.59070
2020-05-22,12.69080
2020-05-26,12.71600
2020-06-02,12.70830
2020-06-12,12.75280
2020-06-19,12.84390
2020-06-24,12.85130
2020-07-01,12.90790
2020-07-08,13.00020
2020-07-15,13.06600
2020-07-21,13.00520
2020-07-28,12.98880
2020-08-04,13.03710
2020-08-10,13.00970
2020-08-17,13.02160
2020-08-24,12.96930
2020-08-28,12.97210
2020-09-04,13.11240
2020-09-08,13.07570
2020-09-17,13.07860
2020-09-24,13.11570
2020-09-29,13.11060
2020-10-09,13.22220
2020-10-15,13.25590
2020-10-22,13.26920
2020-10-26,13.30100
2020-11-04,13.28150
2020-11-12,13.31300
2020-11-17,13.33540
2020-11-27,13.40130
2020-12-02,13.39790
2020-12-07,13.42080
2020-12-14,13.42930
2020-12-22,13.44260
2021-01-01,13.49670
2021-01-07,13.54490
2021-01-12,13.51470
2021-01-18,13.48410
2021-01-29,13.52960
2021-02-02,13.45120
2021-02-10,13.46250
2021-02-16,13.49100
2021-02-22,13.46890
2021-03-04,13.49210
2021-03-09,13.48520
2021-03-16,13.43400
2021-03-24,13.52190
2021-04-06,13.59590
2021-04-12,13.61760
2021-04-16,13.60930
2021-04-26,13.64990
2021-05-05,13.69230
2021-05-12,13.70020
2021-05-14,13.69980
2021-05-25,13.75790
2021-05-28,13.74970
2021-06-10,13.80780
2021-06-16,13.77300
2021-06-21,13.78970
2021-06-25,13.78480
2021-07-06,13.78780
2021-07-08,13.80810
2021-07-19,13.85410
2021-07-20,13.86090
2021-07-30,13.86110
2021-08-04,13.88880
2021-08-13,13.89480
2021-08-18,13.93050
2021-08-26,13.95840
2021-09-01,13.99950
2021-09-15,14.02760
2021-09-20,14.05500
2021-09-23,14.06230
2021-09-29,14.04920
2021-10-08,14.03900
2021-10-14,14.06170
2021-10-21,14.05460
2021-11-02,14.07180
2021-11-09,14.09760
2021-11-15,14.10880
2021-11-25,14.11550
2021-11-30,14.14270
2021-12-03,14.13870
2021-12-15,14.16440
2021-12-22,14.15130
2021-12-27,14.16090
2022-01-03,14.17150
2022-01-06,14.15590
2022-01-14,14.16990
2022-01-24,14.17460
2022-01-31,14.18000
2022-02-04,14.13620
2022-02-14,14.23350
2022-02-21,14.24950
2022-02-28,14.25250
2022-03-07,14.23040
2022-03-14,14.24460
2022-03-21,14.27220
2022-03-29,14.28150
2022-04-06,14.29730
2022-04-13,14.21870
2022-04-20,14.25000
2022-04-28,14.26560
2022-05-04,14.16480
2022-05-09,14.15030
2022-05-17,14.18460
2022-05-26,14.21320
2022-06-02,14.20190
2022-06-07,14.17090
2022-06-16,14.17950
2022-06-20,14.21420
2022-06-29,14.24000
2022-07-04,14.27160
2022-07-06,14.29880
2022-07-13,14.31180
2022-07-22,14.31310
2022-08-01,14.36810
2022-08-08,14.37290
2022-08-17,14.42670
2022-08-19,14.42360
2022-08-25,14.43390
2022-09-05,14.47530
2022-09-13,14.50390
2022-09-16,14.47240
2022-09-23,14.44950
2022-10-04,14.49390
2022-10-10,14.46520
2022-10-17,14.50660
2022-10-21,14.48980
2022-11-01,14.54880
2022-11-04,14.54080
2022-11-14,14.61780
2022-11-22,14.65270
2022-11-25,14.65170
2022-12-05,14.69140
2022-12-09,14.69200
2022-12-19,14.72760
2022-12-23,14.71490
2023-01-03,14.75300
2023-01-06,14.73160
2023-01-10,14.77770
2023-01-19,14.80190
2023-01-27,14.78410
2023-02-01,14.82980
2023-02-10,14.81820
2023-02-16,14.84890
2023-02-22,14.83400
2023-02-28,14.84240
2023-03-09,14.86180
2023-03-13,14.90620
2023-03-20,14.94700
2023-03-28,14.95420
2023-04-06,15.04020
2023-04-18,15.07740
2023-04-25,15.08680
2023-05-03,15.12550
2023-05-12,15.11930
2023-05-16,15.14700
2023-05-22,15.17740
2023-05-26,15.17030
2023-06-02,15.20730
2023-06-09,15.19200
2023-06-16,15.23570
2023-06-27,15.25720
2023-06-30,15.24730
2023-07-12,15.26970
2023-07-17,15.31520
2023-07-25,15.29880
2023-07-28,15.30030
2023-08-01,15.32930
2023-08-11,15.37320
2023-08-17,15.34210
2023-08-28,15.41910
2023-08-30,15.39350
2023-09-06,15.39500
2023-09-14,15.46280
2023-09-22,15.44740
2023-10-04,15.47080
2023-10-09,15.44470
2023-10-12,15.47900
2023-10-23,15.48970
2023-11-01,15.52250
2023-11-02,15.53980
2023-11-13,15.57260
2023-11-22,15.63390
2023-11-24,15.60630
2023-12-05,15.63810
2023-12-13,15.65650
2023-12-15,15.69720
2023-12-26,15.73090
2023-12-28,15.72740
2024-01-05,15.75390
2024-01-15,15.80240
2024-01-19,15.80240
2024-02-01,15.86290
2024-02-07,15.88230
2024-02-14,15.88950
2024-02-21,15.92980
2024-02-23,15.93070
2024-02-29,15.94930
2024-03-11,16.00840
2024-03-19,16.01370
2024-03-28,16.06520
2024-03-31,16.07410
2024-04-08,16.07580
2024-04-19,16.09150
2024-04-30,16.12870
2024-05-06,16.17210
2024-05-09,16.17280
2024-05-17,16.21360
2024-05-27,16.26650
2024-06-04,16.26780
2024-06-06,16.29160
2024-06-19,16.35290
2024-06-24,16.37470
2024-06-27,16.37670
2024-07-05,16.40920
2024-07-12,16.43560
2024-07-18,16.46270
2024-07-29,16.51350
2024-08-05,16.54810
2024-08-09,16.55290
2024-08-19,16.59140
2024-08-26,16.61860
2024-08-30,16.62450
2024-09-03,16.63440
2024-09-10,16.65910
2024-09-16,16.71080
2024-09-26,16.76710
2024-10-04,16.76380
2024-10-09,16.79860
2024-10-15,16.82550
2024-10-22,16.82510
2024-10-30,16.86250
2024-10-31,16.86020
2024-11-11,16.90310
2024-11-22,16.91770
2024-11-28,16.94270
