# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:33:48.770228+00:00
date,fund_value_inr,benchmark_value_inr
2021-03-24,10000.00,
2021-03-25,10001.40,
2021-03-31,10011.19,
2021-04-06,10059.74,
2021-04-12,10067.13,
2021-04-19,10037.56,
2021-04-23,10061.73,
2021-04-26,10096.20,
2021-04-28,10103.69,
2021-05-04,10121.57,
2021-05-06,10155.24,
2021-05-10,10152.94,
2021-05-14,10148.74,
2021-05-20,10162.83,
2021-05-25,10195.69,
2021-05-31,10173.52,
2021-06-01,10172.22,
2021-06-04,10178.71,
2021-06-08,10212.27,
2021-06-14,10235.25,
2021-06-16,10182.51,
2021-06-18,10186.30,
2021-06-25,10163.73,
2021-06-29,10178.61,
2021-07-01,10181.61,
2021-07-06,10144.85,
2021-07-08,10195.99,
2021-07-12,10184.00,
2021-07-16,10218.67,
2021-07-20,10249.94,
2021-07-26,10249.04,
2021-07-29,10233.45,
2021-08-02,10248.94,
2021-08-05,10264.92,
2021-08-11,10268.82,
2021-08-13,10284.70,
2021-08-18,10328.95,
2021-08-23,10332.85,
2021-08-27,10345.83,
2021-09-01,10383.39,
2021-09-06,10408.57,
2021-09-07,10398.78,
2021-09-14,10396.48,
2021-09-17,10415.46,
2021-09-20,10437.94,
2021-09-23,10451.72,
2021-09-27,10423.35,
2021-09-30,10429.74,
2021-10-06,10410.17,
2021-10-08,10402.37,
2021-10-14,10422.45,
2021-10-18,10396.88,
2021-10-25,10424.85,
2021-10-27,10429.54,
2021-11-01,10418.76,
2021-11-08,10457.32,
2021-11-09,10467.10,
2021-11-12,10458.01,
2021-11-18,10484.39,
2021-11-24,10480.29,
2021-11-26,10511.66,
2021-11-30,10523.55,
2021-12-03,10506.46,
2021-12-07,10503.67,
2021-12-10,10522.85,
2021-12-15,10534.03,
2021-12-21,10484.99,
2021-12-23,10489.18,
2021-12-28,10477.59,
2021-12-29,10483.59,
2022-01-03,10485.39,
2022-01-06,10453.72,
2022-01-10,10440.73,
2022-01-13,10461.21,
2022-01-18,10453.42,
2022-01-24,10464.51,
2022-01-27,10436.24,
2022-01-31,10480.59,
2022-02-03,10379.40,
2022-02-09,10424.75,
2022-02-11,10512.06,
2022-02-17,10514.65,
2022-02-21,10515.45,
2022-02-24,10488.78,
2022-02-28,10496.77,
2022-03-07,10441.23,
2022-03-10,10476.69,
2022-03-14,10469.20,
2022-03-17,10500.97,
2022-03-22,10488.68,
2022-03-25,10506.56,
2022-03-30,10528.04,
2022-04-05,10507.36,
2022-04-07,10504.96,
2022-04-11,10389.09,
2022-04-13,10352.73,
2022-04-20,10401.57,
2022-04-25,10414.46,
2022-04-29,10390.39,
2022-05-04,10278.50,
2022-05-09,10232.15,
2022-05-11,10303.58,
2022-05-17,10294.29,
2022-05-20,10297.09,
2022-05-25,10338.74,
2022-05-26,10341.14,
2022-05-31,10301.48,
2022-06-06,10265.22,
2022-06-08,10283.00,
2022-06-13,10246.24,
2022-06-16,10256.43,
2022-06-20,10318.66,
2022-06-22,10341.64,
2022-06-28,10329.05,
2022-06-30,10344.24,
2022-07-06,10416.46,
2022-07-08,10392.98,
2022-07-13,10418.06,
2022-07-15,10387.89,
2022-07-20,10395.48,
2022-07-21,10398.28,
2022-07-28,10446.53,
2022-08-02,10515.75,
2022-08-04,10536.63,
