# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:33:53.283325+00:00
date,fund_below_high,benchmark_below_high
2022-08-19,0.000000,
2022-08-23,0.000000,
2022-08-24,0.000000,
2022-08-29,-0.000799,
2022-08-30,0.000000,
2022-09-02,-0.000797,
2022-09-07,0.000000,
2022-09-08,0.000000,
2022-09-13,0.000000,
2022-09-15,0.000000,
2022-09-19,-0.008579,
2022-09-20,-0.003156,
2022-09-22,-0.002564,
2022-09-26,-0.019525,
2022-09-28,-0.021497,
2022-10-03,-0.017257,
2022-10-06,-0.000592,
2022-10-10,-0.002367,
2022-10-11,-0.010453,
2022-10-14,-0.013016,
2022-10-18,-0.004536,
2022-10-20,-0.008875,
2022-10-25,-0.005719,
2022-10-28,-0.009565,
2022-10-31,-0.000592,
2022-11-04,-0.005603,
2022-11-07,-0.003146,
2022-11-10,-0.012189,
2022-11-15,-0.015531,
2022-11-17,-0.020053,
2022-11-18,-0.026344,
2022-11-22,-0.025361,
2022-11-24,-0.019660,
2022-11-28,-0.008945,
2022-11-30,-0.007864,
2022-12-02,0.000000,
2022-12-07,-0.011093,
2022-12-08,-0.002650,
2022-12-12,-0.008835,
2022-12-14,0.000000,
2022-12-16,-0.020410,
2022-12-20,-0.016485,
2022-12-23,-0.055343,
2022-12-26,-0.041213,
2022-12-29,-0.028555,
2023-01-02,-0.025905,
2023-01-03,-0.025513,
2023-01-06,-0.034540,
2023-01-09,-0.026396,
2023-01-13,-0.028555,
2023-01-16,-0.034148,
2023-01-19,-0.029241,
2023-01-20,-0.037386,
2023-01-24,-0.041507,
2023-01-27,-0.057404,
2023-01-31,-0.044745,
2023-02-02,-0.044058,
2023-02-06,-0.032970,
2023-02-09,-0.021391,
2023-02-10,-0.017074,
2023-02-14,-0.026592,
2023-02-16,-0.011971,
2023-02-21,-0.022961,
2023-02-22,-0.031302,
2023-02-27,-0.039839,
2023-03-01,-0.030910,
2023-03-02,-0.035325,
2023-03-08,-0.023354,
2023-03-10,-0.037190,
2023-03-13,-0.053086,
2023-03-15,-0.058483,
2023-03-17,-0.054558,
2023-03-23,-0.057305,
2023-03-27,-0.069473,
2023-03-28,-0.070062,
2023-03-31,-0.044353,
2023-04-05,-0.043470,
2023-04-11,-0.028162,
2023-04-13,-0.022275,
2023-04-18,-0.025709,
2023-04-19,-0.028260,
2023-04-24,-0.025022,
2023-04-26,-0.024335,
2023-04-28,-0.013051,
2023-05-02,-0.006574,
2023-05-04,0.000000,
2023-05-08,0.000000,
2023-05-10,0.000000,
2023-05-12,0.000000,
2023-05-17,0.000000,
2023-05-18,-0.005680,
2023-05-22,-0.000481,
2023-05-24,0.000000,
2023-05-26,0.000000,
2023-05-30,0.000000,
2023-06-01,0.000000,
2023-06-07,0.000000,
2023-06-08,-0.008128,
2023-06-13,0.000000,
2023-06-15,0.000000,
2023-06-19,-0.000538,
