# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:33:56.962922+00:00
stretch_ending,fund_return,benchmark_return
2026-03-27,0.094148,
2026-04-02,0.089308,
2026-04-10,0.088110,
2026-04-17,0.088011,
2026-04-24,0.094898,
2026-04-30,0.098855,
2026-05-08,0.095044,
2026-05-15,0.099053,
2026-05-22,0.097887,
2026-05-29,0.095834,
2026-06-05,0.096278,
2026-06-12,0.097233,
2026-06-19,0.094635,
2026-06-25,0.094818,
2026-07-03,0.097017,
2026-07-10,0.096779,
2026-07-17,0.101310,
2026-07-24,0.102377,
2026-07-31,0.095629,
2026-08-07,0.093671,
2026-08-14,0.093781,
2026-08-21,0.095091,
2026-08-28,0.094935,
2026-09-04,0.089277,
2026-09-11,0.094488,
2026-09-18,0.093249,
