# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:33:56.957858+00:00
date,fund_below_high,benchmark_below_high
2023-03-29,0.000000,
2023-03-31,-0.001419,
2023-04-03,0.000000,
2023-04-06,-0.003806,
2023-04-11,-0.002467,
2023-04-17,-0.003816,
2023-04-18,-0.002148,
2023-04-20,-0.000669,
2023-04-21,-0.000599,
2023-04-25,-0.003216,
2023-04-27,-0.005693,
2023-05-02,-0.004675,
2023-05-03,-0.003186,
2023-05-05,-0.003925,
2023-05-09,-0.000479,
2023-05-11,0.000000,
2023-05-15,0.000000,
2023-05-16,-0.000259,
2023-05-17,0.000000,
2023-05-19,0.000000,
2023-05-23,0.000000,
2023-05-24,-0.001187,
2023-05-30,-0.000524,
2023-05-31,-0.000890,
2023-06-02,-0.004500,
2023-06-06,-0.000564,
2023-06-07,-0.001691,
2023-06-08,-0.000821,
2023-06-12,-0.002116,
2023-06-14,-0.003659,
2023-06-16,-0.008100,
2023-06-19,-0.007002,
2023-06-20,-0.005281,
2023-06-22,-0.007239,
2023-06-26,-0.006072,
2023-06-28,-0.005311,
2023-07-03,-0.006399,
2023-07-05,-0.002710,
2023-07-07,0.000000,
2023-07-11,-0.006404,
2023-07-12,-0.007141,
2023-07-13,-0.008575,
2023-07-17,-0.008025,
2023-07-18,-0.009154,
2023-07-21,-0.008545,
2023-07-24,-0.009793,
2023-07-25,-0.011089,
2023-07-28,-0.005147,
2023-07-31,-0.004872,
2023-08-01,-0.004734,
2023-08-03,0.000000,
2023-08-07,-0.000627,
2023-08-08,0.000000,
2023-08-11,-0.000431,
2023-08-14,0.000000,
2023-08-17,0.000000,
2023-08-18,-0.000049,
2023-08-22,-0.000477,
2023-08-24,-0.005991,
2023-08-25,-0.004617,
2023-08-30,-0.003098,
2023-09-01,-0.003380,
2023-09-05,-0.000156,
2023-09-07,0.000000,
2023-09-11,-0.003185,
2023-09-12,-0.001923,
2023-09-13,-0.002330,
2023-09-15,-0.000495,
2023-09-20,0.000000,
2023-09-22,-0.003071,
2023-09-25,-0.001133,
2023-09-26,0.000000,
2023-09-29,-0.001578,
2023-10-04,0.000000,
2023-10-06,0.000000,
2023-10-10,0.000000,
2023-10-12,-0.000290,
2023-10-13,0.000000,
2023-10-17,-0.000232,
2023-10-19,0.000000,
2023-10-23,-0.000434,
2023-10-25,-0.000511,
2023-10-27,0.000000,
2023-10-30,0.000000,
2023-11-01,0.000000,
2023-11-03,0.000000,
2023-11-06,-0.000337,
2023-11-08,0.000000,
2023-11-10,0.000000,
