# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:33:54.989490+00:00
date,nav
2023-09-01,10.10620
2023-09-04,10.31320
2023-09-05,10.37700
2023-09-07,10.40220
2023-09-08,10.39160
2023-09-12,10.57070
2023-09-13,10.54140
2023-09-15,10.68960
2023-09-20,10.55860
2023-09-21,10.54910
2023-09-22,10.54440
2023-09-26,10.40390
2023-09-27,10.44340
2023-10-03,10.16150
2023-10-04,10.19140
2023-10-06,10.36300
2023-10-09,10.35210
2023-10-11,10.42770
2023-10-12,10.25350
2023-10-17,10.18540
2023-10-18,10.12510
2023-10-20,10.09700
2023-10-23,9.89890
2023-10-26,9.73330
2023-10-27,9.85590
2023-10-31,9.85000
2023-11-01,9.77380
2023-11-02,9.86050
2023-11-06,9.98550
2023-11-08,9.96730
2023-11-09,9.90250
2023-11-13,9.87520
2023-11-15,10.13110
2023-11-16,10.40380
2023-11-20,10.43880
2023-11-22,10.49730
2023-11-24,10.33210
2023-11-28,10.35220
2023-11-29,10.51070
2023-12-01,10.50730
2023-12-05,10.46810
2023-12-06,10.64440
2023-12-07,10.62460
2023-12-11,10.80250
2023-12-13,10.65800
2023-12-14,11.13250
2023-12-15,11.64790
2023-12-19,11.50520
2023-12-20,11.30800
2023-12-22,11.59980
2023-12-26,11.55260
2023-12-28,11.61550
2024-01-01,11.61660
2024-01-02,11.48170
2024-01-03,11.19250
2024-01-05,11.34030
2024-01-09,11.27870
2024-01-11,11.30220
2024-01-12,11.88140
2024-01-15,12.10690
2024-01-17,12.02700
2024-01-19,12.09230
2024-01-23,11.91400
2024-01-24,12.10010
2024-01-29,11.91720
2024-01-30,11.87050
2024-02-01,11.92020
2024-02-05,12.12420
2024-02-06,12.47960
2024-02-07,12.32300
2024-02-09,12.30120
2024-02-13,12.46600
2024-02-14,12.32610
2024-02-16,12.55420
2024-02-20,12.40690
2024-02-21,12.20320
2024-02-22,12.43910
2024-02-26,12.26540
2024-02-27,12.35390
2024-02-29,12.30490
2024-03-04,12.17240
2024-03-05,11.97990
2024-03-07,12.10210
2024-03-11,12.06530
2024-03-13,12.05170
2024-03-14,12.29010
2024-03-18,12.03140
2024-03-19,11.68090
2024-03-21,11.74970
2024-03-22,11.47670
2024-03-27,11.33150
2024-03-28,11.38140
2024-04-01,11.42820
2024-04-02,11.34690
2024-04-04,11.55240
2024-04-08,11.43440
2024-04-09,11.43920
2024-04-10,11.50870
2024-04-15,11.23850
2024-04-16,10.94980
2024-04-19,10.88270
2024-04-23,10.99450
2024-04-24,10.90640
2024-04-26,10.97890
2024-04-29,10.95030
2024-04-30,10.82700
2024-05-03,10.73140
2024-05-07,10.92810
2024-05-09,10.84090
2024-05-10,10.75250
2024-05-13,10.79940
2024-05-15,10.81480
2024-05-16,11.01390
2024-05-21,10.91940
2024-05-23,11.13610
2024-05-24,11.06480
2024-05-27,11.12020
2024-05-29,10.97190
2024-05-30,10.73070
2024-06-03,10.69050
2024-06-04,10.62630
2024-06-06,11.18390
2024-06-07,11.55920
2024-06-11,11.34710
2024-06-13,11.46830
2024-06-14,11.37010
2024-06-19,11.48310
2024-06-21,11.57230
2024-06-24,11.55340
2024-06-26,11.63920
2024-06-27,11.87430
2024-06-30,11.88490
2024-07-01,12.11780
2024-07-02,12.25840
2024-07-04,12.39740
2024-07-08,12.40210
2024-07-09,12.37920
2024-07-11,12.26870
2024-07-12,12.83510
2024-07-16,12.87400
2024-07-18,13.15840
2024-07-22,13.08740
2024-07-23,13.18600
2024-07-25,13.18930
2024-07-26,13.49130
2024-07-30,13.42460
2024-08-01,13.40220
2024-08-02,13.08370
2024-08-05,12.65910
2024-08-07,12.90850
2024-08-08,12.66300
2024-08-12,12.88010
2024-08-13,12.88170
2024-08-16,13.46370
2024-08-20,13.69230
2024-08-21,13.69150
2024-08-23,13.53190
2024-08-26,13.72010
2024-08-27,13.73550
2024-08-29,14.02620
2024-08-30,14.09060
2024-09-02,14.15210
2024-09-04,13.97890
2024-09-05,14.04170
2024-09-09,13.80200
2024-09-10,14.04050
2024-09-12,14.20800
2024-09-13,14.28800
2024-09-17,14.29390
2024-09-18,13.85700
2024-09-20,13.89450
2024-09-24,13.90710
2024-09-25,13.81300
2024-09-27,13.92840
2024-09-30,13.81230
2024-10-01,13.97250
2024-10-04,13.79920
2024-10-08,13.95500
2024-10-10,13.85610
2024-10-11,13.93890
2024-10-14,14.11530
2024-10-16,13.90250
2024-10-17,14.06910
2024-10-21,13.69010
2024-10-22,13.59310
2024-10-24,13.88980
2024-10-25,13.85940
2024-10-29,13.89860
2024-10-31,13.37600
2024-11-04,13.38010
2024-11-06,13.91270
2024-11-07,13.81780
2024-11-11,14.09430
2024-11-12,14.10050
2024-11-14,14.02820
2024-11-18,13.70180
2024-11-21,13.88220
2024-11-22,14.33870
2024-11-26,14.58880
2024-11-28,14.21850
2024-11-29,14.27690
2024-11-30,14.27670
2024-12-03,14.47780
2024-12-05,14.82540
2024-12-06,14.79530
2024-12-09,14.83320
2024-12-11,15.00430
2024-12-13,15.21700
2024-12-16,15.10340
2024-12-18,15.06070
2024-12-19,14.87110
2024-12-20,14.48010
2024-12-24,14.44560
2024-12-27,14.46250
2024-12-30,14.54270
2025-01-01,14.34470
2025-01-02,14.66800
2025-01-06,14.44350
2025-01-08,14.42970
2025-01-09,14.26140
2025-01-10,14.75130
2025-01-14,14.23910
2025-01-16,14.28140
2025-01-17,13.97340
2025-01-21,13.86220
2025-01-22,14.15720
2025-01-24,14.46540
2025-01-27,13.97970
2025-01-29,14.26400
2025-01-30,14.10410
2025-02-03,14.06890
2025-02-04,14.24920
2025-02-06,14.30220
2025-02-10,14.16070
2025-02-11,13.95170
2025-02-13,13.73460
2025-02-14,13.73280
2025-02-18,13.78300
2025-02-19,13.60500
2025-02-21,13.47830
2025-02-24,13.11270
2025-02-27,12.94610
2025-02-28,12.40430
2025-03-04,12.39010
2025-03-05,12.65420
2025-03-06,12.67830
2025-03-10,12.51140
2025-03-12,12.06740
2025-03-13,12.00470
2025-03-18,12.16940
2025-03-19,12.03760
2025-03-21,12.19650
2025-03-25,12.52850
2025-03-26,12.40540
2025-03-27,12.47540
2025-03-31,12.25510
2025-04-02,12.05420
2025-04-03,11.54720
2025-04-07,10.85440
2025-04-08,11.04480
2025-04-09,10.80320
2025-04-15,11.05420
2025-04-17,11.08620
2025-04-21,11.33860
2025-04-22,11.27410
2025-04-24,11.72830
2025-04-28,11.80100
2025-04-29,11.94630
2025-05-02,11.93650
2025-05-05,11.96920
2025-05-07,11.94540
2025-05-09,11.93330
2025-05-12,12.73250
2025-05-13,12.42380
2025-05-15,12.73600
2025-05-19,12.46410
2025-05-20,12.39930
2025-05-22,12.32130
2025-05-23,12.44410
2025-05-26,12.57090
2025-05-28,12.46410
2025-05-29,12.55990
2025-05-31,12.46340
2025-06-03,12.29430
2025-06-04,12.35900
2025-06-06,12.47740
2025-06-09,12.60160
2025-06-11,12.97230
2025-06-13,12.86750
2025-06-16,13.06790
2025-06-17,13.16200
2025-06-19,12.93170
2025-06-20,13.04030
2025-06-24,12.84890
2025-06-25,13.05810
2025-06-27,12.98230
2025-06-30,13.02430
2025-07-02,13.00030
2025-07-04,13.09590
2025-07-07,12.99560
2025-07-08,13.03430
2025-07-10,12.83160
2025-07-14,12.46470
2025-07-16,12.60270
2025-07-17,12.42830
2025-07-18,12.43960
2025-07-22,12.34460
2025-07-23,12.37540
2025-07-25,11.93200
2025-07-28,11.86400
2025-07-30,11.90110
2025-08-01,11.62400
2025-08-04,11.80880
2025-08-06,11.54820
2025-08-07,11.64880
2025-08-08,11.53860
2025-08-12,11.63070
2025-08-14,11.68360
2025-08-18,11.61660
2025-08-20,11.97040
2025-08-21,11.98140
2025-08-25,12.16760
2025-08-26,12.09470
2025-08-29,11.79850
2025-09-01,11.98580
2025-09-02,11.98470
2025-09-04,11.78510
2025-09-05,11.61480
2025-09-08,11.50540
2025-09-10,12.13380
2025-09-12,12.10890
2025-09-15,12.03860
2025-09-16,12.14240
2025-09-18,12.32240
2025-09-19,12.26460
2025-09-23,11.81860
2025-09-25,11.58300
2025-09-26,11.29890
2025-09-30,11.28230
2025-10-06,11.63920
2025-10-07,11.63460
2025-10-09,11.94250
2025-10-10,11.93590
2025-10-14,11.80330
2025-10-15,11.87530
2025-10-17,11.73430
2025-10-20,11.85990
2025-10-23,12.12330
2025-10-27,12.19480
2025-10-28,12.10450
2025-10-30,12.11960
2025-11-03,12.03920
2025-11-04,11.91060
2025-11-07,11.85700
2025-11-10,12.04920
2025-11-12,12.44310
2025-11-14,12.25550
2025-11-17,12.28010
2025-11-18,12.14510
2025-11-20,12.50610
2025-11-24,12.50380
2025-11-25,12.43240
2025-11-26,12.61380
2025-11-28,12.62730
2025-12-01,12.67560
2025-12-02,12.67260
2025-12-03,12.76860
2025-12-05,13.06500
2025-12-08,13.02640
2025-12-10,12.75580
2025-12-11,12.85930
2025-12-15,12.95640
2025-12-16,12.84700
2025-12-18,13.03930
2025-12-22,13.32730
2025-12-24,13.15360
2025-12-26,13.01720
2025-12-30,12.82290
2025-12-31,12.78410
2026-01-02,12.93100
2026-01-05,12.74520
2026-01-07,13.05490
2026-01-08,12.79530
2026-01-12,12.81770
2026-01-13,12.90140
2026-01-14,12.76090
2026-01-19,13.18410
2026-01-20,12.91330
2026-01-22,12.98080
2026-01-23,12.95930
2026-01-28,13.12580
2026-01-30,12.89460
2026-02-02,12.90700
2026-02-03,13.08820
2026-02-04,12.31990
2026-02-06,12.07070
2026-02-10,12.10790
2026-02-11,11.89530
2026-02-12,11.23860
2026-02-16,11.09460
2026-02-17,11.20850
2026-02-19,10.95110
2026-02-23,10.69010
2026-02-24,10.18310
2026-02-25,10.34200
2026-02-27,10.36770
2026-03-02,10.25490
2026-03-04,10.26550
2026-03-05,10.20480
2026-03-09,10.21640
2026-03-10,10.16940
2026-03-13,9.84640
2026-03-16,9.83640
2026-03-18,10.01120
2026-03-19,9.67970
2026-03-20,9.88890
2026-03-24,10.04070
2026-03-27,10.00400
2026-03-30,9.84250
2026-03-31,9.84240
2026-04-02,10.30840
2026-04-07,10.63350
2026-04-08,10.68840
2026-04-09,10.71230
2026-04-13,10.38480
2026-04-15,10.67910
2026-04-17,10.77030
2026-04-21,10.74260
2026-04-23,10.19930
2026-04-24,9.68070
2026-04-27,9.89310
2026-04-29,9.92190
2026-04-30,9.95870
2026-05-05,9.87440
2026-05-07,9.85270
2026-05-08,9.97150
2026-05-11,9.94920
2026-05-13,9.46880
2026-05-14,9.27960
2026-05-18,9.62810
2026-05-19,9.93970
2026-05-21,9.84190
2026-05-22,9.80490
2026-05-26,9.85940
2026-05-27,9.83490
2026-05-31,9.89340
2026-06-02,10.58450
2026-06-03,9.99560
2026-06-05,9.86860
2026-06-08,9.74720
2026-06-10,9.61980
2026-06-11,9.46490
2026-06-15,9.54720
2026-06-17,9.79790
2026-06-18,9.68160
2026-06-19,9.32970
2026-06-23,9.18850
2026-06-24,9.37390
2026-06-29,9.19180
2026-07-01,8.75930
2026-07-02,9.16540
2026-07-06,9.27060
2026-07-07,9.49540
2026-07-09,9.33610
2026-07-13,9.85880
2026-07-14,9.75980
2026-07-15,9.70520
2026-07-17,9.95080
2026-07-21,9.86830
2026-07-22,9.72100
2026-07-24,9.79470
2026-07-27,10.03100
2026-07-29,10.60120
2026-07-30,10.62420
2026-07-31,10.45910
2026-08-04,10.71420
2026-08-06,10.59540
2026-08-07,10.74630
2026-08-11,10.83940
2026-08-12,10.67210
2026-08-14,10.68040
2026-08-18,10.29000
2026-08-19,10.36470
2026-08-20,10.44640
2026-08-24,10.41970
2026-08-25,10.47930
2026-08-27,10.29140
2026-08-28,10.65340
2026-09-01,10.72620
2026-09-02,10.59190
2026-09-04,10.45280
2026-09-08,10.17610
2026-09-09,9.84530
2026-09-11,9.84770
2026-09-15,10.06320
2026-09-16,9.90390
2026-09-18,9.82440
2026-09-21,9.81610
2026-09-23,9.64690
2026-09-25,9.5876
