# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:33:54.596135+00:00
date,fund_below_high,benchmark_below_high
2024-10-30,0.000000,
2024-10-31,-0.001751,
2024-11-04,-0.006655,
2024-11-05,-0.001251,
2024-11-06,0.000000,
2024-11-07,-0.011563,
2024-11-08,-0.025751,
2024-11-11,-0.026707,
2024-11-12,-0.047648,
2024-11-13,-0.076307,
2024-11-14,-0.074941,
2024-11-18,-0.075448,
2024-11-19,-0.063056,
2024-11-21,-0.079400,
2024-11-22,-0.064022,
2024-11-25,-0.042808,
2024-11-26,-0.048936,
2024-11-27,-0.030386,
2024-11-28,-0.028991,
2024-11-29,-0.025937,
2024-11-30,-0.025937,
2024-12-02,-0.018960,
2024-12-03,-0.007133,
2024-12-04,-0.003162,
2024-12-05,0.000000,
2024-12-06,0.000000,
2024-12-09,0.000000,
2024-12-10,-0.002767,
2024-12-11,0.000000,
2024-12-12,-0.003332,
2024-12-13,-0.004988,
2024-12-16,0.000000,
2024-12-17,-0.008714,
2024-12-18,-0.020160,
2024-12-19,-0.029944,
2024-12-20,-0.062735,
2024-12-23,-0.060604,
2024-12-24,-0.063413,
2024-12-26,-0.056429,
2024-12-27,-0.062056,
2024-12-30,-0.079379,
2024-12-31,-0.080831,
2025-01-01,-0.076589,
2025-01-02,-0.062095,
2025-01-03,-0.067579,
2025-01-06,-0.092678,
2025-01-07,-0.091455,
2025-01-08,-0.108835,
2025-01-09,-0.122785,
2025-01-10,-0.135253,
2025-01-13,-0.174780,
2025-01-14,-0.162770,
2025-01-15,-0.154677,
2025-01-16,-0.151467,
2025-01-17,-0.154104,
2025-01-20,-0.151324,
2025-01-21,-0.187526,
2025-01-22,-0.196746,
2025-01-23,-0.174255,
2025-01-24,-0.185405,
2025-01-27,-0.214269,
2025-01-28,-0.229518,
2025-01-29,-0.201838,
2025-01-30,-0.210122,
2025-01-31,-0.200720,
2025-02-03,-0.194539,
2025-02-04,-0.184554,
2025-02-05,-0.173461,
2025-02-06,-0.183866,
2025-02-07,-0.176815,
2025-02-10,-0.195905,
2025-02-11,-0.219829,
2025-02-12,-0.222361,
2025-02-13,-0.222533,
2025-02-14,-0.244317,
2025-02-17,-0.245158,
2025-02-18,-0.246333,
2025-02-19,-0.233664,
2025-02-20,-0.223699,
2025-02-21,-0.236645,
2025-02-24,-0.245579,
2025-02-25,-0.247480,
2025-02-27,-0.258668,
2025-02-28,-0.278370,
2025-03-03,-0.278140,
2025-03-04,-0.277108,
2025-03-05,-0.259098,
2025-03-06,-0.259547,
2025-03-07,-0.263761,
2025-03-10,-0.278599,
2025-03-11,-0.276946,
2025-03-12,-0.279917,
2025-03-13,-0.284370,
2025-03-17,-0.278226,
2025-03-18,-0.257484,
2025-03-19,-0.246763,
2025-03-20,-0.240505,
2025-03-21,-0.232260,
2025-03-24,-0.224033,
2025-03-25,-0.234495,
2025-03-26,-0.241470,
2025-03-27,-0.232441,
2025-03-28,-0.233053,
2025-03-31,-0.233072,
2025-04-01,-0.246419,
2025-04-02,-0.230635,
2025-04-03,-0.237476,
2025-04-04,-0.265108,
2025-04-07,-0.292224,
2025-04-08,-0.273506,
2025-04-09,-0.284934,
2025-04-11,-0.263551,
2025-04-15,-0.239301,
2025-04-16,-0.236454,
2025-04-17,-0.230425,
2025-04-21,-0.210638,
2025-04-22,-0.201962,
2025-04-23,-0.191156,
2025-04-24,-0.190956,
2025-04-25,-0.208326,
2025-04-28,-0.199106,
2025-04-29,-0.193841,
2025-04-30,-0.200558,
2025-05-02,-0.201943,
2025-05-05,-0.189159,
2025-05-06,-0.204982,
2025-05-07,-0.195255,
2025-05-08,-0.208087,
2025-05-09,-0.214183,
2025-05-12,-0.178774,
2025-05-13,-0.178258,
2025-05-14,-0.168178,
2025-05-15,-0.162636,
2025-05-16,-0.157601,
2025-05-19,-0.158643,
2025-05-20,-0.171331,
2025-05-21,-0.165550,
2025-05-22,-0.170108,
2025-05-23,-0.164241,
2025-05-26,-0.160362,
2025-05-27,-0.163267,
2025-05-28,-0.165522,
2025-05-29,-0.157802,
2025-05-30,-0.157888,
