# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:36:48.821202+00:00
date,fund_value_inr,benchmark_value_inr
2013-01-02,10000.00,
2013-01-10,9970.29,
2013-01-15,10118.84,
2013-01-28,10124.78,
2013-02-08,9881.16,
2013-02-19,9942.07,
2013-02-26,9663.04,
2013-03-08,10010.99,
2013-03-14,9989.84,
2013-03-20,9608.97,
2013-04-09,9345.75,
2013-04-15,9407.07,
2013-04-22,9835.06,
2013-05-08,10193.29,
2013-05-16,10380.45,
2013-05-23,9996.91,
2013-06-06,9927.21,
2013-06-13,9523.83,
2013-06-26,9336.90,
2013-07-01,9751.99,
2013-07-15,10035.71,
2013-07-23,9960.61,
2013-08-06,9114.20,
2013-08-14,9478.43,
2013-08-21,8753.12,
2013-08-28,8632.03,
2013-09-03,8793.11,
2013-09-10,9561.79,
2013-09-19,9972.13,
2013-09-30,9521.27,
2013-10-14,10189.90,
2013-10-28,10142.19,
2013-11-01,10450.09,
2013-11-13,10103.68,
2013-11-22,10067.86,
2013-12-09,10556.45,
2013-12-16,10371.18,
2013-12-20,10597.03,
2014-01-07,10555.61,
2014-01-15,10775.94,
2014-01-23,10798.75,
2014-01-30,10350.62,
2014-02-13,10425.43,
2014-02-20,10540.46,
2014-03-06,11015.98,
2014-03-10,11144.74,
2014-03-20,11088.41,
2014-04-02,11528.05,
2014-04-16,11428.16,
2014-04-23,11686.57,
2014-05-08,11435.47,
2014-05-13,12051.69,
2014-05-23,12605.64,
2014-05-30,12533.75,
2014-06-10,13222.40,
2014-06-26,13204.22,
2014-07-04,13886.27,
2014-07-11,13307.49,
2014-07-22,13871.90,
2014-08-01,13655.32,
2014-08-08,13548.07,
2014-08-19,14087.05,
2014-09-03,14792.34,
2014-09-12,15007.78,
2014-09-17,14687.28,
2014-09-30,14808.26,
2014-10-16,14295.37,
2014-10-31,15384.43,
2014-11-12,15641.47,
2014-11-24,15884.73,
2014-12-03,16003.92,
2014-12-09,15622.94,
2014-12-17,15118.60,
2014-12-23,15624.36,
2015-01-07,15532.32,
2015-01-14,15862.57,
2015-01-27,16891.33,
2015-02-09,16392.87,
2015-02-19,17237.49,
2015-02-26,16803.03,
2015-03-05,17518.00,
2015-03-24,16992.93,
2015-03-27,16725.31,
2015-04-13,17739.51,
2015-04-21,16833.69,
2015-04-27,16405.47,
2015-05-07,16183.42,
2015-05-18,16841.95,
2015-05-29,17063.16,
2015-06-11,16311.35,
2015-06-23,17161.50,
2015-06-29,17007.43,
2015-07-07,17549.91,
2015-07-20,17830.66,
2015-07-27,17403.98,
2015-08-06,17887.11,
2015-08-19,17886.87,
2015-08-24,16541.65,
2015-09-07,16077.06,
2015-09-09,16516.93,
2015-09-28,16503.21,
2015-10-05,17129.83,
2015-10-14,16967.91,
2015-10-20,17339.63,
2015-11-04,17163.28,
2015-11-18,16697.68,
2015-11-27,17124.72,
2015-12-09,16621.93,
2015-12-17,17042.42,
2015-12-31,17253.95,
2016-01-07,16637.79,
2016-01-20,15960.19,
2016-01-29,16652.58,
2016-02-05,16524.78,
2016-02-11,15484.31,
2016-02-29,15398.40,
2016-03-03,16316.64,
2016-03-16,16343.32,
2016-03-22,16873.26,
2016-04-07,16757.16,
2016-04-18,17535.65,
2016-05-04,17350.27,
2016-05-12,17708.85,
2016-05-23,17322.76,
2016-05-27,18111.41,
2016-06-08,18411.76,
2016-06-13,18140.82,
2016-06-24,17995.66,
2016-07-04,18632.92,
2016-07-18,18784.49,
2016-07-25,19236.90,
2016-08-08,19671.12,
2016-08-11,19286.51,
2016-08-29,19409.92,
2016-09-06,19988.35,
2016-09-12,19613.07,
2016-09-29,19498.04,
2016-10-04,20090.26,
2016-10-17,19637.55,
2016-10-24,19966.25,
2016-11-10,19383.96,
2016-11-15,18263.81,
2016-11-24,18071.00,
2016-12-08,18696.67,
2016-12-14,18352.17,
2016-12-26,17679.56,
2016-12-30,18309.51,
2017-01-11,18908.32,
2017-01-20,18816.64,
2017-02-06,19791.27,
2017-02-15,19477.78,
2017-02-21,20023.47,
2017-03-02,19823.77,
2017-03-16,20439.39,
2017-03-22,20245.10,
2017-04-05,20866.55,
2017-04-18,20702.32,
2017-04-26,21250.39,
2017-05-05,21095.78,
2017-05-16,21549.38,
2017-05-24,20840.64,
2017-06-05,21827.15,
2017-06-09,21866.13,
2017-06-28,21449.20,
2017-07-03,21748.19,
2017-07-13,22324.84,
2017-07-20,22270.11,
2017-08-07,22913.73,
2017-08-11,21995.96,
2017-08-17,22492.57,
2017-08-29,22293.46,
2017-09-12,23188.83,
2017-09-20,23135.95,
2017-09-27,21945.99,
2017-10-06,22578.25,
2017-10-17,23052.82,
2017-11-06,23609.74,
2017-11-15,22976.47,
2017-11-21,23506.60,
2017-12-05,23178.13,
2017-12-06,22957.34,
2017-12-19,23970.47,
2018-01-02,23937.02,
2018-01-08,24439.93,
2018-01-23,24724.72,
2018-02-01,24463.10,
2018-02-06,23310.46,
2018-02-22,23114.32,
2018-02-26,23719.19,
2018-03-07,22865.42,
2018-03-23,22697.74,
2018-04-03,23641.30,
2018-04-09,23953.18,
2018-04-24,24317.17,
2018-04-30,24547.18,
2018-05-15,24209.69,
2018-05-23,23333.39,
2018-05-28,24054.60,
2018-06-12,24151.69,
2018-06-22,23888.24,
2018-06-28,23218.72,
2018-07-10,23887.94,
2018-07-19,23502.67,
2018-07-27,24411.76,
2018-08-02,24368.21,
2018-08-16,24387.40,
2018-08-31,25105.17,
2018-09-11,24001.54,
2018-09-14,24537.67,
2018-09-24,23094.30,
2018-10-09,21564.77,
2018-10-16,22292.45,
2018-10-26,21412.89,
2018-11-05,22762.75,
2018-11-22,22783.01,
2018-11-30,23276.95,
2018-12-10,22328.88,
2018-12-19,23512.77,
2019-01-03,22949.49,
2019-01-09,23283.18,
2019-01-17,23320.08,
2019-01-28,22470.47,
2019-02-07,23220.97,
2019-02-18,22142.25,
2019-02-28,22782.65,
2019-03-12,23974.69,
2019-03-25,23997.15,
2019-04-01,24743.91,
2019-04-04,24510.10,
2019-04-16,24967.08,
2019-05-03,24744.39,
2019-05-13,23686.99,
2019-05-20,25132.62,
2019-06-03,25911.35,
2019-06-06,25374.27,
2019-06-17,25060.49,
2019-07-04,25830.54,
2019-07-08,24963.04,
2019-07-17,25176.29,
2019-07-24,24222.76,
2019-08-05,23475.52,
2019-08-22,23163.52,
2019-08-27,23992.39,
2019-09-05,23636.07,
2019-09-19,23432.26,
2019-09-26,25380.45,
2019-10-07,24418.06,
2019-10-18,25447.83,
2019-10-30,26078.91,
2019-11-13,25832.98,
2019-11-27,26212.48,
2019-12-06,25702.85,
2019-12-10,25584.91,
2019-12-20,26421.63,
2020-01-06,25857.64,
2020-01-13,26623.05,
2020-01-24,26744.62,
2020-02-03,25633.51,
2020-02-06,26624.18,
2020-02-20,26324.48,
2020-03-04,24558.53,
2020-03-11,23119.73,
2020-03-23,16834.76,
2020-03-26,18891.62,
2020-04-17,20601.19,
2020-04-21,19982.29,
2020-04-30,21523.59,
2020-05-18,19302.20,
2020-05-26,19892.34,
2020-06-03,21976.47,
