# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:36:47.201930+00:00
stretch_ending,fund_return,benchmark_return
2016-01-01,0.158803,
2016-01-08,0.149228,
2016-01-15,0.139071,
2016-01-22,0.138810,
2016-01-29,0.143989,
2016-02-05,0.146210,
2016-02-12,0.132802,
2016-02-19,0.140391,
2016-02-26,0.142493,
2016-03-04,0.165770,
2016-03-18,0.188428,
2016-03-23,0.193703,
2016-04-01,0.190153,
2016-04-08,0.200858,
2016-04-13,0.211165,
2016-04-22,0.202691,
2016-04-29,0.201783,
2016-05-06,0.186116,
2016-05-20,0.185442,
2016-05-27,0.198047,
2016-06-03,0.199566,
2016-06-10,0.219694,
2016-06-17,0.218412,
2016-06-24,0.230515,
2016-07-01,0.235110,
2016-07-15,0.242589,
2016-07-22,0.257899,
2016-07-29,0.279363,
2016-08-05,0.283764,
2016-08-12,0.272667,
2016-08-19,0.298510,
2016-08-26,0.304410,
2016-09-02,0.314146,
2016-09-09,0.300280,
2016-09-23,0.302110,
2016-09-30,0.287554,
2016-10-07,0.293104,
2016-10-14,0.286365,
2016-10-21,0.282166,
2016-10-28,0.282551,
2016-11-04,0.262097,
2016-11-11,0.266507,
2016-11-18,0.242025,
2016-12-02,0.226212,
2016-12-09,0.231076,
2016-12-16,0.227107,
2016-12-23,0.199772,
2016-12-30,0.199411,
2017-01-06,0.202397,
2017-01-13,0.208891,
2017-01-20,0.212547,
2017-02-03,0.245409,
2017-02-10,0.249024,
2017-02-17,0.249991,
2017-02-23,0.247968,
2017-03-03,0.242000,
2017-03-10,0.230755,
2017-03-17,0.232458,
2017-03-24,0.221317,
2017-03-31,0.226822,
2017-04-13,0.228629,
2017-04-21,0.225771,
2017-04-28,0.225798,
2017-05-05,0.226759,
2017-05-12,0.222746,
2017-05-19,0.200938,
2017-05-26,0.188329,
2017-06-02,0.189224,
2017-06-16,0.180678,
2017-06-23,0.174646,
2017-06-30,0.156994,
2017-07-07,0.169382,
2017-07-14,0.172993,
2017-07-21,0.163607,
2017-07-28,0.170734,
2017-08-11,0.160374,
2017-08-18,0.150934,
2017-08-24,0.151641,
2017-09-01,0.148664,
2017-09-08,0.143732,
2017-09-15,0.154896,
