# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:36:41.938819+00:00
date,fund_value_inr,benchmark_value_inr
2013-01-08,10000.00,
2013-01-11,9761.81,
2013-01-24,9869.90,
2013-02-01,10196.16,
2013-02-11,9983.99,
2013-02-19,10094.64,
2013-02-26,9736.89,
2013-03-06,9678.10,
2013-03-18,10027.62,
2013-04-02,10064.79,
2013-04-10,9626.82,
2013-04-26,10295.70,
2013-05-08,11077.14,
2013-05-10,11215.87,
2013-05-23,10917.05,
2013-05-30,11351.04,
2013-06-13,10791.41,
2013-06-24,10514.39,
2013-07-03,10814.27,
2013-07-15,11436.19,
2013-07-23,12003.68,
2013-07-31,11101.66,
2013-08-07,10556.65,
2013-08-14,10883.35,
2013-08-28,9965.59,
2013-09-10,10890.69,
2013-09-19,11292.15,
2013-09-25,11067.85,
2013-10-14,11119.76,
2013-10-18,11400.76,
2013-11-01,11117.21,
2013-11-11,10672.52,
2013-11-22,10588.23,
2013-12-02,10928.00,
2013-12-05,10690.63,
2013-12-16,10703.72,
2013-12-31,11133.35,
2014-01-09,11064.23,
2014-01-15,11216.55,
2014-01-30,10848.32,
2014-02-10,10928.96,
2014-02-13,10713.53,
2014-02-20,10640.17,
2014-03-11,10950.84,
2014-03-19,11426.08,
2014-03-28,11695.12,
2014-04-11,11506.39,
2014-04-23,11861.55,
2014-05-02,11592.19,
2014-05-14,12020.12,
2014-05-19,11564.49,
2014-05-28,11900.78,
2014-06-12,12203.92,
2014-06-23,11790.67,
2014-06-27,11879.56,
2014-07-04,12609.93,
2014-07-14,12416.55,
2014-07-24,12915.01,
2014-08-08,12569.68,
2014-08-14,12867.61,
2014-08-22,12871.82,
2014-09-09,13433.17,
