# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:36:41.406165+00:00
date,fund_value_inr,benchmark_value_inr
2013-01-07,10000.00,
2013-01-11,9696.55,
2013-01-21,9866.67,
2013-02-01,9540.23,
2013-02-08,9140.23,
2013-02-20,9190.99,
2013-02-28,8638.39,
2013-03-08,8951.22,
2013-03-21,8289.79,
2013-04-02,8629.43,
2013-04-11,8357.01,
2013-04-25,8760.92,
2013-04-26,8698.30,
2013-05-16,8836.23,
2013-05-23,8337.56,
2013-05-28,8590.02,
2013-06-13,7853.10,
2013-06-24,7629.70,
2013-07-01,8008.83,
2013-07-08,7702.11,
2013-07-19,7836.78,
2013-07-30,7219.82,
2013-08-06,6856.78,
2013-08-14,7384.74,
2013-08-28,7003.17,
2013-09-10,7588.51,
2013-09-19,7916.87,
2013-10-01,7652.83,
2013-10-10,8001.33,
2013-10-15,7892.37,
2013-10-28,7986.57,
2013-11-06,8306.48,
2013-11-13,8028.97,
2013-11-27,8045.61,
2013-12-09,8555.54,
2013-12-17,8166.11,
2014-01-01,8634.11,
2014-01-03,8402.85,
2014-01-16,8427.63,
2014-01-27,7971.63,
2014-02-07,8100.87,
2014-02-13,7908.46,
2014-02-28,7957.84,
2014-03-10,8445.01,
2014-03-20,8492.23,
2014-03-21,8462.11,
2014-04-02,9108.69,
2014-04-23,9363.95,
2014-05-05,9187.77,
2014-05-08,9193.75,
2014-05-23,11392.37,
2014-05-29,10903.86,
2014-06-09,12208.60,
2014-06-13,11594.16,
2014-06-27,11663.63,
2014-07-07,12204.92,
2014-07-11,11371.49,
2014-07-22,11889.10,
2014-08-01,11440.32,
2014-08-13,11383.22,
2014-08-21,11861.89,
2014-09-09,12185.15,
2014-09-16,11626.30,
2014-09-22,11928.87,
2014-10-07,11195.36,
2014-10-17,11045.38,
2014-10-31,11856.23,
2014-11-13,11576.32,
2014-11-24,11738.76,
2014-12-05,11620.97,
2014-12-16,10741.61,
2014-12-22,11138.67,
2015-01-02,11535.26,
2015-01-14,11168.09,
2015-01-20,11532.55,
2015-02-02,11635.36,
2015-02-09,11152.92,
2015-02-19,11512.69,
2015-03-03,11745.66,
2015-03-10,11458.85,
2015-03-26,11025.52,
2015-03-27,10995.36,
2015-04-13,12447.49,
2015-04-27,11531.49,
2015-05-05,11904.64,
2015-05-12,11389.29,
2015-05-22,11775.77,
2015-06-01,11810.07,
2015-06-12,11144.14,
2015-06-23,11788.97,
2015-06-29,11490.11,
2015-07-07,11921.98,
2015-07-23,12189.01,
2015-07-28,11820.32,
2015-08-07,11926.76,
2015-08-13,11193.20,
2015-08-24,10111.31,
2015-09-07,10200.69,
2015-09-14,10716.69,
2015-09-29,10209.84,
2015-10-07,10767.13,
2015-10-23,10943.82,
2015-11-02,10608.46,
2015-11-10,10303.77,
2015-11-18,10210.57,
2015-12-02,10551.03,
2015-12-09,10077.01,
2015-12-17,10556.37,
2016-01-01,10746.62,
2016-01-06,10874.11,
2016-01-18,9985.61,
2016-02-01,10335.36,
2016-02-12,9422.48,
2016-02-15,9842.34,
2016-02-29,9623.54,
2016-03-08,10310.48,
2016-03-22,10744.87,
2016-04-05,10628.46,
2016-04-13,11438.11,
2016-04-20,11636.51,
2016-05-05,11197.70,
2016-05-09,11314.07,
2016-05-24,11176.09,
2016-05-27,11529.38,
2016-06-09,11955.22,
2016-06-20,12239.63,
2016-06-24,11933.38,
2016-07-12,12885.47,
2016-07-18,12750.11,
2016-07-25,13106.34,
2016-08-03,12979.91,
2016-08-19,13715.77,
2016-08-25,13519.08,
2016-09-12,13466.30,
2016-09-22,14092.69,
2016-09-29,13801.06,
2016-10-05,14667.77,
2016-10-24,14844.28,
2016-11-01,14897.98,
2016-11-10,14671.95,
2016-11-21,13458.53,
2016-11-28,14396.18,
2016-12-09,14587.86,
2016-12-22,13917.06,
2016-12-26,13676.00,
2017-01-05,14768.60,
2017-01-20,15060.05,
2017-01-27,15773.84,
2017-02-06,16120.41,
2017-02-15,15695.36,
2017-02-21,16104.97,
2017-03-10,15650.07,
2017-03-16,16001.38,
2017-03-27,15948.14,
2017-04-05,16381.15,
2017-04-18,16287.68,
2017-04-25,16801.24,
2017-05-05,16545.24,
2017-05-17,17039.72,
2017-05-24,16084.87,
2017-06-05,16887.86,
2017-06-20,16879.82,
2017-06-28,16304.69,
2017-07-05,16812.97,
2017-07-17,17120.18,
2017-07-28,17135.54,
2017-08-07,17472.41,
2017-08-11,16765.10,
2017-08-29,17166.53,
2017-09-01,17670.62,
2017-09-12,18205.24,
2017-09-27,17402.11,
2017-10-06,18255.08,
2017-10-11,18283.82,
2017-10-26,19205.66,
2017-11-03,19314.21,
2017-11-15,18466.94,
2017-11-24,19118.57,
2017-12-06,18463.08,
2017-12-11,19004.97,
2017-12-27,19741.61,
2018-01-04,20748.97,
2018-01-12,21003.49,
2018-01-23,20765.79,
2018-02-06,18961.01,
2018-02-12,19732.05,
2018-02-19,19142.30,
2018-02-27,19544.87,
2018-03-09,18479.77,
2018-03-23,17842.39,
2018-04-09,18812.41,
2018-04-18,18876.09,
2018-04-19,19146.53,
2018-05-04,18633.24,
2018-05-11,18940.97,
2018-05-23,17697.47,
2018-06-05,17603.26,
2018-06-12,18159.77,
2018-06-19,17569.06,
2018-06-28,16749.79,
2018-07-10,17336.92,
2018-07-20,16823.63,
2018-07-30,17710.80,
2018-08-09,17945.43,
2018-08-16,17477.98,
2018-08-31,18045.29,
2018-09-11,17505.89,
2018-09-14,17873.29,
2018-10-05,15869.01,
2018-10-16,16612.83,
2018-10-23,15781.06,
2018-10-26,15677.24,
2018-11-09,16680.00,
2018-11-28,16167.91,
2018-12-03,16440.78,
2018-12-10,15740.87,
2018-12-19,16558.11,
2019-01-03,16054.53,
2019-01-14,15908.23,
2019-01-18,16173.75,
2019-01-28,15524.83,
2019-02-07,15808.78,
2019-02-18,15126.39,
2019-02-28,15843.17,
2019-03-12,16981.75,
2019-03-25,16906.02,
2019-04-01,17380.00,
2019-04-11,17105.61,
2019-04-23,16946.44,
2019-05-03,17390.62,
2019-05-15,16545.33,
2019-05-27,18071.91,
2019-06-03,18226.11,
2019-06-10,17591.40,
2019-06-24,17288.74,
2019-07-02,17827.22,
2019-07-08,17152.74,
2019-07-17,17469.06,
2019-07-30,16319.91,
2019-08-16,16244.92,
2019-08-22,15502.67,
2019-08-27,16101.29,
2019-09-17,16224.87,
2019-09-26,17373.38,
2019-10-07,16904.09,
2019-10-11,17137.98,
2019-10-22,18055.36,
2019-11-04,18349.43,
2019-11-15,17781.01,
2019-11-28,18036.32,
2019-12-03,17699.49,
2019-12-10,17586.80,
2019-12-30,18424.74,
2020-01-06,18256.92,
2020-01-15,19088.92,
2020-01-24,18913.89,
2020-02-03,18034.21,
2020-02-06,18718.34,
2020-02-20,18434.71,
2020-03-05,17235.26,
2020-03-12,14778.30,
2020-03-23,12443.86,
2020-04-03,13173.75,
2020-04-09,14579.95,
2020-04-29,15239.22,
2020-04-30,15784.74,
2020-05-19,14432.09,
2020-06-01,15891.49,
2020-06-08,16752.69,
2020-06-15,16340.46,
2020-06-23,17358.94,
2020-06-30,16769.56,
2020-07-15,17216.23,
2020-07-23,18687.49,
2020-08-03,18752.83,
2020-08-06,19532.37,
2020-08-24,20847.17,
2020-08-31,19709.29,
2020-09-09,19551.95,
2020-09-16,20634.16,
2020-09-24,18961.52,
2020-10-06,19938.16,
2020-10-15,19462.67,
2020-10-23,20182.21,
2020-11-03,19666.85,
2020-11-17,21236.78,
2020-11-25,21341.89,
2020-12-07,22832.78,
2020-12-21,21897.10,
2020-12-30,23017.79,
2021-01-08,23787.77,
2021-01-20,23733.33,
2021-01-29,21997.33,
2021-02-04,23818.21,
2021-02-15,24215.77,
2021-02-25,26070.11,
2021-03-04,27012.00,
2021-03-17,25791.40,
2021-03-25,25588.41,
2021-04-08,27930.80,
2021-04-20,27019.91,
2021-04-26,27467.49,
2021-05-10,31352.14,
2021-05-17,30642.34,
2021-05-25,31417.20,
2021-06-07,31946.11,
2021-06-18,30989.52,
2021-06-30,31406.99,
2021-07-07,32249.43,
