# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:36:50.538270+00:00
date,nav
2013-01-02,28.01000
2013-01-09,28.25000
2013-01-11,27.44000
2013-01-30,27.26000
2013-02-08,26.16000
2013-02-15,25.81870
2013-02-20,26.30300
2013-03-04,25.11610
2013-03-12,25.88390
2013-03-22,24.41920
2013-04-02,25.03280
2013-04-15,23.98440
2013-04-22,24.89330
2013-05-08,26.08760
2013-05-16,26.57870
2013-05-23,26.04160
2013-06-07,26.35340
2013-06-19,25.61640
2013-06-25,24.25460
2013-07-01,25.03240
2013-07-18,25.41040
2013-07-23,25.29160
2013-08-06,23.11030
2013-08-14,24.57310
2013-08-21,22.92170
2013-08-28,22.51650
2013-09-03,22.74090
2013-09-11,23.84350
2013-09-26,24.52280
2013-10-01,24.73480
2013-10-14,26.19940
2013-10-28,26.46930
2013-11-06,27.97880
2013-11-13,27.82650
2013-11-22,28.13290
2013-11-29,29.41500
2013-12-13,29.48860
2013-12-26,31.29810
2014-01-02,31.06470
2014-01-08,31.75250
2014-01-23,31.59830
2014-01-30,30.44550
2014-02-12,31.76410
2014-02-17,31.33450
2014-03-06,33.84460
2014-03-14,33.30770
2014-03-21,34.03240
2014-03-31,35.10480
2014-04-07,34.54800
2014-04-30,34.80740
2014-05-12,35.68510
2014-05-16,36.00630
2014-05-22,38.69070
2014-05-30,38.69920
2014-06-10,40.70760
2014-06-20,40.40590
2014-07-04,43.70940
2014-07-14,41.47660
2014-07-22,43.58830
2014-07-28,42.90660
2014-08-13,42.92220
2014-08-22,45.28020
2014-08-28,45.23610
2014-09-12,48.73850
2014-09-25,46.98910
2014-09-29,48.22360
2014-10-16,46.79970
2014-10-31,49.86550
2014-11-05,49.88300
2014-11-17,51.83260
2014-11-25,51.30510
2014-12-05,53.62900
2014-12-17,50.43170
2015-01-01,54.67530
2015-01-07,53.74430
2015-01-16,55.37750
2015-01-29,56.15150
2015-02-09,53.82870
2015-02-18,56.64030
2015-02-26,55.50600
2015-03-05,58.75150
2015-03-24,56.97990
2015-03-27,56.32340
2015-04-13,60.66520
2015-04-24,56.46070
2015-05-04,58.10950
2015-05-07,55.77290
2015-05-18,58.64290
2015-05-29,59.98570
2015-06-12,56.93880
2015-06-23,60.49630
2015-06-29,59.38290
2015-07-07,62.43340
2015-07-20,63.19570
2015-07-27,61.93550
2015-08-05,63.82800
2015-08-19,63.74370
2015-08-24,58.53150
2015-08-31,60.11910
2015-09-08,58.15510
2015-09-21,59.84500
2015-10-06,60.91700
2015-10-14,60.40260
2015-10-21,61.25120
2015-11-06,59.88180
2015-11-18,59.92220
2015-11-30,61.63620
2015-12-09,60.36090
2015-12-16,60.74410
2015-12-31,63.12460
2016-01-11,61.70630
2016-01-18,56.96610
2016-01-29,59.60750
2016-02-08,58.90140
2016-02-12,55.11890
2016-02-26,53.70160
2016-03-03,56.80450
2016-03-16,57.34300
2016-03-22,58.97620
2016-04-07,60.05040
2016-04-18,63.44950
2016-04-29,62.88930
2016-05-12,64.66390
2016-05-23,63.32850
2016-05-30,65.49920
2016-06-08,67.11270
2016-06-16,65.67020
2016-06-24,65.11890
2016-07-04,68.68420
2016-07-19,68.19710
2016-07-29,70.35770
2016-08-04,69.46680
2016-08-18,71.03260
2016-08-29,71.18780
2016-09-08,72.92800
2016-09-12,71.42680
2016-09-29,71.35630
2016-10-05,74.72310
2016-10-13,73.40200
2016-11-01,75.18030
2016-11-10,72.49590
2016-11-15,67.62900
2016-11-30,69.41670
2016-12-02,68.19740
2016-12-12,68.30770
2016-12-26,65.07310
2017-01-03,68.06610
2017-01-11,69.55190
2017-01-20,69.70540
2017-02-06,73.79200
2017-02-15,72.17800
2017-02-20,73.86920
2017-03-08,72.86730
2017-03-16,74.92340
2017-03-22,74.26110
2017-04-05,77.49480
2017-04-18,77.54480
2017-04-25,79.41230
2017-05-05,79.02360
2017-05-17,80.32820
2017-05-24,75.87100
2017-06-05,79.79640
2017-06-16,80.91170
2017-06-28,78.55740
2017-07-03,80.39380
2017-07-13,81.68660
2017-07-20,80.84320
2017-08-07,80.93780
2017-08-10,77.18350
2017-08-17,79.46940
2017-08-29,78.60710
2017-09-12,81.80350
2017-09-19,82.88470
2017-09-27,78.52600
2017-10-10,81.21990
2017-10-26,81.77480
2017-11-02,83.75560
2017-11-15,82.44810
2017-11-21,85.02340
2017-11-29,87.26140
2017-12-14,85.91450
2017-12-26,90.38380
2018-01-02,90.18560
2018-01-09,92.86760
2018-01-23,90.69160
2018-02-02,85.22940
2018-02-06,83.52570
2018-02-22,83.27690
2018-02-28,85.41510
2018-03-07,82.96390
2018-03-23,81.69080
2018-04-03,85.15250
2018-04-10,86.33850
2018-04-23,87.53410
2018-04-30,87.63190
2018-05-11,85.10240
2018-05-21,80.81140
2018-06-05,77.68400
2018-06-12,79.99060
2018-06-15,79.39360
2018-06-28,75.02080
2018-07-10,77.84430
2018-07-19,74.84160
2018-07-30,78.68240
2018-08-03,79.83670
2018-08-13,78.73410
2018-08-31,82.14100
2018-09-05,79.86460
2018-09-14,79.93650
2018-09-24,74.83040
2018-10-09,67.22170
2018-10-16,71.52210
2018-10-26,67.57180
2018-11-09,73.49140
2018-11-22,73.12360
2018-12-04,74.09500
2018-12-10,71.27470
2018-12-19,75.64330
2018-12-27,74.46910
2019-01-10,75.14420
2019-01-16,75.31390
2019-01-28,72.73010
2019-02-07,73.89870
2019-02-18,70.34150
2019-02-27,72.46450
2019-03-12,77.86770
2019-03-25,76.87160
2019-04-01,79.80330
2019-04-05,79.99880
2019-04-16,79.55450
2019-04-26,78.02760
2019-05-13,72.86840
2019-05-20,76.53560
2019-05-28,78.59680
2019-06-06,76.65140
2019-06-19,75.14370
2019-07-01,77.71250
2019-07-08,74.45940
2019-07-17,74.67230
2019-07-24,71.03170
2019-08-05,68.51940
2019-08-22,67.81510
2019-08-27,70.25890
2019-09-05,69.76270
2019-09-23,75.09970
2019-10-01,71.82300
2019-10-10,70.70040
2019-10-25,72.54680
2019-11-04,75.57000
2019-11-08,74.27020
2019-11-22,74.60250
2019-11-29,76.16420
2019-12-10,74.35780
2019-12-24,74.97130
2020-01-06,75.67420
2020-01-13,78.10550
2020-01-24,81.96930
2020-02-03,81.15080
2020-02-07,83.55840
2020-02-20,82.58130
2020-03-03,78.83530
2020-03-11,73.74120
2020-03-23,53.03260
2020-04-03,54.41770
2020-04-09,59.08290
2020-04-20,61.00070
2020-04-30,63.86430
2020-05-18,59.06360
2020-05-27,61.12190
2020-06-02,65.42050
2020-06-15,66.49020
2020-06-23,70.97990
2020-06-29,70.16930
2020-07-15,72.09670
2020-07-23,75.21530
2020-07-30,73.47750
2020-08-10,77.44840
2020-08-17,76.77110
2020-08-27,80.96380
2020-09-09,77.03890
2020-09-16,82.59800
2020-09-24,76.71170
2020-10-06,81.14690
2020-10-15,78.85790
2020-10-23,82.14400
2020-10-30,81.71960
2020-11-11,83.88120
2020-11-25,89.29720
2020-12-02,94.40080
2020-12-17,98.10060
2020-12-22,94.72470
2021-01-08,105.33800
2021-01-18,101.77630
2021-01-28,100.54850
2021-02-03,107.05420
2021-02-15,114.42090
2021-02-22,112.54460
2021-03-04,118.45960
2021-03-18,112.55340
2021-03-25,111.40320
2021-04-08,119.06320
2021-04-12,113.52140
2021-04-29,118.92470
2021-05-04,118.34850
2021-05-14,117.23740
2021-05-24,122.76850
2021-06-02,123.10890
2021-06-11,127.77210
2021-06-23,127.47400
2021-07-05,131.97360
2021-07-16,135.20640
2021-07-28,133.30920
2021-08-03,138.42710
2021-08-11,134.36930
2021-08-23,131.37880
2021-09-01,140.09980
2021-09-16,144.32820
2021-09-20,140.94840
2021-10-06,144.44450
2021-10-18,153.31020
2021-10-25,144.54670
2021-11-08,155.25710
2021-11-16,157.14590
2021-11-29,147.34260
2021-12-02,151.40310
2021-12-13,154.60460
2021-12-20,145.38250
2022-01-03,155.51060
2022-01-12,162.05470
2022-01-24,150.23980
2022-02-02,155.66210
2022-02-14,144.54010
2022-02-17,148.36860
2022-03-07,137.05650
2022-03-10,142.35230
2022-03-28,145.40890
2022-04-05,152.98880
2022-04-11,155.34700
2022-04-28,153.70030
2022-05-02,153.50990
2022-05-12,139.06470
2022-05-20,144.18350
2022-06-02,147.23050
2022-06-13,138.89870
2022-06-22,134.90730
2022-06-27,140.29560
2022-07-07,147.15940
2022-07-15,147.32970
2022-08-01,156.80750
2022-08-04,157.04160
2022-08-22,158.96330
2022-08-29,161.10450
2022-09-12,170.17180
2022-09-22,168.31530
2022-09-26,160.18980
2022-10-06,165.44650
2022-10-14,160.94070
2022-11-04,165.19090
2022-11-14,162.05230
2022-11-22,160.82060
2022-12-02,164.52550
2022-12-14,164.53130
2022-12-23,154.29590
2022-12-28,158.66730
2023-01-06,157.13820
2023-01-18,158.05440
2023-01-30,154.55480
2023-02-08,159.20050
2023-02-14,157.50190
2023-03-01,161.71630
2023-03-08,162.13820
2023-03-20,155.04190
2023-03-28,153.07190
2023-04-12,161.95970
2023-04-25,161.60010
2023-05-04,168.10060
2023-05-11,170.82190
2023-05-25,171.46780
2023-06-05,177.00040
2023-06-07,181.04040
2023-06-21,185.43710
2023-06-23,183.15450
2023-07-10,184.66570
2023-07-17,188.48920
2023-08-01,191.21390
2023-08-03,188.31350
2023-08-17,186.35430
2023-08-25,189.96390
2023-09-11,203.91170
2023-09-13,198.32750
2023-10-03,200.24660
2023-10-09,196.63660
2023-10-19,200.42730
2023-10-26,191.37120
2023-11-10,198.20380
2023-11-17,202.70410
2023-11-28,204.07970
2023-12-05,209.51110
2023-12-20,210.07240
2023-12-29,216.11220
2024-01-05,219.59110
2024-01-23,213.54050
2024-01-31,218.04010
2024-02-13,216.71760
2024-02-19,223.35480
2024-02-27,223.62630
2024-03-13,211.77500
2024-03-20,214.65960
2024-04-02,229.46400
2024-04-10,233.02360
2024-04-22,228.25040
2024-05-02,235.45360
2024-05-09,227.44100
2024-05-17,239.03380
2024-06-04,233.35610
2024-06-06,244.24470
2024-06-18,259.79830
2024-06-27,258.53450
2024-07-05,262.04470
2024-07-19,256.04390
2024-07-31,266.85260
2024-08-05,254.61730
2024-08-22,268.27210
2024-08-26,266.63620
2024-09-09,268.87570
2024-09-13,274.73310
2024-09-24,279.41750
2024-10-07,264.87120
2024-10-16,273.88700
2024-10-22,264.60510
2024-11-06,265.78410
2024-11-13,253.87350
2024-11-21,254.15990
2024-12-04,265.61380
2024-12-16,270.49950
2024-12-20,262.04180
2025-01-02,266.49920
2025-01-13,248.55210
2025-01-20,255.31830
2025-01-28,244.91400
2025-02-07,252.60630
2025-02-14,236.61690
2025-02-28,229.44580
2025-03-13,233.47040
2025-03-24,248.97140
2025-04-01,242.59630
2025-04-07,234.90900
2025-04-22,254.58890
2025-05-09,248.66940
2025-05-19,261.75510
2025-05-20,258.67680
2025-06-03,259.81730
2025-06-10,266.94110
2025-06-19,258.59850
2025-06-30,269.34760
2025-07-11,266.79750
2025-07-23,268.41560
2025-07-28,258.71200
2025-08-08,250.38780
2025-08-20,258.62950
2025-08-29,251.10550
2025-09-02,254.18390
2025-09-18,261.58330
2025-09-26,251.61490
2025-10-07,257.33380
2025-10-14,255.46160
2025-10-29,263.10180
2025-11-07,260.43960
2025-11-17,266.23220
2025-11-30,265.58590
2025-12-08,258.62580
2025-12-12,262.58510
2025-12-30,262.42020
2026-01-06,268.95200
2026-01-20,254.59370
2026-01-23,251.51630
2026-02-09,266.38210
2026-02-13,262.38140
2026-02-26,267.00480
2026-03-04,255.04640
2026-03-18,249.26750
2026-03-23,235.13450
2026-04-07,239.94010
2026-04-17,262.37120
2026-04-22,266.67860
2026-05-07,271.99650
2026-05-12,262.34410
2026-05-27,267.87950
2026-06-08,258.95070
2026-06-11,256.62370
2026-06-22,273.06060
2026-07-08,268.64640
2026-07-15,276.52780
2026-07-23,273.24230
2026-08-03,278.15710
2026-08-06,275.85890
2026-08-19,274.15090
2026-08-27,277.61790
2026-09-15,263.71170
