# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:36:51.405399+00:00
stretch_ending,fund_return,benchmark_return
2016-03-18,0.122286,
2016-03-23,0.124812,
2016-03-31,0.123771,
2016-04-07,0.126085,
2016-04-13,0.126733,
2016-04-22,0.127065,
2016-04-29,0.125477,
2016-05-06,0.125363,
2016-05-13,0.126591,
2016-05-20,0.125271,
2016-05-27,0.127179,
2016-06-10,0.129521,
2016-06-17,0.129628,
2016-06-24,0.129754,
2016-07-01,0.130713,
2016-07-08,0.131887,
2016-07-15,0.136491,
2016-07-22,0.136396,
2016-07-29,0.140499,
2016-08-05,0.142826,
2016-08-12,0.141352,
2016-08-26,0.141883,
2016-09-02,0.143720,
2016-09-09,0.139942,
2016-09-16,0.138380,
2016-09-23,0.136756,
2016-09-30,0.135168,
2016-10-07,0.137449,
2016-10-14,0.136752,
2016-10-21,0.136610,
2016-11-04,0.132419,
2016-11-11,0.131959,
2016-11-18,0.131135,
2016-11-25,0.133237,
2016-12-02,0.131773,
2016-12-09,0.131735,
2016-12-16,0.130405,
2016-12-23,0.127861,
2016-12-30,0.128429,
2017-01-06,0.129643,
2017-01-20,0.130670,
2017-01-27,0.134817,
2017-02-03,0.135676,
2017-02-10,0.135115,
2017-02-17,0.134477,
2017-02-23,0.133991,
2017-03-03,0.134935,
2017-03-10,0.133698,
2017-03-17,0.135198,
2017-03-24,0.134538,
2017-03-31,0.132768,
2017-04-13,0.132431,
2017-04-21,0.131243,
2017-04-28,0.131324,
2017-05-05,0.131089,
2017-05-12,0.129281,
2017-05-19,0.126288,
2017-05-26,0.122968,
2017-06-02,0.122640,
2017-06-09,0.121850,
2017-06-23,0.121369,
2017-06-30,0.116321,
2017-07-07,0.116710,
2017-07-14,0.118386,
2017-07-21,0.114127,
2017-07-28,0.115620,
2017-08-04,0.115218,
2017-08-11,0.113598,
2017-08-18,0.113911,
2017-08-24,0.112453,
2017-09-08,0.111884,
2017-09-15,0.112193,
2017-09-22,0.110222,
2017-09-29,0.107906,
2017-10-06,0.108997,
2017-10-13,0.109181,
2017-10-18,0.110124,
2017-10-27,0.108867,
2017-11-03,0.107798,
2017-11-10,0.105362,
2017-11-24,0.109123,
2017-11-30,0.107636,
2017-12-08,0.107675,
2017-12-15,0.109140,
2017-12-22,0.110316,
2017-12-29,0.109801,
2018-01-05,0.109873,
2018-01-12,0.107730,
2018-01-19,0.105700,
2018-01-25,0.103851,
2018-02-09,0.102212,
2018-02-16,0.098231,
