# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:36:48.557760+00:00
date,fund_value_inr,benchmark_value_inr
2013-01-02,10000.00,
2013-01-04,10017.96,
2013-01-11,9835.04,
2013-01-22,9894.51,
2013-02-08,9630.79,
2013-02-13,9686.89,
2013-02-20,9707.32,
2013-03-04,9260.40,
2013-03-11,9669.25,
2013-03-25,9106.16,
2013-04-02,9330.14,
2013-04-10,9042.41,
2013-04-22,9447.50,
2013-05-13,9732.52,
2013-05-17,10087.80,
2013-05-23,9688.63,
2013-06-06,9733.99,
2013-06-13,9349.62,
2013-06-26,9081.61,
2013-07-01,9450.82,
2013-07-15,9707.53,
2013-07-23,9632.73,
2013-08-06,8858.43,
2013-08-14,9206.30,
2013-08-21,8581.02,
2013-08-28,8564.09,
2013-09-03,8692.27,
2013-09-11,9383.50,
2013-09-19,9638.08,
2013-09-30,9353.83,
2013-10-14,10054.66,
2013-10-28,9941.21,
2013-11-01,10348.31,
2013-11-13,10066.87,
2013-11-22,10100.20,
2013-12-09,10689.10,
2013-12-13,10463.95,
2013-12-27,10901.45,
2014-01-02,10771.75,
2014-01-10,10756.17,
2014-01-22,11083.94,
2014-01-30,10577.04,
2014-02-13,10543.14,
2014-02-20,10703.24,
2014-02-28,11099.61,
2014-03-07,11374.86,
2014-03-20,11293.35,
2014-03-31,11649.69,
2014-04-16,11604.58,
2014-04-23,11950.47,
2014-05-08,11728.58,
2014-05-13,12307.31,
2014-05-23,13051.70,
2014-05-30,12938.09,
2014-06-10,13720.04,
2014-06-23,13578.38,
2014-07-04,14343.38,
2014-07-11,13577.99,
2014-07-23,14246.18,
2014-07-28,13979.50,
2014-08-08,13717.69,
2014-08-19,14503.39,
2014-09-03,15148.29,
2014-09-12,15429.44,
2014-09-25,14817.88,
2014-09-30,15052.92,
2014-10-16,14560.33,
2014-10-31,15597.96,
2014-11-10,15734.23,
2014-11-17,16172.42,
2014-12-03,16478.99,
2014-12-09,15955.28,
2014-12-17,15439.45,
2014-12-23,16029.87,
2015-01-07,16005.40,
2015-01-15,16824.00,
2015-01-27,17570.31,
2015-02-09,16782.41,
2015-02-19,17880.44,
2015-02-26,17409.81,
2015-03-05,18214.60,
2015-03-13,17703.88,
2015-03-26,17109.37,
2015-04-13,18322.32,
2015-04-20,17385.09,
2015-04-27,16727.35,
2015-05-07,16556.49,
2015-05-18,17481.58,
2015-05-29,17703.56,
2015-06-08,16993.31,
2015-06-15,17005.32,
2015-06-23,17804.98,
2015-07-09,17936.11,
2015-07-16,18595.04,
2015-07-27,18067.88,
2015-08-05,18748.17,
2015-08-18,18527.90,
2015-08-24,16933.25,
2015-08-28,17462.60,
2015-09-08,16884.65,
2015-09-28,17228.46,
2015-10-05,17850.49,
2015-10-14,17649.58,
2015-10-20,18098.62,
2015-11-05,17457.31,
2015-11-18,17124.42,
2015-11-30,17818.06,
2015-12-09,17202.03,
2015-12-17,17727.21,
2015-12-31,18136.65,
2016-01-06,17994.39,
2016-01-18,16560.85,
2016-01-29,17106.96,
2016-02-05,16776.62,
2016-02-11,15612.80,
2016-02-25,15374.14,
2016-03-03,16372.40,
2016-03-16,16383.96,
2016-03-22,16888.36,
2016-04-07,16924.70,
2016-04-18,17654.26,
2016-04-29,17402.84,
2016-05-12,17735.89,
2016-05-23,17233.46,
2016-05-27,17917.28,
2016-06-08,18341.58,
2016-06-14,17965.62,
2016-06-24,17914.14,
2016-07-04,18725.60,
2016-07-18,18685.11,
2016-07-28,19406.65,
2016-08-04,19114.70,
2016-08-09,19523.94,
2016-08-23,19503.38,
2016-09-06,20382.52,
2016-09-12,19909.10,
2016-09-22,20438.26,
2016-09-29,19700.94,
2016-10-10,20459.54,
2016-10-24,20522.97,
2016-11-08,19776.74,
2016-11-15,18306.87,
2016-11-22,18106.51,
2016-12-09,18877.52,
2016-12-12,18628.76,
2016-12-26,17662.84,
2017-01-02,18406.46,
2017-01-09,18582.65,
2017-01-20,18951.36,
2017-02-06,20174.82,
2017-02-15,19780.11,
2017-02-21,20348.36,
2017-03-08,20324.52,
2017-03-16,20770.23,
2017-03-22,20548.68,
2017-04-05,21286.90,
2017-04-18,21204.99,
2017-04-25,21646.01,
2017-05-09,21599.15,
2017-05-16,22095.49,
2017-05-24,21175.49,
2017-06-05,22237.44,
2017-06-12,22054.82,
2017-06-28,21888.19,
2017-07-03,22368.99,
2017-07-13,22795.68,
2017-07-18,22544.48,
2017-07-31,22946.82,
2017-08-11,22037.32,
2017-08-17,22676.27,
2017-08-29,22586.99,
2017-09-12,23306.62,
2017-09-19,23496.16,
2017-09-27,22295.02,
2017-10-06,23074.88,
2017-10-18,23484.01,
2017-11-01,24529.03,
2017-11-15,24006.17,
2017-11-21,24721.68,
2017-11-29,25118.70,
2017-12-06,24317.20,
2017-12-20,25681.48,
