# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:36:49.109071+00:00
date,fund_value_inr,benchmark_value_inr
2013-01-01,10000.00,
2013-01-10,10021.18,
2013-01-13,10028.08,
2013-01-24,10053.71,
2013-02-06,10083.47,
2013-02-16,10106.07,
2013-02-21,10117.50,
2013-03-04,10142.72,
2013-03-13,10164.23,
2013-03-24,10191.62,
2013-04-04,10223.33,
2013-04-08,10232.19,
2013-04-15,10250.76,
2013-04-24,10272.07,
2013-05-05,10298.44,
2013-05-17,10326.66,
2013-05-23,10340.62,
2013-06-02,10364.19,
2013-06-11,10385.04,
2013-06-25,10416.90,
2013-07-04,10439.23,
2013-07-15,10464.33,
2013-07-17,10451.45,
2013-07-26,10467.48,
2013-08-05,10499.55,
2013-08-22,10550.68,
2013-08-28,10568.45,
2013-09-04,10589.61,
2013-09-19,10636.24,
2013-09-24,10651.26,
2013-10-08,10694.92,
2013-10-11,10703.67,
2013-10-24,10741.25,
2013-10-31,10761.55,
2013-11-10,10789.82,
2013-11-19,10814.25,
2013-11-27,10835.75,
2013-12-06,10859.69,
2013-12-18,10891.89,
2013-12-26,10913.12,
2014-01-03,10934.58,
2014-01-17,10971.58,
2014-01-24,10989.95,
2014-02-02,11013.17,
2014-02-09,11031.36,
2014-02-24,11070.56,
2014-03-05,11094.63,
2014-03-12,11113.81,
2014-03-23,11145.16,
2014-03-28,11161.58,
2014-04-04,11182.03,
2014-04-15,11213.30,
2014-04-28,11249.81,
2014-05-04,11266.43,
2014-05-18,11304.40,
2014-05-21,11312.86,
2014-06-04,11350.88,
2014-06-12,11372.43,
2014-06-25,11407.29,
2014-07-05,11434.39,
2014-07-08,11442.48,
2014-07-17,11466.52,
2014-07-25,11487.77,
2014-08-08,11525.06,
2014-08-20,11557.36,
2014-08-26,11573.76,
2014-09-01,11589.96,
2014-09-14,11625.26,
2014-09-26,11658.56,
2014-09-30,11670.13,
2014-10-08,11691.82,
2014-10-25,11738.83,
2014-11-03,11763.96,
2014-11-09,11780.67,
2014-11-16,11799.76,
2014-12-01,11840.82,
2014-12-05,11851.70,
2014-12-14,11876.13,
2014-12-25,11905.66,
2015-01-01,11925.27,
2015-01-12,11955.31,
2015-01-18,11971.98,
2015-02-04,12018.39,
2015-02-15,12048.55,
2015-02-22,12067.84,
2015-03-05,12099.23,
2015-03-11,12115.83,
2015-03-24,12152.46,
2015-03-31,12176.15,
2015-04-07,12197.07,
2015-04-20,12233.51,
2015-04-29,12258.91,
2015-05-10,12289.61,
2015-05-17,12309.26,
2015-05-26,12334.84,
2015-06-05,12362.73,
2015-06-14,12387.05,
2015-06-21,12406.05,
2015-06-29,12427.74,
2015-07-06,12447.40,
2015-07-15,12471.80,
2015-07-30,12512.34,
2015-08-11,12544.52,
2015-08-20,12568.29,
2015-08-21,12570.81,
2015-08-31,12596.99,
2015-09-16,12638.16,
2015-09-27,12667.16,
2015-10-01,12680.04,
2015-10-07,12696.06,
2015-10-20,12730.01,
2015-11-01,12761.09,
2015-11-09,12782.06,
2015-11-19,12807.99,
2015-11-26,12825.96,
2015-12-09,12859.07,
2015-12-15,12874.65,
2015-12-27,12906.27,
2016-01-01,12920.75,
2016-01-08,12938.99,
2016-01-22,12975.61,
2016-02-04,13010.04,
2016-02-12,13031.66,
2016-02-23,13061.01,
2016-02-28,13074.24,
2016-03-13,13114.27,
2016-03-18,13130.76,
2016-03-29,13162.44,
2016-04-01,13186.97,
2016-04-16,13230.60,
2016-04-27,13261.36,
2016-04-29,13267.21,
2016-05-17,13318.75,
2016-05-20,13327.71,
2016-06-02,13364.07,
2016-06-08,13380.80,
2016-06-15,13400.04,
2016-06-26,13429.50,
2016-07-07,13460.42,
2016-07-15,13481.74,
2016-07-28,13516.18,
2016-08-07,13542.21,
2016-08-11,13552.50,
2016-08-22,13580.31,
2016-08-31,13603.45,
2016-09-15,13641.23,
2016-09-25,13666.31,
2016-09-30,13680.07,
2016-10-07,13698.29,
2016-10-14,13715.30,
2016-10-24,13740.20,
2016-11-06,13772.27,
2016-11-14,13792.14,
2016-11-24,13818.93,
2016-12-07,13848.88,
2016-12-14,13865.94,
2016-12-23,13887.10,
2017-01-02,13911.80,
2017-01-08,13926.37,
2017-01-24,13965.64,
2017-01-29,13977.97,
2017-02-06,13998.61,
2017-02-19,14030.26,
2017-02-28,14052.92,
2017-03-09,14075.04,
2017-03-19,14101.68,
2017-03-30,14129.13,
2017-04-01,14135.55,
2017-04-12,14163.06,
2017-04-27,14199.95,
2017-05-07,14224.94,
2017-05-10,14232.36,
2017-05-18,14253.07,
2017-06-04,14295.00,
2017-06-07,14302.71,
2017-06-21,14337.57,
2017-06-26,14350.29,
2017-07-10,14387.29,
2017-07-21,14415.01,
2017-07-30,14437.36,
2017-08-08,14460.67,
2017-08-11,14468.41,
2017-08-23,14497.94,
2017-09-04,14527.63,
2017-09-13,14550.11,
2017-09-24,14577.84,
2017-10-03,14601.01,
2017-10-09,14615.92,
2017-10-17,14636.49,
2017-10-29,14666.12,
2017-11-08,14692.24,
2017-11-17,14714.48,
2017-11-28,14742.02,
2017-12-03,14754.68,
2017-12-15,14784.78,
2017-12-26,14812.75,
2017-12-29,14821.44,
2018-01-07,14844.89,
2018-01-21,14881.43,
2018-01-24,14889.51,
2018-02-03,14916.17,
2018-02-19,14958.90,
2018-03-02,14988.64,
2018-03-11,15015.13,
2018-03-16,15033.10,
2018-03-27,15060.55,
2018-03-31,15085.89,
2018-04-09,15111.70,
2018-04-26,15159.02,
2018-05-01,15173.21,
2018-05-14,15209.24,
2018-05-24,15237.08,
2018-05-30,15255.93,
2018-06-05,15273.60,
2018-06-17,15310.50,
2018-06-28,15345.39,
2018-07-05,15368.73,
2018-07-11,15387.06,
2018-07-29,15441.04,
2018-08-06,15466.85,
2018-08-09,15475.86,
2018-08-24,15519.98,
2018-08-27,15528.91,
2018-09-14,15582.98,
2018-09-23,15610.43,
2018-09-28,15626.27,
2018-10-21,15699.28,
2018-10-26,15715.21,
2018-11-11,15766.65,
2018-11-16,15783.09,
2018-11-26,15815.14,
2018-12-09,15856.51,
2018-12-21,15893.91,
2019-01-04,15938.95,
2019-01-06,15945.23,
2019-01-18,15983.18,
2019-02-03,16032.53,
2019-02-15,16069.28,
2019-02-17,16075.31,
2019-03-02,16114.55,
2019-03-15,16155.51,
2019-03-28,16196.12,
2019-04-02,16224.58,
2019-04-12,16253.86,
2019-04-28,16302.93,
2019-05-03,16318.05,
2019-05-19,16368.78,
2019-05-26,16391.34,
2019-06-07,16429.71,
2019-06-16,16456.31,
2019-06-28,16490.96,
2019-07-07,16518.51,
2019-07-26,16573.50,
2019-07-29,16582.33,
2019-08-12,16623.64,
2019-08-23,16652.29,
2019-09-01,16675.37,
2019-09-20,16722.86,
2019-09-27,16739.56,
2019-10-08,16772.01,
2019-10-21,16806.21,
2019-11-07,16845.94,
2019-11-17,16870.08,
2019-11-26,16891.96,
2019-12-06,16916.19,
2019-12-10,16926.34,
2019-12-20,16950.08,
2020-01-05,16989.01,
2020-01-17,17014.21,
2020-01-31,17047.76,
2020-02-02,17052.56,
2020-02-23,17103.86,
2020-03-03,17124.32,
2020-03-16,17161.15,
2020-03-24,17141.85,
2020-03-27,17200.23,
2020-04-07,17232.94,
2020-04-22,17275.30,
2020-05-01,17288.16,
2020-05-17,17331.96,
2020-05-26,17353.47,
2020-06-05,17366.03,
2020-06-15,17387.72,
2020-07-01,17419.08,
2020-07-10,17432.14,
2020-07-26,17456.54,
2020-07-31,17463.22,
2020-08-17,17491.40,
2020-08-22,17499.86,
2020-09-06,17522.18,
2020-09-11,17527.55,
2020-09-25,17549.63,
2020-10-05,17567.91,
2020-10-25,17601.05,
2020-10-30,17607.80,
2020-11-15,17633.00,
2020-11-22,17644.15,
2020-12-03,17657.30,
2020-12-18,17678.65,
2020-12-27,17692.09,
2021-01-04,17705.59,
2021-01-15,17716.54,
2021-01-31,17741.50,
2021-02-09,17756.07,
2021-02-21,17777.54,
2021-02-26,17784.57,
2021-03-12,17804.00,
2021-03-19,17815.78,
2021-03-30,17837.16,
2021-04-16,17864.00,
2021-04-25,17878.48,
2021-05-07,17895.99,
2021-05-09,17899.15,
2021-05-21,17917.69,
2021-06-06,17943.46,
2021-06-18,17961.70,
2021-06-27,17977.76,
2021-07-09,17997.68,
2021-07-18,18013.49,
2021-07-25,18025.83,
2021-08-06,18045.15,
2021-08-15,18062.21,
2021-08-29,18085.91,
2021-09-13,18108.97,
2021-09-24,18125.23,
2021-09-29,18131.58,
2021-10-17,18162.93,
2021-10-26,18174.84,
2021-11-05,18192.60,
2021-11-14,18211.55,
2021-11-19,18220.35,
2021-12-05,18248.79,
2021-12-17,18269.06,
2021-12-26,18285.21,
2022-01-09,18311.31,
2022-01-21,18329.61,
2022-01-24,18334.87,
2022-02-04,18352.72,
2022-02-14,18373.22,
2022-03-04,18404.59,
2022-03-11,18417.14,
2022-03-25,18443.56,
2022-04-04,18465.20,
2022-04-15,18483.30,
2022-05-01,18512.31,
2022-05-05,18509.23,
2022-05-13,18525.74,
2022-05-23,18549.08,
2022-06-07,18581.80,
2022-06-17,18605.61,
2022-07-03,18647.60,
2022-07-10,18665.77,
2022-07-22,18691.66,
2022-07-29,18706.72,
2022-08-12,18746.68,
2022-08-21,18772.31,
2022-09-06,18818.30,
2022-09-18,18848.08,
2022-09-28,18867.79,
2022-10-03,18893.30,
2022-10-14,18921.28,
2022-10-28,18964.78,
2022-11-07,19000.16,
2022-11-18,19036.01,
2022-12-04,19089.78,
2022-12-09,19106.36,
2022-12-23,19154.31,
2023-01-02,19194.86,
2023-01-08,19215.70,
2023-01-20,19252.52,
2023-02-05,19306.59,
2023-02-14,19337.71,
2023-02-24,19369.65,
2023-03-09,19414.83,
2023-03-14,19438.40,
2023-03-28,19478.03,
2023-04-08,19544.59,
2023-04-21,19591.01,
2023-04-28,19613.22,
2023-05-07,19646.45,
2023-05-22,19707.47,
2023-05-31,19738.14,
2023-06-11,19777.57,
2023-06-23,19821.58,
2023-06-30,19845.66,
2023-07-09,19880.90,
2023-07-28,19949.76,
2023-08-06,19983.27,
2023-08-11,19999.54,
2023-08-25,20050.48,
2023-09-03,20084.97,
2023-09-15,20129.04,
2023-10-02,20194.58,
2023-10-06,20209.19,
2023-10-15,20242.82,
2023-10-29,20294.66,
2023-11-10,20340.73,
2023-11-19,20375.85,
2023-12-01,20421.46,
