# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:36:40.586375+00:00
date,fund_value_inr,benchmark_value_inr
2013-11-18,10000.00,
2013-11-22,10009.16,
2013-12-02,10046.07,
2013-12-10,10067.20,
2013-12-13,10077.32,
2013-12-23,10111.09,
2014-01-06,10151.44,
2014-01-10,10158.86,
2014-01-21,10189.83,
2014-01-30,10201.48,
2014-02-10,10235.89,
2014-02-18,10251.35,
2014-03-04,10276.36,
2014-03-11,10314.02,
2014-03-24,10370.34,
2014-03-27,10377.20,
2014-04-11,10415.27,
2014-04-21,10447.10,
2014-05-09,10496.88,
2014-05-19,10524.40,
2014-05-28,10549.93,
2014-06-05,10590.53,
2014-06-09,10604.03,
2014-06-20,10628.33,
2014-06-30,10665.39,
2014-07-07,10687.18,
2014-07-14,10685.83,
2014-07-28,10734.11,
2014-08-07,10753.37,
2014-08-14,10772.52,
2014-08-28,10814.13,
2014-09-08,10866.17,
2014-09-16,10880.21,
2014-09-25,10906.14,
2014-10-07,10942.05,
2014-10-10,10952.07,
2014-10-27,11010.41,
2014-11-10,11056.47,
2014-11-14,11065.88,
2014-11-27,11105.40,
2014-12-02,11123.36,
2014-12-15,11157.60,
2014-12-19,11156.94,
2014-12-29,11180.68,
2015-01-09,11211.18,
2015-01-19,11248.19,
2015-01-27,11270.19,
2015-02-02,11285.25,
2015-02-12,11289.74,
2015-02-23,11320.80,
2015-03-09,11371.26,
2015-03-13,11378.52,
2015-03-27,11412.51,
2015-04-06,11462.75,
2015-04-17,11484.47,
2015-04-27,11507.63,
2015-04-30,11510.94,
2015-05-15,11549.40,
2015-05-25,11584.41,
2015-06-01,11612.20,
2015-06-12,11640.51,
2015-06-22,11668.47,
2015-06-26,11676.92,
2015-07-06,11708.28,
2015-07-17,11738.88,
2015-07-24,11757.05,
2015-07-31,11777.37,
2015-08-10,11809.38,
2015-08-20,11844.38,
2015-09-02,11874.13,
2015-09-11,11881.29,
2015-09-16,11890.99,
2015-09-24,11914.89,
2015-10-05,11979.85,
2015-10-19,12030.88,
2015-10-26,12047.99,
2015-11-06,12073.22,
2015-11-16,12100.21,
2015-11-30,12133.06,
2015-12-07,12151.38,
2015-12-11,12155.22,
2015-12-23,12182.25,
2016-01-04,12219.51,
2016-01-11,12239.64,
2016-01-22,12253.51,
2016-01-27,12265.59,
2016-02-05,12282.95,
2016-02-22,12328.71,
2016-02-26,12330.38,
2016-03-11,12383.26,
2016-03-15,12405.12,
2016-03-30,12449.87,
2016-04-05,12516.65,
2016-04-18,12554.98,
2016-04-29,12574.08,
2016-05-06,12590.32,
2016-05-16,12620.21,
2016-05-27,12646.74,
2016-06-03,12664.82,
2016-06-13,12699.65,
2016-06-24,12727.92,
2016-07-01,12750.04,
2016-07-12,12799.39,
2016-07-22,12833.55,
2016-08-01,12866.77,
2016-08-05,12875.85,
2016-08-16,12918.45,
2016-08-31,12953.55,
2016-09-07,12977.15,
2016-09-21,13012.32,
2016-09-29,13040.23,
2016-10-05,13083.83,
2016-10-13,13103.43,
2016-10-28,13126.01,
2016-11-08,13151.57,
2016-11-16,13215.69,
2016-11-24,13268.88,
2016-12-06,13283.39,
2016-12-08,13260.96,
2016-12-19,13287.45,
2016-12-28,13299.63,
2017-01-03,13328.41,
2017-01-16,13364.86,
2017-01-20,13373.99,
2017-02-06,13419.26,
2017-02-09,13404.45,
2017-02-27,13463.05,
2017-03-06,13481.43,
2017-03-10,13480.57,
2017-03-24,13521.65,
2017-04-03,13559.54,
2017-04-10,13570.60,
2017-04-19,13604.70,
2017-04-28,13624.15,
2017-05-15,13666.57,
2017-05-19,13676.56,
2017-06-02,13720.87,
2017-06-12,13756.86,
2017-06-19,13777.18,
2017-06-30,13799.54,
2017-07-07,13818.96,
2017-07-11,13835.95,
2017-07-24,13882.95,
2017-07-28,13891.08,
2017-08-11,13927.01,
2017-08-21,13950.79,
2017-09-04,13988.21,
2017-09-11,14003.76,
2017-09-21,14015.07,
2017-09-29,14033.49,
2017-10-04,14051.49,
2017-10-23,14100.21,
2017-10-27,14109.34,
2017-11-06,14133.89,
2017-11-16,14151.88,
2017-11-20,14164.86,
2017-12-04,14196.17,
2017-12-11,14209.98,
2017-12-22,14219.51,
2018-01-01,14246.92,
2018-01-04,14248.61,
2018-01-19,14281.21,
2018-01-29,14304.55,
2018-02-02,14311.11,
2018-02-14,14350.67,
2018-03-01,14383.18,
2018-03-12,14435.00,
2018-03-19,14467.81,
2018-03-26,14478.74,
2018-04-09,14558.27,
2018-04-17,14566.02,
2018-04-27,14551.77,
2018-05-07,14581.25,
2018-05-17,14575.73,
2018-05-24,14592.15,
2018-05-30,14623.96,
2018-06-08,14632.46,
2018-06-21,14705.60,
2018-06-28,14713.16,
2018-07-04,14747.10,
2018-07-16,14803.39,
2018-07-25,14821.26,
2018-08-01,14851.32,
2018-08-14,14887.90,
2018-08-27,14920.35,
2018-09-03,14931.07,
2018-09-12,14912.29,
2018-09-25,14910.44,
2018-10-01,14970.68,
2018-10-11,14992.89,
2018-10-22,15043.08,
2018-10-31,15050.16,
2018-11-13,15127.53,
2018-11-16,15147.50,
2018-11-30,15223.99,
2018-12-06,15272.75,
2018-12-14,15274.15,
2018-12-27,15365.45,
2019-01-07,15352.27,
2019-01-14,15415.08,
2019-01-21,15378.65,
2019-02-05,15402.32,
2019-02-13,15490.83,
2019-02-18,15473.22,
2019-02-27,15486.59,
2019-03-11,15587.69,
2019-03-20,15651.49,
2019-04-02,15783.24,
2019-04-08,15726.72,
2019-04-23,15715.68,
2019-05-03,15739.96,
2019-05-10,15777.84,
2019-05-22,15866.50,
2019-05-27,15954.81,
2019-06-06,16046.66,
2019-06-12,16031.91,
2019-06-20,16127.72,
2019-07-02,16108.53,
2019-07-16,16339.42,
2019-07-23,16325.64,
2019-07-26,16299.90,
2019-08-08,16468.80,
2019-08-14,16386.09,
2019-08-26,16521.41,
2019-09-09,16579.00,
2019-09-19,16580.09,
2019-09-25,16503.40,
2019-10-03,16594.90,
2019-10-11,16602.00,
2019-10-31,16758.94,
2019-11-08,16763.61,
2019-11-18,16838.89,
2019-11-26,16895.60,
2019-12-04,16944.59,
2019-12-11,16825.47,
2019-12-19,16848.55,
2019-12-30,16931.56,
2020-01-03,16980.62,
2020-01-17,17020.11,
2020-01-29,17095.88,
2020-02-05,17154.21,
2020-02-10,17287.43,
2020-02-27,17328.71,
2020-03-06,17400.84,
2020-03-17,17077.25,
2020-03-24,16852.18,
2020-03-31,17347.15,
2020-04-13,17169.15,
2020-04-23,17528.49,
2020-04-30,17419.72,
2020-05-14,17660.16,
2020-05-22,17804.24,
2020-06-02,17773.26,
2020-06-12,17837.08,
2020-06-19,17961.78,
2020-07-03,18130.97,
2020-07-10,18277.19,
2020-07-20,18301.48,
2020-07-28,18272.62,
2020-08-05,18322.37,
2020-08-10,18273.63,
2020-08-24,18136.38,
2020-09-03,18319.53,
2020-09-08,18226.31,
2020-09-15,18212.21,
2020-09-29,18249.40,
2020-10-08,18340.91,
2020-10-14,18480.83,
2020-10-26,18553.38,
2020-11-04,18556.94,
2020-11-06,18597.68,
2020-11-18,18639.46,
2020-11-26,18732.22,
2020-12-11,18732.95,
2020-12-23,18752.10,
2020-12-31,18788.93,
2021-01-08,18856.32,
2021-01-18,18746.30,
2021-01-29,18777.48,
2021-02-02,18667.59,
2021-02-16,18691.40,
2021-02-23,18647.77,
2021-03-08,18672.80,
2021-03-16,18577.53,
2021-03-18,18588.62,
2021-04-06,18774.04,
2021-04-16,18780.29,
2021-04-27,18856.55,
2021-05-03,18889.54,
2021-05-17,18904.83,
2021-05-19,18937.26,
2021-06-02,18970.93,
2021-06-14,19031.75,
2021-06-16,18985.14,
2021-07-02,18973.96,
2021-07-06,18974.23,
2021-07-20,19074.03,
2021-07-23,19071.53,
2021-08-06,19114.54,
2021-08-18,19183.78,
2021-08-27,19197.40,
2021-09-02,19242.95,
2021-09-08,19249.21,
2021-09-23,19285.18,
2021-09-27,19245.99,
2021-10-07,19242.38,
2021-10-14,19275.51,
2021-11-02,19264.99,
2021-11-08,19298.60,
2021-11-22,19336.38,
2021-11-25,19336.29,
2021-12-08,19373.70,
2021-12-16,19396.08,
2021-12-21,19347.03,
2022-01-03,19370.06,
2022-01-10,19358.80,
2022-01-17,19384.56,
2022-02-02,19376.43,
2022-02-14,19475.55,
2022-02-18,19488.50,
2022-02-25,19493.64,
2022-03-09,19460.69,
2022-03-21,19528.33,
2022-03-31,19567.10,
2022-04-07,19575.23,
2022-04-13,19471.61,
2022-05-02,19540.40,
2022-05-06,19354.96,
2022-05-13,19354.17,
2022-05-30,19398.48,
2022-06-07,19377.80,
2022-06-10,19412.03,
2022-06-17,19397.62,
2022-06-30,19456.90,
2022-07-06,19513.48,
2022-07-15,19522.99,
2022-07-22,19536.24,
2022-08-08,19584.14,
2022-08-17,19640.66,
2022-08-25,19651.02,
2022-09-05,19686.12,
2022-09-13,19709.28,
2022-09-23,19652.11,
2022-10-04,19703.59,
2022-10-14,19682.54,
2022-10-18,19715.52,
2022-11-04,19776.03,
2022-11-15,19849.22,
2022-11-21,19863.18,
2022-11-28,19914.83,
2022-12-09,19946.79,
2022-12-14,19974.75,
2022-12-28,19998.70,
2023-01-02,20022.37,
2023-01-06,20028.48,
2023-01-19,20098.09,
2023-01-30,20103.08,
2023-02-07,20157.98,
2023-02-14,20143.91,
2023-02-27,20153.24,
2023-03-10,20179.84,
2023-03-14,20238.04,
2023-03-28,20305.76,
2023-04-06,20435.43,
2023-04-21,20494.28,
2023-04-25,20536.27,
2023-05-08,20607.89,
2023-05-22,20695.59,
2023-05-29,20693.66,
2023-06-06,20752.10,
2023-06-09,20731.29,
2023-06-22,20744.37,
2023-07-04,20776.36,
2023-07-07,20771.43,
2023-07-18,20848.63,
2023-07-28,20862.32,
2023-08-02,20885.64,
2023-08-17,20896.25,
2023-08-28,20967.04,
2023-09-04,21004.72,
2023-09-12,21009.06,
2023-09-20,21059.28,
2023-10-05,21111.69,
2023-10-10,21072.48,
2023-10-25,21138.83,
2023-10-27,21137.46,
2023-11-15,21246.14,
2023-11-23,21245.56,
2023-11-24,21238.66,
2023-12-12,21311.05,
2023-12-18,21378.20,
2024-01-01,21435.19,
2024-01-05,21427.68,
2024-01-15,21499.76,
2024-01-25,21518.47,
2024-02-02,21617.78,
2024-02-14,21628.71,
2024-02-26,21727.16,
2024-03-01,21730.96,
2024-03-11,21807.05,
2024-03-19,21800.39,
2024-03-31,21892.17,
2024-04-10,21917.59,
2024-04-19,21887.48,
2024-05-06,21991.63,
2024-05-10,22002.48,
2024-05-27,22112.91,
2024-06-04,22096.02,
2024-06-10,22154.35,
2024-06-24,22249.75,
2024-06-27,22239.62,
2024-07-05,22287.81,
2024-07-12,22326.99,
2024-07-29,22452.61,
2024-08-05,22498.11,
2024-08-09,22506.57,
2024-08-22,22582.01,
2024-08-31,22614.17,
2024-09-10,22664.23,
2024-09-12,22679.87,
2024-09-26,22828.32,
2024-10-07,22805.42,
2024-10-15,22910.53,
2024-10-22,22886.89,
2024-11-04,22951.55,
2024-11-11,22997.13,
2024-11-22,22993.64,
2024-12-04,23125.36,
2024-12-06,23110.98,
2024-12-20,23119.72,
2024-12-23,23142.22,
2025-01-07,23220.18,
2025-01-14,23198.94,
2025-01-22,23284.62,
2025-02-05,23376.59,
2025-02-06,23401.70,
2025-02-14,23393.16,
2025-03-04,23424.29,
2025-03-13,23480.53,
2025-03-25,23624.44,
2025-04-02,23837.42,
2025-04-08,23846.08,
2025-04-22,24063.59,
2025-04-28,24060.09,
2025-05-09,24072.85,
2025-05-21,24340.28,
2025-05-29,24390.15,
2025-06-06,24449.41,
2025-06-13,24320.49,
2025-06-24,24382.99,
2025-06-27,24370.11,
2025-07-08,24456.57,
2025-07-22,24519.30,
2025-07-30,24505.53,
2025-08-05,24559.85,
2025-08-13,24475.36,
2025-08-26,24446.16,
2025-09-05,24552.96,
2025-09-16,24579.88,
2025-09-25,24647.50,
2025-10-07,24764.31,
2025-10-15,24827.39,
2025-10-24,24839.53,
2025-10-29,24871.30,
2025-11-10,24916.18,
2025-11-21,24949.14,
2025-11-26,24988.75,
2025-12-05,25007.15,
2025-12-17,24952.67,
2025-12-23,24950.77,
2026-01-01,25006.59,
2026-01-12,25003.34,
2026-01-20,24951.99,
2026-02-02,25007.66,
2026-02-05,25082.65,
2026-02-16,25140.22,
2026-03-02,25186.95,
2026-03-11,25200.52,
2026-03-18,25173.20,
2026-04-02,25049.23,
2026-04-08,25172.30,
2026-04-15,25270.20,
2026-04-30,25239.32,
2026-05-07,25315.05,
2026-05-18,25229.06,
2026-05-21,25216.07,
2026-06-04,25324.88,
2026-06-09,25481.84,
2026-06-23,25578.13,
2026-07-03,25771.08,
2026-07-08,25724.43,
2026-07-15,25730.07,
2026-07-23,25755.07,
2026-08-07,25881.85,
2026-08-14,25915.58,
2026-08-21,25834.35,
2026-09-01,25852.66,
2026-09-09,25930.45,
2026-09-16,25889.02,
2026-09-25,25899.89,
