# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:36:50.072874+00:00
date,fund_below_high,benchmark_below_high
2013-01-29,0.000000,
2013-02-05,-0.003736,
2013-02-13,-0.003524,
2013-02-26,-0.011882,
2013-02-28,-0.014620,
2013-03-08,-0.002343,
2013-03-22,-0.012563,
2013-04-02,-0.004458,
2013-04-10,-0.005799,
2013-04-25,0.000000,
2013-05-03,-0.002988,
2013-05-17,0.000000,
2013-05-23,-0.011608,
2013-06-06,-0.011583,
2013-06-13,-0.023446,
2013-06-26,-0.029528,
2013-07-02,-0.019885,
2013-07-15,-0.021042,
2013-07-24,-0.045975,
2013-08-06,-0.056030,
2013-08-14,-0.050997,
2013-08-19,-0.069859,
2013-08-28,-0.074535,
2013-09-11,-0.037387,
2013-09-19,-0.020945,
2013-09-30,-0.036379,
2013-10-09,-0.018826,
2013-10-17,-0.019132,
2013-11-01,-0.006652,
2013-11-13,-0.021220,
2013-11-19,-0.012495,
2013-11-27,-0.014466,
2013-12-09,-0.002348,
2013-12-17,-0.011303,
2013-12-27,-0.004477,
2014-01-03,-0.006494,
2014-01-22,0.000000,
2014-01-28,-0.011183,
2014-02-03,-0.014199,
2014-02-13,-0.011524,
2014-02-26,-0.000717,
2014-03-05,0.000000,
2014-03-24,0.000000,
2014-04-04,-0.003862,
2014-04-09,0.000000,
2014-04-29,-0.002820,
2014-05-05,0.000000,
2014-05-19,0.000000,
2014-05-21,-0.005508,
2014-06-03,0.000000,
2014-06-17,-0.001358,
2014-06-20,-0.008951,
2014-07-04,0.000000,
2014-07-11,-0.015674,
2014-07-23,0.000000,
2014-08-01,-0.006667,
2014-08-08,-0.009748,
2014-08-19,0.000000,
2014-09-04,-0.000951,
2014-09-12,0.000000,
2014-09-16,-0.005503,
2014-09-25,-0.008673,
2014-10-09,-0.001008,
2014-10-20,0.000000,
2014-11-11,0.000000,
2014-11-13,-0.001375,
2014-11-26,-0.003663,
2014-12-04,0.000000,
2014-12-17,-0.013752,
2014-12-22,-0.006140,
2015-01-07,-0.005704,
2015-01-09,-0.000148,
2015-01-27,0.000000,
2015-02-02,-0.000637,
2015-02-09,-0.012142,
2015-02-18,-0.002005,
2015-03-05,0.000000,
2015-03-13,-0.006976,
2015-03-26,-0.011253,
2015-04-06,0.000000,
2015-04-21,-0.010984,
2015-04-28,-0.008556,
