# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:36:52.210282+00:00
date,fund_below_high,benchmark_below_high
2022-10-11,0.000000,
2022-10-12,0.000000,
2022-10-13,-0.006228,
2022-10-18,0.000000,
2022-10-19,0.000000,
2022-10-21,-0.008544,
2022-10-27,0.000000,
2022-11-01,0.000000,
2022-11-03,0.000000,
2022-11-07,0.000000,
2022-11-10,-0.015275,
2022-11-14,-0.014347,
2022-11-15,-0.014806,
2022-11-18,-0.028618,
2022-11-21,-0.028665,
2022-11-24,-0.018823,
2022-11-28,-0.003290,
2022-11-29,-0.006839,
2022-12-01,0.000000,
2022-12-05,0.000000,
2022-12-07,-0.009732,
2022-12-09,-0.009516,
2022-12-14,0.000000,
2022-12-16,-0.023357,
2022-12-20,-0.020376,
2022-12-22,-0.044771,
2022-12-23,-0.078288,
2022-12-27,-0.046687,
2022-12-29,-0.042294,
2023-01-03,-0.028825,
2023-01-04,-0.037527,
2023-01-09,-0.032573,
2023-01-11,-0.039564,
2023-01-12,-0.041714,
2023-01-17,-0.045238,
2023-01-19,-0.042125,
2023-01-20,-0.048864,
2023-01-24,-0.050444,
2023-01-27,-0.073839,
2023-01-31,-0.061183,
2023-02-01,-0.069240,
2023-02-03,-0.068577,
2023-02-08,-0.052743,
2023-02-10,-0.049612,
2023-02-14,-0.066034,
2023-02-16,-0.054398,
2023-02-17,-0.060090,
2023-02-21,-0.062492,
2023-02-23,-0.074166,
2023-02-27,-0.081596,
2023-03-01,-0.062810,
2023-03-06,-0.053575,
2023-03-08,-0.050547,
2023-03-13,-0.078877,
2023-03-14,-0.084587,
2023-03-17,-0.080568,
2023-03-20,-0.089392,
2023-03-22,-0.081830,
2023-03-27,-0.100991,
2023-03-28,-0.103954,
2023-03-31,-0.081325,
2023-04-05,-0.076241,
2023-04-10,-0.066819,
2023-04-12,-0.057146,
2023-04-18,-0.046612,
2023-04-20,-0.048846,
2023-04-21,-0.052762,
2023-04-26,-0.049902,
2023-04-28,-0.033704,
2023-05-02,-0.026152,
2023-05-05,-0.023843,
2023-05-08,-0.014843,
2023-05-10,-0.013403,
2023-05-12,-0.013356,
2023-05-16,-0.005543,
2023-05-18,-0.011973,
2023-05-19,-0.013226,
2023-05-23,-0.002168,
2023-05-25,0.000000,
2023-05-29,0.000000,
