# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:36:44.777791+00:00
stretch_ending,fund_return,benchmark_return
2022-04-03,0.094814,
2022-04-10,0.092529,
2022-04-17,0.091163,
2022-04-24,0.091164,
2022-05-01,0.091387,
2022-05-08,0.083106,
2022-05-15,0.083060,
2022-05-22,0.080815,
2022-05-29,0.077999,
2022-06-05,0.072162,
2022-06-12,0.070645,
2022-06-19,0.064217,
2022-06-26,0.066750,
2022-07-03,0.066138,
2022-07-10,0.062357,
2022-07-17,0.060456,
2022-07-24,0.061016,
2022-07-31,0.061904,
2022-08-07,0.061299,
2022-08-12,0.066645,
2022-08-21,0.065911,
2022-08-28,0.065559,
2022-09-04,0.065121,
2022-09-11,0.067550,
2022-09-18,0.065427,
2022-09-25,0.064407,
2022-10-02,0.062796,
2022-10-09,0.060918,
2022-10-16,0.061435,
2022-10-23,0.061859,
2022-10-30,0.062379,
2022-11-06,0.062146,
2022-11-13,0.064882,
2022-11-20,0.063830,
2022-11-27,0.063693,
2022-12-04,0.066703,
2022-12-11,0.066986,
2022-12-18,0.066964,
2022-12-25,0.064427,
2023-01-01,0.064109,
2023-01-08,0.063906,
2023-01-15,0.065908,
2023-01-22,0.064528,
2023-01-29,0.064039,
2023-02-05,0.063697,
2023-02-12,0.061307,
2023-02-19,0.059652,
2023-02-26,0.059286,
2023-03-05,0.058427,
2023-03-12,0.057893,
2023-03-19,0.062145,
2023-03-26,0.065025,
2023-04-02,0.064507,
2023-04-09,0.072102,
2023-04-16,0.068366,
2023-04-23,0.060467,
2023-04-28,0.060753,
2023-05-07,0.058901,
2023-05-14,0.058432,
2023-05-21,0.057466,
2023-05-28,0.055868,
2023-06-04,0.056402,
2023-06-11,0.056613,
2023-06-18,0.056848,
2023-06-25,0.056168,
2023-07-02,0.054942,
2023-07-09,0.052184,
2023-07-16,0.052454,
2023-07-23,0.051761,
2023-07-30,0.051095,
2023-08-06,0.050570,
2023-08-13,0.052190,
2023-08-20,0.053779,
2023-08-27,0.056045,
2023-09-03,0.052047,
2023-09-10,0.054294,
2023-09-17,0.056131,
2023-09-24,0.058006,
2023-09-30,0.057870,
