# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:36:46.950206+00:00
stretch_ending,fund_return,benchmark_return
2023-11-03,0.054114,
2023-11-10,0.054163,
2023-11-17,0.054782,
2023-11-24,0.054491,
2023-12-01,0.055109,
2023-12-08,0.054429,
2023-12-15,0.054346,
2023-12-22,0.053109,
2023-12-29,0.053411,
2024-01-05,0.052666,
2024-01-12,0.053008,
2024-01-19,0.053181,
2024-01-25,0.053469,
2024-02-02,0.054342,
2024-02-09,0.054841,
2024-02-16,0.055072,
2024-02-23,0.055598,
2024-03-01,0.056076,
2024-03-07,0.056720,
2024-03-15,0.059005,
2024-03-22,0.058509,
2024-03-28,0.059299,
2024-04-05,0.059447,
2024-04-12,0.059616,
2024-04-19,0.059251,
2024-04-26,0.059901,
2024-05-03,0.060003,
2024-05-10,0.060300,
2024-05-17,0.060592,
2024-05-24,0.061250,
2024-05-31,0.061747,
2024-06-07,0.061178,
2024-06-14,0.062034,
2024-06-21,0.062262,
2024-06-28,0.062557,
2024-07-05,0.062912,
2024-07-12,0.062954,
2024-07-19,0.063068,
2024-07-26,0.063690,
2024-08-02,0.063790,
2024-08-09,0.063702,
2024-08-16,0.063610,
2024-08-23,0.064278,
2024-08-31,0.063766,
2024-09-06,0.064131,
2024-09-13,0.064425,
2024-09-20,0.064727,
2024-09-27,0.064843,
2024-10-04,0.064939,
2024-10-11,0.065069,
2024-10-18,0.065270,
2024-10-25,0.065661,
2024-10-31,0.066694,
2024-11-08,0.067034,
2024-11-14,0.067096,
2024-11-22,0.067114,
2024-11-30,0.068096,
2024-12-06,0.068071,
2024-12-13,0.067689,
2024-12-20,0.068556,
2024-12-27,0.068507,
2025-01-03,0.068833,
2025-01-10,0.069186,
2025-01-17,0.069277,
2025-01-24,0.069311,
2025-01-31,0.069821,
2025-02-07,0.070248,
2025-02-14,0.070089,
2025-02-21,0.070608,
2025-02-28,0.071346,
2025-03-07,0.071624,
2025-03-13,0.071588,
2025-03-21,0.072015,
2025-03-28,0.072485,
2025-04-04,0.073446,
2025-04-11,0.075549,
2025-04-17,0.075884,
2025-04-25,0.075565,
2025-05-02,0.077034,
2025-05-09,0.077802,
2025-05-16,0.078882,
2025-05-23,0.079358,
2025-05-31,0.079393,
2025-06-06,0.079983,
2025-06-13,0.079933,
2025-06-20,0.079590,
2025-06-27,0.079597,
2025-07-04,0.078928,
2025-07-11,0.078831,
2025-07-18,0.079182,
2025-07-25,0.079356,
2025-08-01,0.078758,
2025-08-08,0.078913,
2025-08-14,0.078534,
2025-08-22,0.078438,
2025-08-29,0.078118,
2025-09-05,0.078431,
2025-09-12,0.077853,
2025-09-19,0.078742,
2025-09-26,0.079594,
2025-10-03,0.080308,
2025-10-10,0.081031,
2025-10-17,0.079847,
2025-10-24,0.079448,
2025-10-31,0.079102,
2025-11-07,0.079693,
2025-11-14,0.079013,
2025-11-21,0.078791,
2025-11-28,0.078410,
2025-12-05,0.078949,
2025-12-12,0.077785,
2025-12-19,0.077249,
2025-12-26,0.077409,
2026-01-02,0.077264,
2026-01-09,0.076914,
2026-01-16,0.076096,
2026-01-23,0.076960,
2026-01-31,0.077476,
2026-02-06,0.077379,
2026-02-13,0.077869,
2026-02-20,0.077978,
2026-02-28,0.078712,
2026-03-06,0.079325,
2026-03-13,0.080573,
2026-03-20,0.078870,
2026-03-27,0.077944,
2026-04-02,0.077717,
2026-04-10,0.076393,
2026-04-17,0.076827,
2026-04-24,0.077064,
2026-04-30,0.077222,
2026-05-08,0.077025,
2026-05-15,0.076468,
2026-05-22,0.075860,
2026-05-29,0.075189,
2026-06-05,0.076256,
2026-06-12,0.077203,
2026-06-19,0.077748,
2026-06-25,0.077345,
2026-07-03,0.078061,
2026-07-10,0.077787,
2026-07-17,0.078610,
2026-07-24,0.078862,
2026-07-31,0.078482,
2026-08-07,0.078635,
2026-08-14,0.078170,
2026-08-21,0.076673,
2026-08-28,0.076616,
2026-09-04,0.076519,
2026-09-11,0.075256,
2026-09-18,0.074304,
