# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:36:53.888138+00:00
stretch_ending,fund_return,benchmark_return
2024-02-16,0.089982,
2024-02-23,0.090977,
2024-03-01,0.091509,
2024-03-07,0.093051,
2024-03-15,0.091792,
2024-03-22,0.090188,
2024-03-28,0.090805,
2024-04-05,0.089311,
2024-04-12,0.088757,
2024-04-19,0.086037,
2024-04-26,0.085727,
2024-05-03,0.085822,
2024-05-10,0.084876,
2024-05-17,0.087564,
2024-05-24,0.087321,
2024-05-31,0.087411,
2024-06-07,0.088325,
2024-06-14,0.092489,
2024-06-21,0.093525,
2024-06-28,0.093828,
2024-07-05,0.093919,
2024-07-12,0.092565,
2024-07-19,0.092548,
2024-07-26,0.094789,
2024-08-02,0.093788,
2024-08-09,0.093323,
2024-08-16,0.092632,
2024-08-23,0.095223,
2024-08-31,0.092833,
2024-09-06,0.091325,
2024-09-13,0.092286,
2024-09-20,0.093593,
2024-09-27,0.095711,
2024-10-04,0.092131,
2024-10-11,0.091074,
2024-10-18,0.091746,
2024-10-25,0.089498,
2024-10-31,0.089409,
2024-11-08,0.087666,
2024-11-14,0.085705,
2024-11-22,0.087088,
2024-11-30,0.089538,
2024-12-06,0.090343,
2024-12-13,0.091686,
2024-12-20,0.090445,
2024-12-27,0.089270,
2025-01-03,0.088214,
2025-01-10,0.085715,
2025-01-17,0.085406,
2025-01-24,0.088923,
2025-01-31,0.088824,
2025-02-07,0.088536,
2025-02-14,0.086108,
2025-02-21,0.086355,
2025-02-28,0.085339,
2025-03-07,0.089535,
2025-03-13,0.085204,
2025-03-21,0.089518,
2025-03-28,0.089831,
2025-04-04,0.089017,
2025-04-11,0.091977,
2025-04-17,0.096393,
2025-04-25,0.098502,
2025-05-02,0.104475,
2025-05-09,0.103463,
2025-05-16,0.109078,
2025-05-23,0.110144,
2025-05-31,0.108021,
2025-06-06,0.110667,
2025-06-13,0.110690,
2025-06-20,0.110548,
2025-06-27,0.109681,
2025-07-04,0.105583,
2025-07-11,0.105545,
2025-07-18,0.105058,
2025-07-25,0.101355,
2025-08-01,0.095517,
2025-08-08,0.093354,
2025-08-14,0.089925,
2025-08-22,0.091018,
2025-08-29,0.087235,
2025-09-05,0.087544,
2025-09-12,0.085432,
2025-09-19,0.089832,
2025-09-26,0.091343,
2025-10-03,0.091514,
2025-10-10,0.093588,
2025-10-17,0.093319,
2025-10-24,0.091801,
2025-10-31,0.090102,
2025-11-07,0.088542,
2025-11-14,0.088897,
2025-11-21,0.088862,
2025-11-28,0.087662,
2025-12-05,0.087030,
2025-12-12,0.084293,
2025-12-19,0.087668,
2025-12-26,0.088678,
2026-01-02,0.089577,
2026-01-09,0.086744,
2026-01-16,0.085505,
2026-01-23,0.084650,
2026-01-31,0.085084,
2026-02-06,0.084628,
2026-02-13,0.085005,
2026-02-20,0.086575,
2026-02-28,0.087465,
2026-03-06,0.083891,
2026-03-13,0.080606,
2026-03-20,0.078216,
2026-03-27,0.072561,
2026-04-02,0.068684,
2026-04-10,0.076126,
2026-04-17,0.078553,
2026-04-24,0.075397,
2026-04-30,0.072257,
2026-05-08,0.072729,
2026-05-15,0.067428,
2026-05-22,0.067685,
2026-05-29,0.067003,
2026-06-05,0.066049,
2026-06-12,0.068395,
2026-06-19,0.071651,
2026-06-25,0.073489,
2026-07-03,0.075078,
2026-07-10,0.074268,
2026-07-17,0.071075,
2026-07-24,0.068410,
2026-07-31,0.070491,
2026-08-07,0.072631,
2026-08-14,0.073868,
2026-08-21,0.070917,
2026-08-28,0.070009,
2026-09-04,0.068464,
2026-09-11,0.065914,
2026-09-18,0.065820,
