# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:36:53.877208+00:00
date,fund_below_high,benchmark_below_high
2021-02-17,0.000000,
2021-02-22,-0.002661,
2021-02-24,0.000000,
2021-02-26,-0.002909,
2021-03-03,0.000000,
2021-03-05,-0.003119,
2021-03-10,-0.002471,
2021-03-18,-0.003876,
2021-03-22,0.000000,
2021-03-25,-0.001777,
2021-03-26,0.000000,
2021-04-05,0.000000,
2021-04-09,0.000000,
2021-04-12,-0.003983,
2021-04-19,-0.000433,
2021-04-23,0.000000,
2021-04-29,0.000000,
2021-04-30,-0.000517,
2021-05-05,0.000000,
2021-05-11,0.000000,
2021-05-14,-0.001534,
2021-05-18,0.000000,
2021-05-25,0.000000,
2021-05-28,-0.000135,
2021-06-01,-0.001570,
2021-06-03,0.000000,
2021-06-09,-0.001065,
2021-06-14,0.000000,
2021-06-17,-0.005082,
2021-06-22,-0.004084,
2021-06-24,-0.001563,
2021-06-28,-0.002023,
2021-06-30,-0.002301,
2021-07-05,0.000000,
2021-07-08,0.000000,
2021-07-14,0.000000,
2021-07-19,-0.000610,
2021-07-20,-0.001448,
2021-07-26,-0.000067,
2021-07-28,-0.000972,
2021-08-04,0.000000,
2021-08-06,-0.002014,
2021-08-10,-0.000826,
2021-08-17,0.000000,
2021-08-23,-0.003207,
2021-08-26,-0.000057,
2021-08-27,0.000000,
2021-08-31,0.000000,
2021-09-03,0.000000,
2021-09-13,0.000000,
2021-09-15,0.000000,
2021-09-17,-0.001815,
2021-09-23,0.000000,
2021-09-24,-0.001922,
2021-09-28,-0.003881,
2021-10-04,-0.001133,
2021-10-06,-0.002990,
2021-10-11,-0.000343,
2021-10-18,0.000000,
2021-10-20,-0.003833,
2021-10-25,-0.005994,
2021-10-29,-0.005634,
2021-11-03,-0.003851,
2021-11-08,-0.000037,
2021-11-15,0.000000,
2021-11-16,-0.001020,
2021-11-22,-0.004492,
2021-11-25,-0.002462,
2021-11-29,-0.007431,
2021-12-02,-0.003463,
2021-12-06,-0.007155,
2021-12-09,-0.001359,
2021-12-15,-0.002452,
2021-12-20,-0.011904,
2021-12-23,-0.007982,
2021-12-24,-0.009553,
2021-12-30,-0.006613,
2022-01-03,-0.002636,
2022-01-05,-0.000992,
2022-01-10,-0.001130,
2022-01-14,0.000000,
2022-01-19,-0.001823,
2022-01-24,-0.008648,
2022-01-28,-0.010168,
2022-01-31,-0.006440,
2022-02-03,-0.007319,
2022-02-10,-0.002382,
2022-02-14,-0.008602,
2022-02-15,-0.005734,
2022-02-18,-0.005194,
2022-02-24,-0.014895,
2022-02-28,-0.008812,
2022-03-07,-0.022132,
2022-03-10,-0.011130,
2022-03-15,-0.007832,
2022-03-17,-0.001273,
2022-03-21,-0.002739,
2022-03-25,-0.003105,
2022-03-29,-0.000128,
2022-04-04,0.000000,
2022-04-07,-0.001657,
2022-04-11,-0.004634,
2022-04-19,-0.012292,
2022-04-21,-0.009041,
2022-04-25,-0.010999,
2022-05-02,-0.010635,
2022-05-04,-0.023919,
2022-05-09,-0.028216,
2022-05-13,-0.028699,
2022-05-17,-0.023163,
2022-05-23,-0.021433,
2022-05-25,-0.022298,
2022-05-30,-0.016179,
2022-06-02,-0.017090,
2022-06-07,-0.025403,
2022-06-09,-0.022835,
2022-06-13,-0.031039,
