# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:36:53.710467+00:00
date,fund_value_inr,benchmark_value_inr
2021-02-17,10000.00,
2021-02-22,9947.99,
2021-02-25,10001.79,
2021-02-26,9943.31,
2021-03-03,10021.38,
2021-03-05,9968.67,
2021-03-10,9985.58,
2021-03-18,9899.65,
2021-03-22,9977.72,
2021-03-25,9936.95,
2021-03-30,10055.79,
2021-04-05,10072.90,
2021-04-09,10140.33,
2021-04-12,10028.84,
2021-04-20,10089.21,
2021-04-23,10121.43,
2021-04-28,10219.60,
2021-05-04,10222.28,
2021-05-06,10289.02,
2021-05-11,10326.01,
2021-05-14,10283.45,
2021-05-18,10362.51,
2021-05-25,10474.30,
2021-05-27,10493.89,
2021-05-31,10523.43,
2021-06-04,10503.54,
2021-06-08,10555.06,
2021-06-14,10564.90,
2021-06-17,10507.52,
2021-06-22,10528.30,
2021-06-25,10617.12,
2021-06-29,10597.63,
2021-06-30,10586.39,
2021-07-07,10701.16,
2021-07-08,10682.16,
2021-07-14,10746.31,
2021-07-16,10747.40,
2021-07-20,10682.96,
2021-07-27,10691.51,
2021-07-29,10747.40,
2021-08-03,10801.51,
2021-08-06,10765.51,
2021-08-11,10777.44,
2021-08-17,10845.77,
2021-08-23,10766.70,
2021-08-26,10837.11,
2021-08-30,10965.41,
2021-08-31,10994.35,
2021-09-03,11062.38,
2021-09-08,11101.96,
2021-09-15,11184.41,
2021-09-20,11148.01,
2021-09-23,11239.01,
2021-09-24,11209.07,
2021-09-28,11161.93,
2021-10-04,11244.08,
2021-10-06,11210.17,
2021-10-12,11314.30,
2021-10-18,11456.72,
2021-10-20,11343.14,
2021-10-25,11268.15,
2021-10-28,11277.90,
2021-11-03,11325.64,
2021-11-10,11497.79,
2021-11-15,11531.01,
2021-11-17,11489.14,
2021-11-22,11378.25,
2021-11-25,11441.10,
2021-11-29,11279.59,
2021-12-02,11379.44,
2021-12-06,11272.43,
2021-12-09,11416.24,
2021-12-15,11379.34,
2021-12-20,11149.60,
2021-12-23,11271.73,
2021-12-24,11235.53,
2021-12-30,11299.78,
2022-01-03,11401.42,
2022-01-07,11431.06,
2022-01-12,11527.13,
2022-01-14,11539.86,
2022-01-17,11535.19,
2022-01-24,11323.05,
2022-01-28,11307.73,
2022-02-01,11411.86,
2022-02-02,11439.51,
2022-02-10,11432.65,
2022-02-14,11226.38,
2022-02-15,11311.12,
2022-02-21,11282.67,
2022-02-24,11057.90,
2022-02-28,11197.84,
2022-03-07,10931.20,
2022-03-10,11142.54,
2022-03-15,11207.98,
2022-03-17,11347.42,
2022-03-21,11313.50,
2022-03-28,11303.85,
2022-03-31,11400.72,
2022-04-04,11505.55,
2022-04-08,11468.85,
2022-04-13,11370.99,
2022-04-19,11261.09,
2022-04-21,11331.11,
2022-04-25,11253.23,
2022-05-02,11256.41,
2022-05-04,11084.06,
2022-05-06,11013.65,
2022-05-13,10909.71,
2022-05-17,11045.57,
2022-05-23,11074.41,
2022-05-25,11029.86,
2022-05-30,11188.49,
2022-06-02,11184.71,
