# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:36:40.190282+00:00
date,nav
2021-09-07,10.05450
2021-09-08,10.06790
2021-09-13,10.07090
2021-09-16,10.14020
2021-09-22,10.14020
2021-09-23,10.19110
2021-09-29,10.19370
2021-10-01,10.18300
2021-10-05,10.20770
2021-10-08,10.20740
2021-10-12,10.23130
2021-10-18,10.32040
2021-10-20,10.26010
2021-10-25,10.26030
2021-10-27,10.28910
2021-10-29,10.20590
2021-11-02,10.26960
2021-11-09,10.31230
2021-11-11,10.27910
2021-11-16,10.32330
2021-11-22,10.19180
2021-11-25,10.22370
2021-11-26,10.13000
2021-12-02,10.18350
2021-12-06,10.10100
2021-12-08,10.20500
2021-12-10,10.22440
2021-12-16,10.18530
2021-12-20,10.07230
2021-12-23,10.18720
2021-12-24,10.17700
2021-12-30,10.23490
2022-01-04,10.32900
2022-01-06,10.31890
2022-01-07,10.32140
2022-01-13,10.41650
2022-01-17,10.41850
2022-01-20,10.30720
2022-01-24,10.15910
2022-01-28,10.17200
2022-02-02,10.30070
2022-02-04,10.25910
2022-02-07,10.21830
2022-02-14,10.14910
2022-02-15,10.22660
2022-02-17,10.23740
2022-02-23,10.16850
2022-02-24,10.00320
2022-03-02,10.11390
2022-03-07,9.98060
2022-03-10,10.13520
2022-03-15,10.17640
2022-03-17,10.32170
2022-03-21,10.27570
2022-03-25,10.28420
2022-03-30,10.38270
2022-03-31,10.38270
2022-04-04,10.52430
2022-04-08,10.51530
2022-04-13,10.46170
2022-04-19,10.36350
2022-04-21,10.45120
2022-04-25,10.32150
2022-04-28,10.38540
2022-05-04,10.21440
2022-05-05,10.22830
2022-05-10,10.11410
2022-05-13,10.03910
2022-05-17,10.15790
2022-05-19,10.05050
2022-05-25,10.09860
2022-05-30,10.25280
2022-06-01,10.24440
2022-06-02,10.25030
2022-06-08,10.15760
2022-06-13,9.98900
2022-06-15,9.99420
2022-06-17,9.87270
2022-06-22,9.90720
2022-06-27,10.03240
2022-06-28,10.04400
2022-06-30,10.01950
2022-07-05,10.07730
2022-07-08,10.18670
2022-07-14,10.13910
2022-07-15,10.15600
2022-07-21,10.29920
2022-07-22,10.31320
2022-07-26,10.27660
2022-08-01,10.47520
2022-08-03,10.46100
2022-08-05,10.46150
2022-08-10,10.48150
2022-08-17,10.61970
2022-08-22,10.50950
2022-08-24,10.54980
2022-08-29,10.50060
2022-08-30,10.62820
2022-09-02,10.63210
2022-09-07,10.66460
2022-09-13,10.81680
2022-09-15,10.77790
2022-09-16,10.67460
2022-09-21,10.70210
2022-09-26,10.47270
2022-09-28,10.43890
2022-10-03,10.46160
2022-10-06,10.61030
2022-10-11,10.51190
2022-10-13,10.52030
2022-10-18,10.63910
2022-10-21,10.66770
2022-10-25,10.74750
2022-11-01,10.87190
2022-11-04,10.83710
2022-11-07,10.87780
2022-11-10,10.82750
2022-11-15,10.89980
2022-11-21,10.83120
2022-11-23,10.86010
2022-11-24,10.92030
2022-11-29,10.94940
2022-12-01,11.02180
2022-12-07,10.97860
2022-12-12,10.98190
2022-12-14,11.05920
2022-12-16,10.95080
2022-12-20,10.97960
2022-12-23,10.78730
2022-12-27,10.89540
2023-01-02,10.93810
2023-01-03,10.95680
2023-01-06,10.90320
2023-01-10,10.95060
2023-01-16,10.95220
2023-01-18,11.01650
2023-01-23,11.03150
2023-01-24,11.03070
2023-01-30,10.88650
2023-02-03,10.96830
2023-02-07,10.94800
2023-02-08,10.96220
2023-02-13,10.94880
2023-02-16,11.03660
2023-02-21,10.99480
2023-02-22,10.93210
2023-02-28,10.90920
2023-03-02,10.93460
2023-03-08,11.03960
2023-03-13,10.94230
2023-03-15,10.92430
2023-03-17,10.97000
2023-03-22,10.98300
2023-03-27,10.90840
2023-03-28,10.88640
2023-03-31,11.01620
2023-04-10,11.11950
2023-04-12,11.18120
2023-04-17,11.17610
2023-04-21,11.18290
2023-04-24,11.22210
2023-04-28,11.33130
2023-05-02,11.35750
2023-05-05,11.36470
2023-05-10,11.44670
2023-05-15,11.50530
2023-05-18,11.44800
2023-05-22,11.53020
2023-05-25,11.52370
2023-05-29,11.60010
2023-06-01,11.60390
2023-06-02,11.62320
2023-06-07,11.74400
2023-06-09,11.70380
2023-06-13,11.76050
2023-06-19,11.78530
2023-06-21,11.82920
2023-06-23,11.76170
2023-06-30,11.92040
2023-07-03,11.95520
2023-07-06,12.03740
2023-07-10,11.99790
2023-07-13,12.01240
2023-07-17,12.11470
2023-07-20,12.19870
2023-07-24,12.17630
2023-07-28,12.21880
2023-08-01,12.28450
2023-08-03,12.16650
2023-08-07,12.20800
2023-08-09,12.25590
2023-08-14,12.18540
2023-08-18,12.16020
2023-08-23,12.25440
2023-08-25,12.20250
2023-08-30,12.24410
2023-08-31,12.22400
2023-09-05,12.35880
2023-09-11,12.51720
2023-09-12,12.43130
2023-09-15,12.54010
2023-09-21,12.41860
2023-09-22,12.39870
2023-09-29,12.41510
2023-10-04,12.34930
2023-10-09,12.31830
2023-10-11,12.41560
2023-10-16,12.44160
2023-10-17,12.47460
2023-10-23,12.27200
2023-10-26,12.17810
2023-11-01,12.21430
2023-11-02,12.27720
2023-11-06,12.35270
2023-11-09,12.37510
2023-11-16,12.54290
2023-11-20,12.53070
2023-11-21,12.56080
2023-11-24,12.56400
2023-12-01,12.73210
2023-12-05,12.90260
2023-12-07,12.94860
2023-12-12,12.90250
2023-12-15,13.05520
2023-12-18,13.07340
2023-12-21,12.98070
2023-12-28,13.20170
2024-01-01,13.27990
2024-01-03,13.25810
2024-01-05,13.34100
2024-01-10,13.33250
2024-01-15,13.46590
2024-01-17,13.34940
2024-01-23,13.31430
2024-01-29,13.51450
2024-01-30,13.50470
2024-02-05,13.72890
2024-02-06,13.82160
2024-02-12,13.66290
2024-02-15,13.85380
2024-02-19,13.88900
2024-02-21,13.85220
2024-02-23,13.90270
2024-02-28,13.84360
2024-03-04,13.99270
2024-03-07,14.02450
2024-03-12,13.95480
2024-03-13,13.77590
2024-03-19,13.80600
2024-03-20,13.79440
2024-03-26,13.95840
2024-03-31,14.03620
2024-04-03,14.17360
2024-04-08,14.25220
2024-04-10,14.28020
2024-04-15,14.18460
2024-04-19,14.18460
2024-04-23,14.22360
2024-04-29,14.34780
2024-05-02,14.37090
2024-05-07,14.26140
2024-05-09,14.19490
2024-05-14,14.30740
2024-05-15,14.31410
2024-05-17,14.42040
2024-05-23,14.51510
2024-05-27,14.50220
2024-05-30,14.39300
2024-06-04,14.23460
2024-06-07,14.63620
2024-06-10,14.65960
2024-06-14,14.80610
2024-06-19,14.78250
2024-06-24,14.78330
2024-06-27,14.84800
2024-06-30,14.85160
2024-07-03,14.91450
2024-07-04,14.90710
2024-07-08,14.92540
2024-07-11,14.99590
2024-07-18,15.04420
2024-07-19,14.95730
2024-07-23,14.94480
2024-07-26,15.12430
2024-08-01,15.22810
2024-08-05,15.02830
2024-08-07,15.11060
2024-08-12,15.13070
2024-08-14,15.05230
2024-08-20,15.23830
2024-08-23,15.23710
2024-08-27,15.31330
2024-08-29,15.28810
2024-09-02,15.33900
2024-09-04,15.34310
2024-09-09,15.24930
2024-09-12,15.35240
2024-09-17,15.36960
2024-09-19,15.31800
2024-09-23,15.43970
2024-09-26,15.52540
2024-10-01,15.49200
2024-10-03,15.39450
2024-10-07,15.26120
2024-10-11,15.33410
2024-10-15,15.38370
2024-10-18,15.35040
2024-10-22,15.25510
2024-10-24,15.28650
2024-10-28,15.19450
2024-11-04,15.16730
2024-11-06,15.28700
2024-11-11,15.23350
2024-11-13,15.08250
2024-11-18,15.06700
2024-11-21,15.06130
2024-11-26,15.19480
2024-11-28,15.17740
2024-12-03,15.33720
2024-12-05,15.38240
2024-12-10,15.36810
2024-12-13,15.37410
2024-12-16,15.34710
2024-12-20,15.11020
2024-12-24,15.16680
2024-12-30,15.13600
2025-01-01,15.18630
2025-01-02,15.26320
2025-01-08,15.14290
2025-01-13,14.92190
2025-01-14,14.98130
2025-01-20,15.10270
2025-01-23,15.04080
2025-01-27,14.87260
2025-01-29,14.97420
2025-02-03,14.97240
2025-02-04,15.09640
2025-02-07,15.11730
2025-02-11,14.91570
2025-02-14,14.88500
2025-02-20,14.94110
2025-02-21,14.90540
2025-02-28,14.66510
2025-03-04,14.64630
2025-03-06,14.84690
2025-03-10,14.81730
2025-03-17,14.82640
2025-03-19,14.97790
2025-03-24,15.25620
2025-03-26,15.17480
2025-03-27,15.21230
2025-04-02,15.20520
2025-04-07,14.78680
2025-04-09,14.86520
2025-04-15,15.17950
2025-04-21,15.47430
2025-04-23,15.58030
2025-04-25,15.43790
2025-04-29,15.58840
2025-05-05,15.66290
2025-05-09,15.43790
2025-05-12,15.73360
2025-05-15,15.83140
2025-05-20,15.78670
2025-05-21,15.85380
2025-05-26,15.89560
2025-05-28,15.85550
2025-06-02,15.86120
2025-06-03,15.81840
2025-06-09,16.01060
2025-06-11,16.03170
2025-06-13,15.84330
2025-06-19,15.81120
2025-06-20,15.92860
2025-06-24,15.96020
2025-06-27,16.17950
2025-07-03,16.17330
2025-07-08,16.21240
2025-07-09,16.18410
2025-07-11,16.07100
2025-07-16,16.12560
2025-07-22,15.99410
2025-07-23,16.06530
2025-07-28,15.86280
2025-07-30,15.94030
2025-08-01,15.76470
2025-08-07,15.80090
2025-08-08,15.70490
2025-08-14,15.81580
2025-08-19,15.95600
2025-08-21,15.98020
2025-08-28,15.74360
2025-08-31,15.71920
2025-09-03,15.86450
2025-09-05,15.84120
2025-09-09,15.88670
2025-09-11,15.96850
2025-09-15,16.00850
2025-09-18,16.13740
2025-09-23,16.06900
2025-09-26,15.89970
2025-10-03,16.05370
2025-10-07,16.11210
2025-10-08,16.07580
2025-10-14,16.11030
2025-10-17,16.25870
2025-10-20,16.37670
2025-10-24,16.38740
2025-10-29,16.57970
2025-10-31,16.48840
2025-11-07,16.44960
2025-11-12,16.57870
2025-11-13,16.57760
2025-11-17,16.61860
2025-11-20,16.65120
2025-11-24,16.55300
2025-11-27,16.69280
2025-12-01,16.68560
2025-12-05,16.66800
2025-12-09,16.53910
2025-12-12,16.69130
2025-12-16,16.63250
2025-12-18,16.66900
2025-12-22,16.77040
2025-12-29,16.71440
2025-12-31,16.82440
2026-01-02,16.91560
2026-01-07,16.78460
2026-01-08,16.64030
2026-01-14,16.61440
2026-01-20,16.46090
2026-01-22,16.52420
2026-01-23,16.43920
2026-01-29,16.66030
2026-02-02,16.52690
2026-02-04,16.73470
2026-02-10,16.86750
2026-02-11,16.86510
2026-02-13,16.68040
2026-02-18,16.83410
2026-02-24,16.75430
2026-02-26,16.85210
2026-02-28,16.77610
2026-03-04,16.43130
2026-03-06,16.46640
2026-03-12,16.26640
2026-03-13,16.08600
2026-03-18,16.21560
2026-03-23,15.75430
2026-03-25,16.04480
2026-03-30,15.66510
2026-04-02,15.79600
2026-04-08,16.30140
2026-04-13,16.30250
2026-04-15,16.45330
2026-04-21,16.61180
2026-04-24,16.40310
2026-04-27,16.52370
2026-04-30,16.48590
2026-05-06,16.63700
2026-05-08,16.60900
2026-05-12,16.31330
2026-05-15,16.37730
2026-05-21,16.34750
2026-05-25,16.52620
2026-05-27,16.51790
2026-06-01,16.33700
2026-06-04,16.32800
2026-06-05,16.33950
2026-06-11,16.19780
2026-06-15,16.49730
2026-06-16,16.55720
2026-06-22,16.63290
2026-06-23,16.55210
2026-06-30,16.58450
2026-07-02,16.66880
2026-07-06,16.75090
2026-07-08,16.52940
2026-07-13,16.72610
2026-07-16,16.66820
2026-07-21,16.72680
2026-07-23,16.55890
2026-07-28,16.63830
2026-07-29,16.72560
2026-08-03,16.92130
2026-08-05,16.82260
2026-08-11,16.80400
2026-08-13,16.82440
2026-08-18,16.68830
2026-08-19,16.65570
2026-08-25,16.71120
2026-08-27,16.62890
2026-09-01,16.58280
2026-09-04,16.59330
2026-09-08,16.51060
2026-09-11,16.42070
2026-09-15,16.31620
2026-09-21,16.44970
2026-09-23,16.51940
2026-09-25,16.3791
