# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:36:42.438044+00:00
date,nav
2019-02-08,10.04370
2019-02-13,10.06680
2019-02-18,10.06160
2019-02-25,10.07610
2019-02-27,10.07320
2019-03-08,10.12120
2019-03-14,10.17990
2019-03-19,10.18830
2019-03-26,10.21230
2019-04-02,10.28350
2019-04-08,10.23630
2019-04-10,10.23930
2019-04-18,10.23100
2019-04-25,10.21870
2019-04-30,10.23120
2019-05-06,10.23430
2019-05-10,10.25180
2019-05-20,10.31550
2019-05-22,10.31520
2019-05-27,10.38480
2019-06-03,10.42130
2019-06-10,10.40010
2019-06-13,10.41440
2019-06-20,10.45240
2019-06-26,10.43150
2019-07-02,10.44100
2019-07-05,10.49640
2019-07-08,10.52590
2019-07-16,10.58760
2019-07-19,10.59230
2019-07-26,10.56890
2019-07-29,10.59580
2019-08-02,10.65610
2019-08-08,10.68700
2019-08-14,10.65090
2019-08-26,10.73480
2019-08-29,10.73170
2019-09-04,10.76160
2019-09-09,10.76940
2019-09-18,10.77420
2019-09-20,10.73470
2019-09-27,10.74780
2019-10-03,10.79670
2019-10-10,10.80470
2019-10-11,10.80920
2019-10-23,10.87230
2019-10-29,10.88950
2019-11-01,10.92890
2019-11-08,10.92390
2019-11-11,10.92640
2019-11-18,10.97050
2019-11-22,10.98240
2019-12-02,11.01140
2019-12-04,11.02130
2019-12-09,10.97410
2019-12-13,10.95340
2019-12-23,11.00380
2019-12-26,11.00260
2019-12-31,11.01100
2020-01-03,11.03590
2020-01-09,11.04820
2020-01-15,11.04900
2020-01-20,11.06450
2020-01-28,11.10860
2020-01-31,11.10990
2020-02-07,11.20420
2020-02-10,11.21690
2020-02-17,11.23980
2020-02-26,11.24740
2020-02-28,11.23520
2020-03-09,11.27840
2020-03-16,11.14410
2020-03-19,10.95810
2020-03-26,10.97930
2020-03-27,11.25960
2020-04-08,11.18660
2020-04-16,11.24030
2020-04-23,11.41310
2020-04-24,11.34640
2020-04-30,11.35710
2020-05-08,11.45800
2020-05-13,11.46950
2020-05-22,11.59730
2020-05-26,11.60760
2020-06-02,11.58180
2020-06-08,11.60080
2020-06-12,11.63290
2020-06-18,11.69680
2020-06-19,11.71490
2020-06-25,11.74950
2020-07-03,11.81650
2020-07-08,11.86970
2020-07-13,11.90010
2020-07-20,11.91690
2020-07-22,11.90380
2020-07-28,11.89330
2020-08-05,11.92670
2020-08-07,11.90480
2020-08-13,11.90550
2020-08-20,11.89740
2020-08-24,11.83380
2020-08-28,11.81970
2020-09-01,11.92050
2020-09-08,11.88230
2020-09-15,11.87830
2020-09-16,11.89090
2020-09-23,11.91320
2020-09-29,11.90530
2020-10-07,11.96350
2020-10-09,12.01890
2020-10-15,12.05810
2020-10-22,12.06920
2020-10-26,12.08770
2020-11-03,12.08510
2020-11-06,12.11240
2020-11-11,12.11210
2020-11-17,12.14010
2020-11-26,12.19020
2020-12-02,12.17560
2020-12-04,12.19890
2020-12-11,12.19410
2020-12-15,12.20130
2020-12-21,12.19990
2020-12-24,12.20890
2021-01-05,12.25950
2021-01-08,12.26980
2021-01-12,12.22920
2021-01-18,12.18440
2021-01-21,12.19880
2021-01-29,12.20220
2021-02-02,12.13580
2021-02-10,12.12770
2021-02-16,12.15520
2021-02-23,12.13120
2021-02-26,12.12910
2021-03-02,12.14250
2021-03-12,12.14390
2021-03-16,12.11230
2021-03-23,12.18210
2021-03-26,12.19450
2021-04-06,12.24700
2021-04-12,12.25260
2021-04-16,12.23940
2021-04-27,12.29400
2021-04-29,12.30080
2021-05-03,12.31430
2021-05-11,12.33520
2021-05-17,12.33520
2021-05-19,12.34910
2021-05-27,12.36480
2021-06-02,12.36350
2021-06-09,12.39380
2021-06-14,12.40590
2021-06-16,12.37950
2021-06-24,12.38160
2021-06-28,12.37260
2021-07-06,12.37070
2021-07-08,12.39180
2021-07-14,12.40300
2021-07-20,12.43270
2021-07-23,12.43270
2021-08-02,12.45540
2021-08-06,12.45740
2021-08-12,12.47540
2021-08-18,12.50490
2021-08-25,12.51330
2021-08-27,12.51660
2021-09-02,12.54390
2021-09-08,12.54780
2021-09-14,12.55460
2021-09-20,12.56810
2021-09-28,12.56530
2021-09-29,12.55850
2021-10-07,12.55810
2021-10-13,12.57070
2021-10-20,12.57200
2021-10-25,12.58460
2021-10-29,12.57320
2021-11-03,12.57590
2021-11-11,12.60080
2021-11-17,12.60700
2021-11-22,12.61580
2021-11-26,12.61460
2021-12-03,12.62420
2021-12-08,12.63860
2021-12-16,12.64830
2021-12-22,12.63120
2021-12-24,12.62970
2021-12-31,12.64080
2022-01-03,12.64510
2022-01-10,12.64240
2022-01-14,12.65810
2022-01-19,12.65770
2022-01-25,12.67380
2022-02-02,12.65850
2022-02-09,12.67780
2022-02-14,12.71770
2022-02-21,12.72560
2022-02-22,12.72270
2022-02-28,12.72750
2022-03-08,12.71590
2022-03-11,12.72260
2022-03-21,12.75330
2022-03-23,12.75410
2022-03-29,12.76630
2022-04-05,12.78380
2022-04-11,12.74820
2022-04-13,12.72840
2022-04-25,12.76580
2022-04-29,12.76850
2022-05-06,12.66560
2022-05-11,12.67360
2022-05-13,12.66700
2022-05-24,12.69040
2022-05-26,12.69410
2022-05-31,12.70040
2022-06-07,12.68180
2022-06-10,12.70290
2022-06-16,12.69530
2022-06-21,12.71320
2022-06-29,12.73330
2022-07-04,12.75780
2022-07-06,12.77650
2022-07-12,12.77970
2022-07-18,12.79110
2022-07-22,12.79310
2022-07-28,12.80450
2022-08-02,12.83030
2022-08-05,12.82220
2022-08-17,12.86490
2022-08-23,12.86740
2022-08-25,12.86910
2022-09-05,12.89220
2022-09-09,12.90450
2022-09-13,12.91140
2022-09-16,12.89200
2022-09-23,12.86670
2022-09-28,12.87320
2022-10-04,12.90500
2022-10-11,12.89390
2022-10-14,12.89370
2022-10-21,12.91230
2022-10-27,12.93950
2022-11-04,12.95380
2022-11-11,12.99860
2022-11-15,13.01380
2022-11-21,13.01850
2022-11-28,13.05010
2022-12-02,13.06920
2022-12-08,13.07160
2022-12-14,13.09660
2022-12-16,13.09510
2022-12-23,13.10230
2022-12-27,13.11270
2022-12-30,13.11600
2023-01-06,13.12620
2023-01-12,13.15080
2023-01-19,13.16930
2023-01-20,13.16340
2023-01-30,13.17180
