# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:36:53.391730+00:00
stretch_ending,fund_return,benchmark_return
2025-12-31,0.054795,
2026-01-07,0.064624,
2026-01-14,0.099549,
2026-01-21,0.099863,
2026-01-28,0.159998,
2026-02-04,0.117969,
2026-02-11,0.174627,
2026-02-18,0.177566,
2026-02-25,0.192456,
2026-03-04,0.173790,
2026-03-11,0.126250,
2026-03-18,0.094574,
2026-03-25,0.039343,
2026-04-01,0.046026,
2026-04-08,0.131440,
2026-04-15,0.105413,
2026-04-22,0.074142,
2026-04-29,0.065040,
2026-05-06,0.067718,
2026-05-13,0.025025,
2026-05-20,0.023109,
2026-05-27,0.032720,
2026-06-03,0.021188,
2026-06-10,-0.023886,
2026-06-17,0.021155,
2026-06-24,0.000409,
2026-07-01,-0.021005,
2026-07-08,-0.017860,
2026-07-15,-0.005398,
2026-07-22,0.011496,
2026-07-29,0.039189,
2026-08-05,0.075296,
2026-08-12,0.085524,
2026-08-19,0.043241,
2026-08-26,0.061087,
2026-09-02,0.052490,
2026-09-09,0.013672,
2026-09-16,-0.026338,
2026-09-23,-0.020450,
