# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:36:05.793351+00:00
date,fund_value_inr,benchmark_value_inr
2013-01-02,10000.00,
2013-01-04,10077.37,
2013-01-15,10169.19,
2013-01-24,9925.84,
2013-01-31,9942.74,
2013-02-15,9681.87,
2013-02-20,9741.69,
2013-02-28,9428.32,
2013-03-11,9657.05,
2013-03-20,9179.63,
2013-04-02,9365.68,
2013-04-15,9172.32,
2013-04-22,9508.78,
2013-05-07,9786.85,
2013-05-17,9909.80,
2013-05-23,9593.49,
2013-06-06,9565.57,
2013-06-13,9257.54,
2013-06-26,9108.45,
2013-07-01,9458.36,
2013-07-15,9586.57,
2013-07-23,9454.61,
2013-08-06,8667.14,
2013-08-14,8997.95,
2013-08-19,8627.09,
2013-08-28,8523.04,
2013-09-03,8565.19,
2013-09-10,9097.08,
2013-09-19,9397.81,
2013-09-30,9016.32,
2013-10-11,9488.52,
2013-10-28,9522.12,
2013-11-01,9802.04,
2013-11-13,9571.91,
2013-11-19,9819.44,
2013-11-28,9759.40,
2013-12-09,10098.75,
2013-12-19,10038.70,
2014-01-01,10333.59,
2014-01-10,10144.76,
2014-01-23,10321.84,
2014-01-30,9893.79,
2014-02-13,9991.84,
2014-02-19,10170.12,
2014-03-03,10216.21,
2014-03-10,10648.12,
2014-03-20,10613.13,
2014-04-02,11129.91,
2014-04-16,11041.29,
2014-04-21,11179.83,
2014-05-08,11104.39,
2014-05-20,12142.36,
2014-05-23,12382.50,
2014-05-30,12297.36,
2014-06-09,12828.64,
2014-06-26,12919.58,
2014-07-04,13442.62,
2014-07-11,12983.99,
2014-07-22,13510.67,
2014-08-01,13216.32,
2014-08-08,13204.76,
2014-08-19,13685.62,
2014-08-27,13762.72,
2014-09-08,14285.53,
2014-09-22,14337.11,
2014-09-25,14014.58,
2014-10-16,13919.93,
2014-10-22,14424.37,
2014-10-31,14872.18,
2014-11-13,14839.82,
2014-11-24,15069.13,
2014-12-04,15158.91,
2014-12-16,14371.06,
2014-12-22,14753.33,
2015-01-06,14762.33,
2015-01-14,15092.75,
2015-01-27,16149.05,
2015-02-09,15432.34,
2015-02-19,15890.43,
2015-02-26,15466.83,
2015-03-03,16078.95,
2015-03-13,15625.31,
2015-03-26,15208.40,
2015-04-13,16097.47,
2015-04-20,15570.48,
2015-05-04,15570.72,
2015-05-07,15008.54,
2015-05-18,15530.62,
2015-05-29,15610.66,
2015-06-03,15167.53,
2015-06-11,15014.92,
2015-06-22,15621.52,
2015-07-09,15733.84,
2015-07-16,16130.84,
2015-07-27,15837.77,
2015-08-06,16404.08,
2015-08-12,16022.31,
2015-08-19,16371.98,
2015-08-26,15301.69,
2015-09-07,15009.47,
2015-09-21,15713.35,
2015-09-28,15446.33,
2015-10-09,16026.29,
2015-10-21,16202.56,
2015-11-05,15854.59,
2015-11-18,15687.94,
2015-11-30,16147.58,
2015-12-08,15838.11,
2015-12-11,15718.88,
2015-12-23,16227.00,
2016-01-01,16367.04,
2016-01-15,15469.53,
2016-01-21,15190.07,
2016-01-29,15612.40,
2016-02-11,14500.15,
2016-02-25,14326.55,
2016-03-03,15143.71,
2016-03-15,15199.04,
2016-03-23,15604.74,
2016-04-07,15491.42,
2016-04-18,16012.80,
2016-04-27,16195.72,
2016-05-04,15814.53,
2016-05-12,16133.85,
2016-05-24,15838.81,
2016-05-31,16458.78,
2016-06-08,16579.96,
2016-06-24,16311.48,
2016-07-04,16946.22,
2016-07-08,16838.81,
2016-07-25,17444.98,
2016-08-03,17421.28,
2016-08-08,17768.25,
2016-08-17,17536.31,
2016-08-29,17609.53,
2016-09-08,18149.01,
2016-09-16,17983.88,
2016-09-29,17679.52,
2016-10-10,18209.21,
2016-10-24,18222.94,
2016-11-04,17611.51,
2016-11-10,18000.08,
2016-11-21,16879.52,
2016-11-30,17450.97,
