# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:36:06.419001+00:00
stretch_ending,fund_return,benchmark_return
2016-01-01,0.135388,
2016-01-08,0.122239,
2016-01-15,0.110530,
2016-01-22,0.112949,
2016-01-29,0.114287,
2016-02-05,0.112657,
2016-02-12,0.090776,
2016-02-19,0.103127,
2016-02-26,0.105256,
2016-03-11,0.115288,
2016-03-18,0.137044,
2016-03-23,0.142504,
2016-04-01,0.146605,
2016-04-08,0.135094,
2016-04-13,0.139874,
2016-04-22,0.139292,
2016-04-29,0.128785,
2016-05-13,0.118106,
2016-05-20,0.125149,
2016-05-27,0.135185,
2016-06-03,0.141273,
2016-06-10,0.156032,
2016-06-17,0.156361,
2016-06-24,0.152288,
2016-07-01,0.155372,
2016-07-15,0.158109,
2016-07-22,0.170473,
2016-07-29,0.193142,
2016-08-05,0.203406,
2016-08-12,0.205400,
2016-08-19,0.219158,
2016-08-26,0.213086,
2016-09-02,0.212002,
2016-09-09,0.201276,
2016-09-16,0.182400,
2016-09-30,0.187681,
2016-10-07,0.192930,
2016-10-14,0.191566,
2016-10-21,0.190674,
2016-10-28,0.177550,
2016-11-04,0.173183,
2016-11-11,0.174143,
2016-11-25,0.160450,
2016-12-02,0.148427,
2016-12-09,0.155536,
2016-12-16,0.151817,
2016-12-23,0.139639,
2016-12-30,0.153626,
2017-01-06,0.158387,
2017-01-13,0.159023,
2017-01-20,0.156671,
2017-02-03,0.195589,
2017-02-10,0.201351,
2017-02-17,0.194125,
2017-02-23,0.183378,
2017-03-03,0.173238,
2017-03-10,0.168458,
2017-03-17,0.175774,
2017-03-24,0.170421,
2017-03-31,0.169466,
2017-04-13,0.175854,
2017-04-21,0.171186,
2017-04-28,0.184653,
2017-05-05,0.189005,
2017-05-12,0.167414,
2017-05-19,0.145944,
2017-05-26,0.146257,
2017-06-09,0.126949,
2017-06-16,0.134426,
2017-06-23,0.134320,
2017-06-30,0.118843,
2017-07-07,0.134937,
2017-07-14,0.132145,
2017-07-21,0.128886,
2017-07-28,0.138065,
2017-08-04,0.137985,
2017-08-18,0.118226,
2017-08-24,0.115914,
2017-09-01,0.113108,
2017-09-08,0.110564,
2017-09-15,0.115626,
2017-09-22,0.124112,
2017-09-29,0.120091,
2017-10-13,0.131970,
2017-10-18,0.123159,
2017-10-27,0.117376,
2017-11-03,0.111078,
2017-11-10,0.104114,
2017-11-17,0.098226,
2017-11-24,0.101272,
2017-12-01,0.083273,
2017-12-08,0.103686,
2017-12-22,0.113622,
2017-12-29,0.108888,
2018-01-05,0.116984,
2018-01-12,0.110883,
2018-01-19,0.106992,
2018-01-25,0.102820,
2018-02-02,0.094216,
2018-02-09,0.086512,
2018-02-23,0.086825,
2018-03-01,0.073295,
2018-03-09,0.065312,
2018-03-16,0.071286,
2018-03-23,0.075229,
2018-03-28,0.065308,
2018-04-06,0.072073,
2018-04-13,0.075636,
2018-04-20,0.092025,
2018-05-04,0.104381,
2018-05-11,0.094872,
2018-05-18,0.084045,
2018-05-25,0.089676,
2018-06-01,0.093962,
2018-06-08,0.103734,
2018-06-15,0.093462,
2018-06-22,0.085878,
2018-07-06,0.082355,
2018-07-13,0.072855,
2018-07-20,0.071508,
2018-07-27,0.087089,
2018-08-03,0.076203,
2018-08-10,0.086302,
2018-08-17,0.083559,
2018-08-24,0.103032,
2018-08-31,0.114042,
2018-09-14,0.108746,
2018-09-21,0.110331,
2018-09-28,0.105463,
2018-10-05,0.092610,
2018-10-12,0.091188,
2018-10-19,0.084157,
2018-10-26,0.089519,
2018-11-02,0.102226,
2018-11-16,0.107945,
2018-11-22,0.104237,
2018-11-30,0.106575,
2018-12-07,0.113187,
2018-12-14,0.111618,
2018-12-21,0.111476,
2018-12-28,0.109677,
2019-01-04,0.122536,
2019-01-18,0.145575,
2019-01-25,0.139043,
2019-02-01,0.144038,
2019-02-08,0.165257,
2019-02-15,0.156206,
2019-02-22,0.172968,
2019-03-01,0.147794,
2019-03-08,0.150955,
2019-03-15,0.154489,
2019-03-29,0.146165,
