# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:36:24.241747+00:00
date,nav
2013-01-02,11.01420
2013-01-09,10.96640
2013-01-11,10.77640
2013-01-24,10.31670
2013-02-06,10.25850
2013-02-15,9.91020
2013-02-20,10.07300
2013-03-04,9.51260
2013-03-11,9.89860
2013-03-25,9.20600
2013-04-02,9.66620
2013-04-12,9.35200
2013-04-22,9.59780
2013-05-03,9.60200
2013-05-15,9.77720
2013-05-23,9.49380
2013-06-06,9.59150
2013-06-13,9.23860
2013-06-26,9.00310
2013-07-01,9.29580
2013-07-15,9.46770
2013-07-23,9.35790
2013-08-06,8.59270
2013-08-14,8.97360
2013-08-19,8.69140
2013-08-28,8.58550
2013-09-03,8.59220
2013-09-12,9.01200
2013-09-18,8.95560
2013-10-01,9.14560
2013-10-10,9.65540
2013-10-18,9.71400
2013-11-06,10.70040
2013-11-13,10.47410
2013-11-20,10.84350
2013-12-04,11.37770
2013-12-13,11.23730
2013-12-23,11.95890
2014-01-06,12.53780
2014-01-10,12.29420
2014-01-23,12.28930
2014-01-30,11.63710
2014-02-12,11.89380
2014-02-17,11.67350
2014-02-24,12.15140
2014-03-14,12.44430
2014-03-26,13.06060
2014-04-02,13.80490
2014-04-16,13.66240
2014-04-21,14.13430
2014-04-30,13.90530
2014-05-15,14.85020
2014-05-23,16.75590
2014-05-30,16.59100
2014-06-09,18.23450
2014-06-20,18.28140
2014-07-04,20.00910
2014-07-11,18.53810
2014-07-17,19.49570
2014-07-30,19.00400
2014-08-13,19.03840
2014-08-20,20.32120
2014-08-26,20.25560
2014-09-12,22.68380
2014-09-16,21.94350
2014-09-25,21.69190
2014-10-17,21.89830
2014-10-22,22.39590
2014-11-05,23.44610
2014-11-18,23.74640
2014-11-25,23.12050
2014-12-05,24.01060
2014-12-17,22.83720
2014-12-22,23.71110
2015-01-06,24.25660
2015-01-12,25.41770
2015-01-22,25.94640
2015-02-09,24.53750
2015-02-13,25.16070
2015-02-26,24.65230
2015-03-03,25.66290
2015-03-16,24.57630
2015-03-26,23.58430
2015-04-10,25.74710
2015-04-15,25.83150
2015-04-27,23.65770
2015-05-07,23.07580
2015-05-18,24.39800
2015-05-29,24.53530
