# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:36:10.128860+00:00
stretch_ending,fund_return,benchmark_return
2016-01-01,0.232193,
2016-01-08,0.214351,
2016-01-15,0.200868,
2016-01-22,0.201968,
2016-01-29,0.209189,
2016-02-05,0.206285,
2016-02-12,0.185929,
2016-02-19,0.196778,
2016-02-26,0.189894,
2016-03-04,0.226606,
2016-03-18,0.247891,
2016-03-23,0.263993,
2016-04-01,0.262305,
2016-04-08,0.259037,
2016-04-13,0.266151,
2016-04-22,0.257266,
2016-04-29,0.245149,
2016-05-06,0.230006,
2016-05-20,0.221976,
2016-05-27,0.243037,
2016-06-03,0.256680,
2016-06-10,0.272481,
2016-06-17,0.271175,
2016-06-24,0.282157,
2016-07-01,0.299226,
2016-07-08,0.297306,
2016-07-22,0.318766,
2016-07-29,0.345958,
2016-08-05,0.370511,
2016-08-12,0.346310,
2016-08-19,0.383516,
2016-08-26,0.380698,
2016-09-02,0.381728,
2016-09-09,0.359021,
2016-09-23,0.355063,
2016-09-30,0.341392,
2016-10-07,0.343139,
2016-10-14,0.342668,
2016-10-21,0.335992,
2016-10-28,0.326318,
2016-11-04,0.297303,
2016-11-11,0.314269,
2016-11-18,0.289942,
2016-12-02,0.270521,
2016-12-09,0.275915,
2016-12-16,0.265787,
2016-12-23,0.238477,
2016-12-30,0.236550,
2017-01-06,0.255137,
2017-01-13,0.272455,
2017-01-20,0.271115,
2017-02-03,0.301203,
2017-02-10,0.308994,
2017-02-17,0.301741,
2017-02-23,0.299543,
2017-03-03,0.284908,
2017-03-10,0.270444,
2017-03-17,0.273099,
2017-03-24,0.260816,
2017-03-31,0.251097,
2017-04-13,0.260052,
2017-04-21,0.248960,
2017-04-28,0.257974,
2017-05-05,0.260087,
2017-05-12,0.235791,
2017-05-19,0.203083,
2017-05-26,0.192302,
2017-06-09,0.174462,
2017-06-16,0.172647,
2017-06-23,0.165416,
2017-06-30,0.147172,
2017-07-07,0.172841,
2017-07-14,0.170398,
2017-07-21,0.166960,
2017-07-28,0.181450,
2017-08-11,0.162157,
2017-08-18,0.161552,
2017-08-24,0.157344,
2017-09-01,0.148558,
2017-09-08,0.132327,
2017-09-15,0.148863,
2017-09-22,0.141897,
2017-09-29,0.136939,
2017-10-13,0.159351,
2017-10-18,0.137860,
2017-10-27,0.152359,
2017-11-03,0.152469,
2017-11-10,0.147745,
2017-11-17,0.140390,
2017-11-24,0.146092,
2017-12-01,0.124386,
2017-12-08,0.134543,
2017-12-15,0.157477,
2017-12-29,0.148449,
2018-01-05,0.159139,
2018-01-12,0.145940,
2018-01-19,0.138874,
2018-01-25,0.125934,
2018-02-02,0.110008,
2018-02-09,0.111071,
2018-02-16,0.093646,
2018-03-01,0.085925,
2018-03-09,0.073252,
2018-03-16,0.074149,
2018-03-23,0.072541,
2018-03-28,0.069555,
2018-04-06,0.079166,
2018-04-13,0.077592,
2018-04-20,0.091413,
2018-05-04,0.096974,
2018-05-11,0.096272,
2018-05-18,0.074202,
2018-05-25,0.075275,
2018-06-01,0.088198,
2018-06-08,0.093965,
2018-06-15,0.090842,
2018-06-22,0.081321,
2018-06-29,0.063705,
2018-07-13,0.053835,
2018-07-20,0.045134,
2018-07-27,0.076415,
2018-08-03,0.066736,
2018-08-10,0.085013,
2018-08-17,0.076407,
2018-08-24,0.114230,
2018-08-31,0.127821,
2018-09-14,0.118197,
2018-09-21,0.106788,
2018-09-28,0.091122,
2018-10-05,0.063013,
2018-10-12,0.065292,
2018-10-19,0.051341,
2018-10-26,0.043678,
2018-11-02,0.070152,
2018-11-16,0.088551,
2018-11-22,0.072783,
2018-11-30,0.069392,
2018-12-07,0.076261,
2018-12-14,0.081227,
2018-12-21,0.072551,
2018-12-28,0.075253,
2019-01-04,0.074400,
2019-01-18,0.110753,
2019-01-25,0.086456,
2019-02-01,0.100685,
2019-02-08,0.094717,
2019-02-15,0.095217,
2019-02-22,0.111936,
2019-03-01,0.101581,
2019-03-08,0.105080,
2019-03-15,0.116112,
2019-03-29,0.104136,
2019-04-05,0.109839,
2019-04-12,0.100537,
2019-04-18,0.098036,
2019-04-26,0.093147,
2019-05-03,0.105524,
2019-05-10,0.081449,
2019-05-24,0.106493,
2019-05-31,0.099238,
2019-06-07,0.083423,
2019-06-14,0.080131,
2019-06-21,0.079012,
2019-06-28,0.080444,
2019-07-05,0.068980,
2019-07-12,0.055834,
2019-07-19,0.041567,
2019-08-02,0.018813,
2019-08-09,0.012374,
2019-08-16,0.001884,
2019-08-23,-0.012903,
2019-08-30,-0.010092,
2019-09-06,-0.017483,
2019-09-13,0.002295,
2019-09-20,0.009706,
2019-10-04,-0.004132,
2019-10-11,0.000202,
2019-10-18,0.011447,
2019-10-25,0.014680,
2019-11-01,0.037183,
2019-11-08,0.040541,
2019-11-15,0.048094,
2019-11-22,0.056388,
2019-12-06,0.042298,
2019-12-13,0.049704,
2019-12-20,0.060166,
2019-12-27,0.070211,
2020-01-03,0.065525,
2020-01-10,0.056429,
2020-01-17,0.052566,
2020-01-24,0.045890,
2020-01-31,0.030902,
2020-02-14,0.025609,
2020-02-20,0.017014,
2020-02-28,-0.016629,
2020-03-06,-0.023873,
2020-03-13,-0.058731,
2020-03-20,-0.098032,
2020-03-27,-0.122366,
2020-04-03,-0.141310,
2020-04-17,-0.096015,
2020-04-24,-0.112342,
2020-04-30,-0.094112,
2020-05-08,-0.121618,
2020-05-15,-0.124252,
2020-05-22,-0.125512,
2020-05-29,-0.117704,
2020-06-05,-0.098495,
2020-06-12,-0.104513,
2020-06-26,-0.089614,
2020-07-03,-0.094723,
2020-07-10,-0.096173,
2020-07-17,-0.096530,
2020-07-24,-0.090562,
2020-07-31,-0.099886,
2020-08-07,-0.092321,
2020-08-21,-0.075075,
2020-08-28,-0.072078,
2020-09-04,-0.085939,
2020-09-11,-0.089320,
2020-09-18,-0.091463,
2020-09-25,-0.090267,
2020-10-01,-0.085969,
2020-10-09,-0.081611,
2020-10-16,-0.089170,
2020-10-30,-0.107826,
2020-11-06,-0.087622,
2020-11-13,-0.075986,
2020-11-20,-0.078726,
2020-11-27,-0.075618,
2020-12-04,-0.059618,
2020-12-11,-0.058638,
2020-12-18,-0.061767,
2020-12-24,-0.066464,
2021-01-08,-0.054704,
2021-01-15,-0.052522,
2021-01-22,-0.057910,
2021-01-29,-0.060746,
2021-02-05,-0.012968,
2021-02-12,-0.010723,
2021-02-19,0.001892,
2021-02-26,-0.002407,
2021-03-12,0.024506,
2021-03-19,0.028098,
2021-03-26,0.025311,
2021-04-01,0.029916,
2021-04-09,0.023329,
2021-04-16,0.018227,
2021-04-23,0.014794,
2021-05-07,0.029935,
2021-05-14,0.036109,
2021-05-21,0.056919,
2021-05-28,0.055897,
2021-06-04,0.068880,
2021-06-11,0.063988,
2021-06-18,0.064529,
2021-06-25,0.086120,
2021-07-02,0.086506,
2021-07-16,0.102092,
2021-07-23,0.090217,
2021-07-30,0.079723,
2021-08-06,0.081852,
2021-08-13,0.094010,
2021-08-20,0.078971,
2021-08-27,0.084830,
2021-09-03,0.102782,
2021-09-09,0.104128,
2021-09-24,0.126690,
2021-10-01,0.132157,
2021-10-08,0.154545,
2021-10-14,0.171048,
2021-10-22,0.171166,
2021-10-29,0.149311,
2021-11-03,0.145158,
2021-11-12,0.152159,
2021-11-26,0.129679,
2021-12-03,0.134257,
2021-12-10,0.138167,
2021-12-17,0.116730,
2021-12-24,0.122248,
2021-12-31,0.129097,
2022-01-07,0.136820,
2022-01-14,0.147179,
2022-01-28,0.147576,
2022-02-04,0.155371,
2022-02-11,0.163976,
2022-02-18,0.158583,
2022-02-25,0.138485,
2022-03-04,0.107207,
2022-03-11,0.107659,
2022-03-17,0.119282,
2022-03-25,0.121351,
2022-04-08,0.128127,
2022-04-13,0.118377,
