# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:36:16.103144+00:00
stretch_ending,fund_return,benchmark_return
2016-01-01,-0.081748,
2016-01-08,-0.072110,
2016-01-15,-0.068250,
2016-01-22,-0.065929,
2016-01-29,-0.055753,
2016-02-05,-0.049526,
2016-02-12,-0.032354,
2016-02-19,-0.028013,
2016-02-26,-0.020516,
2016-03-04,-0.015606,
2016-03-18,-0.020219,
2016-03-23,-0.019989,
2016-04-01,-0.019638,
2016-04-08,-0.016210,
2016-04-13,0.026789,
2016-04-22,0.014976,
2016-04-29,0.014103,
2016-05-13,0.018619,
2016-05-20,0.025753,
2016-05-27,0.013285,
2016-06-03,0.008635,
2016-06-10,0.009361,
2016-06-17,0.006246,
2016-06-24,0.042600,
2016-07-01,0.041228,
2016-07-08,0.046897,
2016-07-22,0.023657,
2016-07-29,0.015355,
2016-08-05,0.024155,
2016-08-12,0.006083,
2016-08-19,-0.010806,
2016-08-26,-0.023718,
2016-09-02,-0.026617,
2016-09-09,-0.003659,
2016-09-16,0.005491,
2016-09-30,-0.000561,
2016-10-07,-0.011368,
2016-10-14,-0.010509,
2016-10-21,-0.026804,
2016-10-28,-0.018175,
2016-11-04,-0.006833,
2016-11-11,-0.017098,
2016-11-18,-0.030047,
2016-12-02,-0.034537,
2016-12-09,-0.035318,
2016-12-16,-0.039153,
2016-12-23,-0.036795,
2016-12-30,-0.021680,
2017-01-06,-0.020670,
2017-01-13,-0.015827,
2017-01-27,-0.021707,
2017-02-03,-0.018676,
2017-02-10,-0.021141,
2017-02-17,-0.023409,
2017-02-23,-0.023024,
2017-03-03,-0.023819,
2017-03-10,-0.029222,
2017-03-17,-0.026202,
2017-03-24,-0.010794,
2017-03-31,-0.006119,
2017-04-13,-0.010241,
2017-04-21,-0.016038,
2017-04-28,-0.021281,
2017-05-05,-0.026097,
2017-05-12,-0.024394,
2017-05-19,-0.003447,
2017-05-26,0.010647,
2017-06-09,0.017653,
2017-06-16,0.004258,
2017-06-23,-0.002616,
2017-06-30,-0.005800,
2017-07-07,-0.007170,
2017-07-14,-0.011386,
2017-07-21,-0.008907,
2017-07-28,-0.004192,
2017-08-04,-0.005888,
2017-08-18,-0.000397,
2017-08-24,0.001393,
2017-09-01,0.014715,
2017-09-08,0.023220,
2017-09-15,0.021291,
2017-09-22,0.020461,
2017-09-29,0.019417,
2017-10-13,0.018082,
2017-10-18,0.011896,
2017-10-27,0.014598,
2017-11-03,0.023814,
2017-11-10,0.033653,
2017-11-17,0.024201,
2017-11-24,0.027582,
2017-12-01,0.022946,
2017-12-08,0.006570,
2017-12-15,0.008551,
2017-12-29,0.019053,
2018-01-05,0.015355,
2018-01-12,0.022048,
2018-01-19,0.009063,
2018-01-25,0.016635,
2018-02-02,0.021599,
2018-02-09,0.019651,
2018-02-16,0.034853,
2018-03-01,0.033668,
2018-03-09,0.038984,
2018-03-16,0.042261,
2018-03-23,0.042026,
2018-03-28,0.041620,
2018-04-06,0.032149,
2018-04-13,0.041682,
2018-04-20,0.039579,
2018-05-04,0.036656,
2018-05-11,0.039095,
2018-05-18,0.032510,
2018-05-25,0.037722,
2018-06-01,0.034847,
2018-06-08,0.038191,
2018-06-15,0.040243,
2018-06-22,0.036297,
2018-07-06,0.044339,
2018-07-13,0.038401,
2018-07-20,0.044351,
2018-07-27,0.044846,
2018-08-03,0.045433,
2018-08-10,0.035824,
2018-08-17,0.030615,
2018-08-24,0.028565,
2018-09-07,0.040071,
2018-09-14,0.044697,
2018-09-21,0.045812,
2018-09-28,0.040818,
2018-10-05,0.047707,
2018-10-12,0.044941,
2018-10-19,0.049194,
2018-10-26,0.049397,
2018-11-09,0.060236,
2018-11-16,0.058493,
2018-11-22,0.058444,
2018-11-30,0.053595,
2018-12-07,0.057241,
2018-12-14,0.059913,
2018-12-21,0.061443,
2018-12-28,0.068839,
2019-01-04,0.063174,
2019-01-11,0.068465,
2019-01-25,0.055690,
2019-02-01,0.058729,
2019-02-08,0.047277,
2019-02-15,0.042701,
2019-02-22,0.037688,
2019-03-01,0.030575,
2019-03-08,0.021585,
2019-03-15,0.021498,
2019-03-29,0.025830,
2019-04-05,0.022031,
2019-04-12,0.018915,
2019-04-18,0.015056,
2019-04-26,0.017936,
2019-05-03,0.006783,
2019-05-10,0.007638,
2019-05-17,0.011046,
2019-05-31,0.026297,
2019-06-07,0.028521,
2019-06-14,0.027470,
2019-06-21,0.035916,
2019-06-28,0.027435,
2019-07-05,0.019655,
2019-07-12,0.023388,
2019-07-19,0.035429,
2019-08-02,0.030031,
2019-08-09,0.048832,
2019-08-16,0.049391,
2019-08-23,0.050472,
2019-08-30,0.063671,
2019-09-06,0.056498,
2019-09-13,0.052667,
2019-09-20,0.048212,
2019-10-04,0.057227,
2019-10-11,0.063949,
2019-10-18,0.068375,
2019-10-25,0.067602,
2019-11-01,0.066787,
2019-11-08,0.058816,
2019-11-15,0.068938,
2019-11-22,0.079164,
2019-12-06,0.090858,
2019-12-13,0.090690,
2019-12-20,0.102740,
2019-12-27,0.101615,
2020-01-03,0.109664,
2020-01-10,0.097903,
2020-01-17,0.090799,
2020-01-24,0.100041,
2020-02-07,0.097391,
2020-02-14,0.105230,
2020-02-20,0.109634,
2020-02-28,0.114360,
2020-03-06,0.140123,
2020-03-13,0.125579,
2020-03-20,0.110073,
2020-03-27,0.131656,
2020-04-03,0.136562,
2020-04-17,0.166807,
2020-04-24,0.173886,
2020-04-30,0.176236,
2020-05-08,0.173060,
2020-05-15,0.173917,
2020-05-22,0.165890,
2020-05-29,0.160548,
2020-06-05,0.155915,
2020-06-12,0.167710,
2020-06-26,0.175953,
2020-07-03,0.183589,
2020-07-10,0.196077,
2020-07-17,0.188522,
2020-07-24,0.206078,
2020-07-31,0.224851,
2020-08-07,0.239460,
2020-08-14,0.215127,
2020-08-28,0.191527,
2020-09-04,0.178571,
2020-09-11,0.185563,
2020-09-18,0.190123,
2020-09-25,0.174778,
2020-10-01,0.184017,
2020-10-09,0.182104,
2020-10-16,0.186434,
2020-10-30,0.188937,
2020-11-06,0.199123,
2020-11-13,0.185521,
2020-11-20,0.182504,
2020-11-27,0.173130,
2020-12-04,0.181768,
2020-12-11,0.186547,
2020-12-18,0.192721,
2021-01-01,0.182477,
2021-01-08,0.181802,
2021-01-15,0.167370,
2021-01-22,0.165739,
2021-01-29,0.162853,
2021-02-05,0.148731,
2021-02-12,0.148956,
2021-02-19,0.136098,
2021-03-05,0.120727,
2021-03-12,0.122821,
2021-03-19,0.129789,
2021-03-26,0.121655,
2021-04-01,0.121056,
2021-04-09,0.133204,
2021-04-16,0.131259,
2021-04-23,0.139485,
2021-04-30,0.135331,
2021-05-14,0.144149,
2021-05-21,0.147419,
2021-05-28,0.149799,
2021-06-04,0.153144,
2021-06-11,0.155720,
2021-06-18,0.142964,
2021-06-25,0.144104,
2021-07-02,0.146839,
2021-07-16,0.163118,
2021-07-23,0.155935,
2021-07-30,0.164474,
2021-08-06,0.161295,
2021-08-13,0.154572,
2021-08-20,0.158109,
2021-08-27,0.149095,
2021-09-03,0.148435,
2021-09-17,0.134546,
2021-09-24,0.135914,
2021-10-01,0.128116,
2021-10-08,0.134810,
2021-10-14,0.135394,
2021-10-22,0.133299,
2021-10-29,0.134938,
2021-11-03,0.136142,
2021-11-12,0.152661,
2021-11-26,0.156145,
2021-12-03,0.142956,
2021-12-10,0.137159,
2021-12-17,0.151579,
2021-12-24,0.142037,
2021-12-31,0.135866,
2022-01-07,0.131667,
2022-01-14,0.130691,
2022-01-21,0.133250,
2022-02-04,0.119438,
2022-02-11,0.130962,
2022-02-18,0.129864,
2022-02-25,0.137599,
2022-03-04,0.160696,
2022-03-11,0.165087,
2022-03-17,0.162324,
2022-04-01,0.168754,
2022-04-08,0.164053,
2022-04-13,0.178133,
2022-04-22,0.174318,
2022-04-29,0.171669,
2022-05-06,0.166069,
2022-05-13,0.149236,
2022-05-20,0.162867,
2022-06-03,0.150543,
2022-06-10,0.149807,
2022-06-17,0.149048,
2022-06-24,0.134662,
2022-07-01,0.136856,
2022-07-08,0.129926,
2022-07-15,0.121925,
2022-07-22,0.122778,
