# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:36:07.220460+00:00
date,fund_below_high,benchmark_below_high
2013-01-02,0.000000,
2013-01-10,0.000000,
2013-01-16,-0.004095,
2013-01-29,-0.004590,
2013-02-05,-0.009539,
2013-02-20,-0.006642,
2013-02-28,-0.017722,
2013-03-11,-0.005304,
2013-03-20,-0.017893,
2013-03-26,-0.020093,
2013-04-09,-0.013638,
2013-04-18,0.000000,
2013-05-03,-0.001831,
2013-05-15,0.000000,
2013-05-23,-0.007417,
2013-05-28,-0.000989,
2013-06-12,-0.016514,
2013-06-19,-0.012072,
2013-06-26,-0.032585,
2013-07-11,-0.022364,
2013-07-16,-0.045257,
2013-07-23,-0.045043,
2013-08-08,-0.058799,
2013-08-19,-0.090188,
2013-08-22,-0.063697,
2013-09-03,-0.071467,
2013-09-11,-0.051104,
2013-09-19,-0.037274,
2013-09-30,-0.057802,
2013-10-10,-0.033822,
2013-10-28,-0.033957,
2013-11-01,-0.023871,
2013-11-12,-0.037765,
2013-11-20,-0.029276,
2013-12-02,-0.020067,
2013-12-13,-0.026498,
2013-12-20,-0.015667,
2014-01-02,-0.012859,
2014-01-15,-0.000753,
2014-01-23,-0.000826,
2014-01-30,-0.016298,
2014-02-07,-0.009343,
2014-02-14,-0.013774,
2014-03-06,0.000000,
2014-03-14,-0.001635,
2014-03-27,0.000000,
2014-04-04,-0.005101,
2014-04-11,0.000000,
2014-05-05,0.000000,
2014-05-07,-0.002794,
2014-05-15,0.000000,
2014-05-26,-0.001536,
2014-06-09,0.000000,
2014-06-16,-0.006116,
2014-06-30,0.000000,
2014-07-09,-0.009060,
2014-07-14,-0.016351,
2014-07-22,0.000000,
2014-08-08,-0.011315,
2014-08-20,0.000000,
2014-08-26,-0.002238,
2014-09-03,0.000000,
2014-09-19,0.000000,
2014-09-25,-0.006343,
2014-10-09,0.000000,
2014-10-16,-0.002052,
2014-10-28,0.000000,
2014-11-17,0.000000,
2014-11-26,-0.002485,
2014-11-28,0.000000,
2014-12-15,-0.001411,
2014-12-17,-0.014201,
2014-12-30,0.000000,
2015-01-06,-0.007148,
2015-01-14,-0.000139,
2015-02-02,0.000000,
2015-02-09,-0.011825,
2015-02-13,-0.002912,
2015-03-04,0.000000,
2015-03-09,-0.005900,
2015-03-23,-0.009881,
2015-03-27,-0.011514,
2015-04-10,0.000000,
2015-04-22,-0.001167,
2015-05-07,-0.018090,
2015-05-11,-0.010823,
2015-05-20,-0.003734,
2015-06-01,-0.000627,
2015-06-11,-0.019569,
2015-06-22,-0.005021,
2015-06-29,-0.013740,
2015-07-06,0.000000,
2015-07-20,0.000000,
2015-07-27,-0.006342,
2015-08-03,0.000000,
2015-08-19,0.000000,
2015-08-24,-0.021089,
2015-09-07,-0.023966,
2015-09-18,-0.009250,
2015-09-28,-0.011481,
2015-10-01,-0.000481,
2015-10-20,0.000000,
2015-10-27,-0.001120,
2015-11-10,-0.011858,
2015-11-18,-0.012047,
2015-12-01,-0.003002,
2015-12-09,-0.014060,
2015-12-17,-0.005335,
2016-01-01,-0.001553,
2016-01-11,-0.008150,
2016-01-18,-0.023276,
2016-02-01,-0.015081,
2016-02-03,-0.024361,
2016-02-12,-0.033432,
2016-02-25,-0.044638,
2016-03-04,-0.018119,
2016-03-21,-0.000079,
2016-03-28,-0.002789,
2016-04-11,0.000000,
2016-04-27,-0.000170,
2016-05-06,-0.004730,
2016-05-10,0.000000,
2016-05-24,-0.005306,
2016-05-26,0.000000,
2016-06-13,-0.001967,
2016-06-15,0.000000,
2016-06-24,-0.003898,
2016-07-04,0.000000,
2016-07-18,-0.001017,
2016-08-01,0.000000,
2016-08-03,-0.003047,
2016-08-11,0.000000,
2016-08-23,-0.001379,
2016-09-08,0.000000,
2016-09-12,-0.005601,
2016-09-29,-0.007551,
2016-10-03,0.000000,
2016-10-17,-0.006617,
2016-10-24,0.000000,
2016-11-04,-0.011556,
2016-11-16,-0.000418,
2016-12-01,-0.000411,
2016-12-07,-0.012324,
2016-12-14,-0.011674,
2016-12-26,-0.025815,
2017-01-02,-0.009046,
2017-01-12,-0.000901,
2017-01-20,-0.004407,
2017-02-07,0.000000,
2017-02-09,-0.016119,
2017-02-20,-0.013085,
2017-03-09,-0.016566,
2017-03-10,-0.018471,
2017-03-29,0.000000,
2017-04-07,-0.005844,
2017-04-12,-0.000847,
2017-05-02,-0.001768,
2017-05-11,0.000000,
2017-05-19,-0.002922,
2017-05-24,-0.004585,
2017-06-01,0.000000,
2017-06-20,0.000000,
2017-06-28,-0.003447,
2017-07-06,0.000000,
2017-07-18,-0.000587,
2017-07-21,0.000000,
2017-08-07,0.000000,
2017-08-11,-0.007821,
2017-08-22,-0.007025,
2017-09-01,0.000000,
2017-09-12,0.000000,
2017-09-20,-0.000012,
2017-09-27,-0.012804,
2017-10-16,-0.002422,
2017-10-23,-0.004421,
2017-11-03,0.000000,
2017-11-14,-0.008991,
2017-11-20,-0.000719,
2017-12-06,-0.008195,
2017-12-08,-0.003972,
2017-12-26,-0.001315,
2018-01-02,-0.007246,
2018-01-08,0.000000,
2018-01-23,0.000000,
2018-02-02,-0.013235,
2018-02-12,-0.009378,
2018-02-22,-0.020386,
2018-02-26,-0.014792,
2018-03-09,-0.020643,
2018-03-23,-0.016799,
2018-04-05,0.000000,
2018-04-11,-0.008048,
2018-04-26,-0.015271,
2018-05-08,-0.011238,
2018-05-17,-0.018594,
2018-05-28,-0.014273,
2018-06-05,-0.016104,
2018-06-07,-0.017005,
2018-06-22,-0.008071,
2018-06-28,-0.010294,
2018-07-12,-0.001358,
2018-07-17,0.000000,
2018-07-31,0.000000,
2018-08-02,-0.000423,
2018-08-13,-0.000852,
2018-08-31,-0.000406,
2018-09-11,-0.006347,
2018-09-14,-0.003832,
2018-10-01,-0.006272,
2018-10-09,-0.014022,
2018-10-16,-0.007732,
2018-10-26,-0.011135,
2018-11-09,-0.001541,
2018-11-15,0.000000,
2018-12-05,0.000000,
2018-12-10,-0.003633,
2018-12-17,0.000000,
2019-01-03,-0.001555,
2019-01-07,0.000000,
2019-01-22,0.000000,
2019-01-28,-0.001127,
2019-02-07,0.000000,
2019-02-18,-0.003272,
2019-02-25,-0.000302,
2019-03-05,0.000000,
2019-03-22,0.000000,
2019-04-02,-0.000072,
2019-04-04,-0.003114,
