# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:36:18.832695+00:00
date,fund_value_inr,benchmark_value_inr
2013-01-01,10000.00,
2013-01-04,10007.10,
2013-01-13,10028.07,
2013-01-24,10053.67,
2013-01-29,10065.26,
2013-02-10,10093.13,
2013-02-15,10104.74,
2013-02-24,10125.53,
2013-03-08,10153.99,
2013-03-15,10170.95,
2013-03-28,10204.85,
2013-04-02,10219.04,
2013-04-18,10258.79,
2013-04-21,10266.01,
2013-05-03,10294.91,
2013-05-12,10316.49,
2013-05-17,10328.44,
2013-05-26,10349.71,
2013-06-07,10377.79,
2013-06-16,10398.51,
2013-06-27,10424.03,
2013-07-07,10448.18,
2013-07-15,10466.78,
2013-07-17,10453.06,
2013-07-26,10470.93,
2013-08-11,10519.36,
2013-08-16,10533.86,
2013-08-25,10560.82,
2013-08-30,10575.85,
2013-09-10,10610.45,
2013-09-22,10648.38,
2013-09-27,10663.74,
2013-10-06,10691.52,
2013-10-20,10733.31,
2013-10-25,10747.88,
2013-11-04,10776.43,
2013-11-17,10812.64,
2013-11-22,10826.26,
2013-12-01,10850.56,
2013-12-13,10882.99,
2013-12-22,10907.06,
2013-12-27,10920.44,
2014-01-05,10944.63,
2014-01-17,10976.42,
2014-01-26,11000.09,
2014-01-31,11013.06,
2014-02-09,11036.38,
2014-02-21,11067.77,
2014-02-24,11075.62,
2014-03-07,11105.23,
2014-03-14,11124.90,
2014-03-27,11162.70,
2014-04-03,11186.18,
2014-04-20,11233.88,
2014-04-25,11247.81,
2014-05-04,11272.65,
2014-05-16,11305.68,
2014-05-25,11330.56,
2014-05-30,11344.13,
2014-06-08,11368.54,
2014-06-13,11382.03,
2014-06-29,11424.88,
2014-07-04,11438.42,
2014-07-13,11462.24,
2014-07-18,11475.52,
2014-08-03,11518.13,
2014-08-13,11544.92,
2014-08-18,11558.40,
2014-08-28,11585.52,
2014-09-07,11612.76,
2014-09-12,11626.39,
2014-09-26,11665.16,
2014-10-06,11693.32,
2014-10-17,11724.08,
2014-10-26,11748.90,
2014-10-31,11762.90,
2014-11-09,11787.72,
2014-11-21,11820.72,
2014-11-30,11845.46,
2014-12-05,11859.14,
2014-12-14,11883.75,
2014-12-26,11916.43,
2015-01-04,11941.67,
2015-01-09,11955.44,
2015-01-23,11994.25,
2015-01-27,12005.26,
2015-02-06,12032.80,
2015-02-15,12057.69,
2015-02-27,12090.88,
2015-03-08,12116.86,
2015-03-13,12131.00,
2015-03-27,12171.15,
2015-04-05,12202.58,
2015-04-17,12237.82,
2015-04-24,12257.65,
2015-05-04,12286.02,
2015-05-15,12317.05,
2015-05-24,12342.57,
2015-05-29,12356.98,
2015-06-07,12382.33,
2015-06-19,12415.42,
2015-06-22,12423.53,
2015-07-05,12459.84,
2015-07-10,12473.69,
2015-07-19,12498.11,
2015-07-31,12530.85,
2015-08-09,12555.21,
2015-08-14,12568.63,
2015-08-23,12592.32,
2015-09-04,12624.09,
2015-09-13,12647.42,
2015-09-24,12676.47,
2015-10-04,12704.84,
2015-10-09,12718.41,
2015-10-18,12742.13,
2015-10-30,12773.93,
2015-11-06,12792.41,
2015-11-15,12816.28,
2015-11-20,12829.40,
2015-11-29,12852.99,
2015-12-11,12883.86,
2015-12-23,12915.68,
2015-12-28,12929.15,
2016-01-10,12964.66,
2016-01-15,12977.92,
2016-01-24,13001.62,
2016-02-05,13033.45,
2016-02-12,13052.42,
2016-02-21,13077.04,
2016-03-04,13110.50,
2016-03-08,13122.04,
2016-03-23,13166.02,
2016-04-03,13207.62,
2016-04-17,13249.50,
2016-04-22,13263.86,
2016-05-01,13289.63,
2016-05-06,13304.34,
2016-05-15,13329.97,
2016-05-27,13364.49,
2016-06-05,13389.95,
2016-06-10,13404.22,
2016-06-19,13429.13,
2016-06-29,13456.80,
2016-07-10,13488.23,
2016-07-15,13502.23,
2016-07-24,13526.10,
2016-08-05,13557.80,
2016-08-15,13583.80,
2016-08-26,13612.46,
2016-09-05,13638.03,
