# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:36:18.348507+00:00
date,fund_below_high,benchmark_below_high
2014-06-30,0.000000,
2014-07-08,-0.000219,
2014-07-14,-0.004548,
2014-07-22,0.000000,
2014-08-04,0.000000,
2014-08-08,-0.001507,
2014-08-13,0.000000,
2014-09-02,0.000000,
2014-09-10,-0.000157,
2014-09-11,0.000000,
2014-09-26,0.000000,
2014-09-30,-0.000244,
2014-10-10,0.000000,
2014-10-21,0.000000,
2014-11-11,0.000000,
2014-11-13,-0.000656,
2014-11-20,0.000000,
2014-11-27,0.000000,
2014-12-12,0.000000,
2014-12-17,-0.004065,
2014-12-30,0.000000,
2015-01-06,-0.000692,
2015-01-09,0.000000,
2015-01-27,0.000000,
2015-02-02,0.000000,
2015-02-12,-0.002497,
2015-02-20,0.000000,
2015-03-03,-0.000312,
2015-03-13,-0.000723,
2015-03-16,-0.000046,
2015-03-31,0.000000,
2015-04-08,-0.000408,
2015-04-13,0.000000,
2015-04-29,0.000000,
2015-05-08,-0.002521,
2015-05-15,0.000000,
2015-05-27,-0.000009,
2015-06-03,-0.003476,
2015-06-12,-0.003171,
2015-06-18,0.000000,
2015-06-29,-0.003894,
2015-07-03,0.000000,
2015-07-09,-0.000374,
2015-07-17,0.000000,
2015-08-03,0.000000,
2015-08-05,-0.000988,
2015-08-12,0.000000,
2015-08-24,-0.001764,
2015-09-02,0.000000,
2015-09-10,-0.003049,
2015-09-21,-0.000350,
2015-09-24,0.000000,
2015-10-07,-0.000373,
2015-10-21,0.000000,
2015-10-30,-0.002058,
2015-11-06,-0.001955,
2015-11-10,0.000000,
2015-11-27,-0.000223,
2015-12-07,0.000000,
2015-12-11,-0.001729,
2015-12-17,0.000000,
2016-01-04,0.000000,
2016-01-11,0.000000,
2016-01-15,-0.001315,
2016-01-21,0.000000,
2016-02-04,-0.001549,
2016-02-16,0.000000,
2016-02-25,-0.003517,
2016-02-29,0.000000,
2016-03-15,0.000000,
2016-03-23,-0.000525,
2016-03-28,0.000000,
2016-04-18,0.000000,
2016-04-22,-0.000387,
2016-04-28,0.000000,
2016-05-06,-0.000197,
2016-05-16,0.000000,
2016-05-30,0.000000,
2016-06-03,-0.000123,
2016-06-15,-0.000318,
2016-06-16,0.000000,
2016-06-24,0.000000,
2016-07-04,0.000000,
2016-07-13,0.000000,
2016-07-28,0.000000,
2016-08-03,-0.001337,
2016-08-08,0.000000,
2016-08-22,-0.000718,
2016-08-26,0.000000,
2016-09-14,-0.000313,
2016-09-15,0.000000,
2016-09-29,-0.001328,
2016-10-03,0.000000,
2016-10-17,-0.001078,
2016-10-24,0.000000,
2016-10-28,-0.000393,
2016-11-08,0.000000,
2016-11-24,0.000000,
2016-12-02,-0.000792,
2016-12-08,-0.010291,
2016-12-14,-0.008459,
2016-12-28,-0.011830,
2017-01-04,-0.001056,
2017-01-09,0.000000,
2017-01-19,-0.000248,
2017-02-02,0.000000,
2017-02-09,-0.010757,
2017-02-13,-0.007567,
2017-02-28,-0.005603,
2017-03-09,-0.007224,
2017-03-10,-0.008180,
2017-03-22,-0.000336,
2017-04-07,-0.002150,
2017-04-11,0.000000,
2017-04-21,-0.001476,
2017-04-27,-0.001476,
2017-05-08,0.000000,
2017-05-24,0.000000,
2017-05-29,-0.000029,
2017-06-09,0.000000,
2017-06-16,-0.000399,
2017-06-27,0.000000,
2017-07-03,-0.001528,
2017-07-06,0.000000,
2017-07-21,0.000000,
2017-07-26,-0.000143,
2017-08-08,0.000000,
2017-08-11,-0.000714,
2017-08-21,0.000000,
2017-09-06,0.000000,
2017-09-11,0.000000,
2017-09-22,-0.001739,
2017-09-28,-0.000305,
2017-10-05,-0.000595,
2017-10-12,0.000000,
2017-10-30,0.000000,
2017-11-06,0.000000,
2017-11-14,-0.001484,
2017-11-21,0.000000,
2017-11-24,-0.002353,
2017-12-07,0.000000,
2017-12-13,-0.001615,
2017-12-28,-0.003946,
2018-01-05,0.000000,
2018-01-16,-0.001886,
2018-01-17,-0.000042,
2018-02-01,-0.002884,
2018-02-07,0.000000,
2018-02-22,-0.003715,
2018-03-01,-0.004560,
2018-03-08,-0.000573,
2018-03-14,0.000000,
2018-03-28,0.000000,
2018-04-09,0.000000,
2018-04-17,-0.001869,
2018-04-26,-0.009824,
2018-05-07,-0.005908,
2018-05-16,-0.011686,
2018-05-17,-0.013129,
2018-05-30,-0.007921,
2018-06-07,-0.011439,
2018-06-12,-0.010209,
2018-06-21,-0.003827,
2018-06-29,-0.004527,
2018-07-12,0.000000,
2018-07-20,-0.000178,
2018-07-25,0.000000,
2018-08-03,-0.000239,
2018-08-16,-0.000286,
2018-08-28,0.000000,
2018-09-03,-0.000271,
2018-09-10,-0.003339,
2018-09-25,-0.005613,
2018-10-01,-0.001486,
2018-10-09,-0.002118,
2018-10-15,0.000000,
2018-10-31,-0.000392,
2018-11-02,0.000000,
2018-11-20,-0.000626,
2018-11-22,0.000000,
2018-12-10,-0.001901,
2018-12-12,-0.000535,
2018-12-26,0.000000,
2019-01-01,-0.001336,
2019-01-08,0.000000,
2019-01-21,-0.000934,
2019-01-29,0.000000,
2019-02-05,-0.003557,
2019-02-08,0.000000,
2019-02-18,-0.001543,
2019-02-27,-0.002592,
2019-03-07,0.000000,
2019-03-19,-0.001256,
2019-04-02,0.000000,
2019-04-08,-0.003117,
2019-04-18,-0.002058,
2019-04-26,-0.004480,
2019-05-06,-0.034536,
2019-05-16,-0.032991,
2019-05-28,-0.024005,
2019-06-03,-0.021771,
2019-06-07,-0.045983,
2019-06-24,-0.047003,
2019-06-28,-0.060021,
2019-07-03,-0.058658,
2019-07-16,-0.048996,
2019-07-25,-0.055710,
2019-08-02,-0.051041,
2019-08-14,-0.051145,
2019-08-23,-0.046841,
2019-08-30,-0.053762,
2019-09-09,-0.046996,
2019-09-19,-0.047373,
2019-09-24,-0.053892,
2019-09-30,-0.047068,
2019-10-17,-0.046522,
2019-10-29,-0.041945,
2019-11-04,-0.039250,
2019-11-13,-0.042120,
2019-11-25,-0.037510,
2019-11-28,-0.054087,
2019-12-04,-0.051931,
2019-12-19,-0.054775,
2019-12-30,-0.048951,
2020-01-06,-0.046743,
2020-01-08,-0.049821,
2020-01-20,-0.048412,
2020-01-29,-0.044548,
2020-02-07,-0.035939,
2020-02-13,-0.043925,
2020-02-27,-0.041049,
2020-03-05,-0.281718,
2020-03-11,-0.281485,
2020-03-19,-0.298198,
2020-03-31,-0.280290,
2020-04-09,-0.286082,
2020-04-22,-0.276965,
2020-04-29,-0.290425,
2020-05-13,-0.286744,
2020-05-26,-0.281192,
2020-05-29,-0.282433,
2020-06-09,-0.278926,
2020-06-15,-0.281796,
2020-06-22,-0.277004,
2020-07-06,-0.272466,
2020-07-14,-0.271894,
2020-07-16,-0.285257,
2020-07-24,-0.284212,
2020-08-03,-0.281517,
2020-08-18,-0.279335,
2020-08-24,-0.282647,
2020-09-03,-0.277511,
2020-09-11,-0.275907,
2020-09-16,-0.294516,
2020-09-23,-0.293010,
2020-10-08,-0.289049,
2020-10-12,-0.286289,
2020-10-22,-0.283803,
2020-11-02,-0.280069,
2020-11-10,-0.279219,
2020-11-13,-0.278537,
2020-11-23,-0.276147,
2020-12-07,-0.273790,
2020-12-17,-0.272706,
2020-12-23,-0.271894,
2020-12-30,-0.269102,
2021-01-11,-0.267278,
2021-01-21,-0.266979,
2021-01-22,-0.271252,
2021-02-02,-0.272492,
2021-02-12,-0.269674,
2021-02-22,-0.271596,
2021-03-03,-0.270395,
2021-03-15,-0.271135,
2021-03-17,-0.270907,
2021-04-05,-0.264122,
2021-04-16,-0.263999,
2021-04-27,-0.261058,
2021-05-03,-0.259908,
2021-05-12,-0.259032,
2021-05-19,-0.257162,
2021-06-02,-0.256798,
2021-06-10,-0.254376,
2021-06-14,-0.253779,
2021-06-22,-0.256331,
2021-07-06,-0.257584,
2021-07-07,-0.155735,
2021-07-20,-0.151488,
2021-07-30,-0.150917,
2021-08-06,-0.150521,
2021-08-18,-0.146307,
2021-08-27,-0.145748,
2021-09-02,-0.143268,
2021-09-07,-0.143034,
2021-09-23,-0.139820,
2021-09-27,-0.141554,
2021-10-08,-0.141775,
2021-10-13,-0.141002,
2021-10-22,-0.141677,
2021-11-03,-0.141619,
2021-11-12,-0.140132,
2021-11-24,-0.139762,
2021-11-30,-0.139366,
2021-12-14,-0.136931,
2021-12-22,-0.138119,
2021-12-30,-0.136892,
2022-01-03,-0.136321,
2022-01-10,-0.138009,
2022-01-25,-0.136697,
2022-02-03,-0.138684,
2022-02-11,-0.131379,
2022-02-22,-0.131905,
2022-02-28,-0.130334,
2022-03-08,-0.132782,
2022-03-21,-0.129763,
2022-03-23,-0.130607,
2022-04-07,-0.128483,
2022-04-13,-0.134106,
2022-04-27,-0.131353,
2022-05-06,-0.142456,
2022-05-11,-0.139814,
2022-05-23,-0.138535,
2022-05-27,-0.138041,
2022-06-07,-0.141054,
2022-06-15,-0.141716,
2022-06-21,-0.139158,
2022-07-06,-0.134665,
2022-07-08,-0.136340,
2022-07-22,-0.135405,
2022-08-01,-0.133042,
2022-08-08,-0.132769,
2022-08-17,-0.130048,
2022-08-25,-0.129587,
2022-09-01,-0.128711,
2022-09-13,-0.127315,
2022-09-23,-0.130386,
2022-09-30,-0.128477,
2022-10-11,-0.129146,
2022-10-18,-0.126958,
2022-10-21,-0.127815,
2022-11-04,-0.125282,
2022-11-11,-0.121263,
2022-11-21,-0.120419,
2022-12-01,-0.116478,
2022-12-09,-0.116478,
2022-12-21,-0.113653,
2022-12-29,-0.114439,
2023-01-06,-0.113764,
2023-01-11,-0.112069,
2023-01-20,-0.111783,
2023-01-30,-0.111894,
2023-02-03,-0.109342,
2023-02-20,-0.109420,
2023-02-27,-0.110556,
2023-03-08,-0.109427,
2023-03-13,-0.107375,
2023-03-28,-0.105005,
2023-03-31,-0.093473,
2023-04-19,-0.087558,
2023-04-24,-0.084247,
2023-05-03,-0.080364,
2023-05-11,-0.079961,
2023-05-22,-0.076708,
2023-05-29,-0.076832,
2023-06-06,-0.074306,
2023-06-12,-0.074695,
2023-06-20,-0.073832,
2023-06-30,-0.074085,
2023-07-07,-0.073598,
2023-07-18,-0.069715,
2023-07-28,-0.070170,
2023-08-04,-0.069923,
2023-08-17,-0.069456,
2023-08-28,-0.065547,
2023-09-05,-0.064917,
2023-09-12,-0.064534,
2023-09-21,-0.061307,
2023-10-05,-0.061054,
2023-10-09,-0.064774,
2023-10-17,-0.061969,
2023-10-23,-0.062729,
2023-11-01,-0.060950,
2023-11-15,-0.055346,
2023-11-24,-0.054820,
2023-11-29,-0.053717,
2023-12-13,-0.051619,
2023-12-18,-0.048074,
2023-12-28,-0.047425,
2024-01-05,-0.046892,
2024-01-15,-0.043315,
2024-01-25,-0.041815,
2024-02-02,-0.036893,
2024-02-14,-0.036685,
2024-02-21,-0.034218,
2024-02-29,-0.033264,
2024-03-11,-0.030095,
2024-03-20,-0.029556,
2024-03-31,-0.025829,
2024-04-08,-0.026193,
2024-04-19,-0.025719,
2024-04-30,-0.023070,
2024-05-06,-0.020096,
2024-05-17,-0.017453,
2024-05-27,-0.014044,
2024-06-04,-0.014583,
2024-06-10,-0.012161,
2024-06-24,-0.007792,
2024-06-28,-0.007110,
2024-07-05,-0.005474,
2024-07-22,-0.000928,
2024-07-25,0.000000,
2024-08-06,-0.000045,
2024-08-08,0.000000,
2024-08-19,0.000000,
2024-08-27,0.000000,
2024-09-11,0.000000,
2024-09-17,-0.000198,
2024-09-30,0.000000,
2024-10-04,-0.001457,
2024-10-10,0.000000,
