# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:36:17.530622+00:00
date,fund_below_high,benchmark_below_high
2014-08-27,0.000000,
2014-09-03,0.000000,
2014-09-09,-0.016193,
2014-09-18,-0.017047,
2014-09-25,-0.002773,
2014-10-01,-0.011472,
2014-10-17,-0.087495,
2014-10-22,-0.059298,
2014-10-31,-0.020452,
2014-11-17,-0.034004,
2014-11-19,-0.023647,
2014-12-02,-0.009272,
2014-12-10,-0.030337,
2014-12-17,-0.033240,
2014-12-26,-0.000894,
2015-01-06,-0.046741,
2015-01-13,-0.056957,
2015-01-20,-0.041528,
2015-01-22,-0.048730,
2015-02-03,-0.040503,
2015-02-16,0.000000,
2015-02-24,0.000000,
2015-03-04,-0.006561,
2015-03-10,-0.010018,
2015-03-16,0.000000,
2015-03-31,-0.023893,
2015-04-07,0.000000,
2015-04-10,-0.004653,
2015-04-27,0.000000,
2015-05-05,-0.026777,
2015-05-13,0.000000,
2015-05-15,-0.003855,
2015-05-25,0.000000,
2015-06-08,-0.026241,
2015-06-15,-0.018135,
2015-06-18,-0.041886,
2015-06-24,-0.018574,
2015-07-08,-0.060676,
2015-07-14,-0.033073,
2015-07-21,-0.023330,
2015-07-28,-0.040956,
2015-08-03,-0.027499,
2015-08-17,-0.012578,
2015-08-25,-0.098909,
2015-08-28,-0.048813,
2015-09-08,-0.114589,
2015-09-16,-0.082394,
2015-09-29,-0.139176,
2015-10-07,-0.081360,
2015-10-14,-0.095463,
2015-10-26,-0.054180,
2015-11-02,-0.071014,
2015-11-09,-0.039276,
2015-11-17,-0.047658,
2015-11-24,-0.024105,
2015-12-03,-0.023838,
2015-12-15,-0.066836,
2015-12-17,-0.046314,
2015-12-31,-0.054344,
2016-01-08,-0.094929,
2016-01-12,-0.113477,
2016-01-21,-0.156251,
2016-02-01,-0.083101,
2016-02-12,-0.195277,
2016-02-18,-0.131061,
2016-03-01,-0.140365,
2016-03-04,-0.104931,
2016-03-11,-0.120266,
2016-03-29,-0.108283,
2016-04-05,-0.168717,
2016-04-11,-0.153374,
2016-04-22,-0.075752,
2016-05-02,-0.126357,
2016-05-13,-0.131164,
2016-05-20,-0.118026,
2016-06-02,-0.124108,
2016-06-08,-0.106447,
2016-06-16,-0.154554,
2016-06-21,-0.116958,
2016-06-28,-0.133283,
2016-07-08,-0.149161,
2016-07-19,-0.113538,
2016-08-01,-0.097781,
2016-08-03,-0.119491,
2016-08-12,-0.086288,
2016-08-26,-0.095997,
2016-09-06,-0.083359,
2016-09-14,-0.104569,
2016-09-23,-0.067749,
2016-09-30,-0.078854,
2016-10-13,-0.087770,
2016-10-20,-0.068748,
2016-11-01,-0.055929,
2016-11-09,-0.096859,
2016-11-15,-0.070962,
2016-11-28,-0.049812,
2016-12-06,-0.083876,
2016-12-12,-0.064932,
2016-12-16,-0.081205,
2016-12-30,-0.081447,
2017-01-13,-0.046056,
2017-01-17,-0.059392,
2017-01-27,-0.055317,
2017-02-02,-0.068024,
2017-02-08,-0.057014,
2017-02-16,-0.064983,
2017-03-01,-0.056825,
2017-03-07,-0.063863,
2017-03-15,-0.072944,
2017-03-28,-0.054111,
2017-03-31,-0.084048,
2017-04-13,-0.086314,
2017-04-19,-0.077518,
2017-05-08,-0.048356,
2017-05-15,-0.054094,
2017-05-19,-0.030213,
2017-05-31,-0.032014,
2017-06-06,-0.005229,
2017-06-09,-0.023209,
2017-06-21,-0.013052,
2017-06-28,-0.023235,
2017-07-10,-0.040818,
2017-07-20,-0.020676,
2017-07-26,-0.032866,
2017-08-01,-0.017790,
2017-08-14,-0.038466,
2017-08-24,-0.044014,
2017-08-29,-0.040689,
2017-09-05,-0.048873,
2017-09-15,-0.033961,
2017-09-26,0.000000,
2017-09-29,-0.004652,
2017-10-10,0.000000,
2017-10-25,-0.002607,
2017-11-02,0.000000,
2017-11-08,0.000000,
2017-11-15,-0.033950,
2017-11-24,-0.018745,
2017-12-06,-0.032428,
2017-12-12,-0.014416,
2017-12-21,-0.016888,
2018-01-02,-0.017701,
2018-01-05,0.000000,
2018-01-18,-0.009468,
