# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:36:10.581186+00:00
stretch_ending,fund_return,benchmark_return
2017-09-22,0.078720,
2017-09-29,0.074088,
2017-10-06,0.074958,
2017-10-13,0.090667,
2017-10-18,0.081814,
2017-10-27,0.080141,
2017-11-03,0.079604,
2017-11-10,0.074728,
2017-11-17,0.073417,
2017-11-24,0.072315,
2017-12-01,0.061734,
2017-12-08,0.078451,
2017-12-15,0.086846,
2017-12-22,0.090429,
2017-12-29,0.088156,
2018-01-05,0.092291,
2018-01-12,0.086424,
2018-01-19,0.084072,
2018-01-25,0.081203,
2018-02-02,0.081464,
2018-02-09,0.071186,
2018-02-16,0.063337,
2018-02-23,0.073494,
2018-03-01,0.063524,
2018-03-09,0.062047,
2018-03-16,0.066644,
2018-03-23,0.072757,
2018-03-28,0.063514,
2018-04-06,0.065813,
2018-04-13,0.074508,
2018-04-20,0.088788,
2018-04-27,0.104317,
2018-05-04,0.109428,
2018-05-11,0.107353,
2018-05-18,0.092181,
2018-05-25,0.097278,
2018-06-01,0.109186,
2018-06-08,0.117459,
2018-06-15,0.109007,
2018-06-22,0.099348,
2018-06-29,0.095886,
2018-07-06,0.103093,
2018-07-13,0.100340,
2018-07-20,0.101024,
2018-07-27,0.118157,
2018-08-03,0.112510,
2018-08-10,0.125522,
2018-08-17,0.125807,
2018-08-24,0.148187,
2018-08-31,0.158709,
2018-09-07,0.158322,
2018-09-14,0.146555,
2018-09-21,0.139157,
2018-09-28,0.127641,
2018-10-05,0.099504,
2018-10-12,0.101045,
2018-10-19,0.090011,
2018-10-26,0.088492,
2018-11-02,0.113604,
2018-11-09,0.125328,
2018-11-16,0.125131,
2018-11-22,0.118397,
2018-11-30,0.132208,
2018-12-07,0.136066,
2018-12-14,0.131004,
2018-12-21,0.128121,
2018-12-28,0.127714,
2019-01-04,0.142415,
2019-01-11,0.146968,
2019-01-18,0.163726,
2019-01-25,0.151774,
2019-02-01,0.158541,
2019-02-08,0.182211,
2019-02-15,0.162671,
2019-02-22,0.174544,
2019-03-01,0.150318,
2019-03-08,0.156471,
2019-03-15,0.168820,
2019-03-22,0.165732,
2019-03-29,0.165045,
2019-04-05,0.177112,
2019-04-12,0.158851,
2019-04-18,0.161590,
2019-04-26,0.165023,
2019-05-03,0.169137,
2019-05-10,0.146056,
2019-05-17,0.156694,
2019-05-24,0.157851,
2019-05-31,0.153136,
2019-06-07,0.152732,
2019-06-14,0.154452,
2019-06-21,0.145412,
2019-06-28,0.147094,
2019-07-05,0.145411,
2019-07-12,0.127951,
2019-07-19,0.127166,
2019-07-26,0.116325,
2019-08-02,0.115525,
2019-08-09,0.118188,
2019-08-16,0.112418,
2019-08-23,0.109860,
2019-08-30,0.108298,
2019-09-06,0.096813,
2019-09-13,0.108743,
2019-09-20,0.110152,
2019-09-27,0.130451,
2019-10-04,0.115523,
2019-10-11,0.126137,
2019-10-18,0.131029,
2019-10-25,0.131553,
2019-11-01,0.148542,
2019-11-08,0.148837,
2019-11-15,0.167488,
2019-11-22,0.172954,
2019-11-29,0.166812,
2019-12-06,0.161552,
2019-12-13,0.169446,
2019-12-20,0.183745,
2019-12-27,0.176960,
2020-01-03,0.168437,
2020-01-10,0.164425,
2020-01-17,0.166772,
2020-01-24,0.155706,
2020-01-31,0.142681,
2020-02-07,0.145100,
2020-02-14,0.146426,
2020-02-20,0.137877,
2020-02-28,0.111485,
2020-03-06,0.103531,
2020-03-13,0.060155,
2020-03-20,0.018174,
2020-03-27,0.013740,
2020-04-03,-0.015090,
2020-04-09,0.030850,
2020-04-17,0.036024,
2020-04-24,0.026154,
2020-04-30,0.050456,
2020-05-08,0.027067,
2020-05-15,0.019082,
2020-05-22,0.010969,
2020-05-29,0.025405,
2020-06-05,0.043362,
2020-06-12,0.039556,
2020-06-19,0.046686,
2020-06-26,0.055604,
2020-07-03,0.058193,
2020-07-10,0.057133,
2020-07-17,0.062343,
2020-07-24,0.067473,
2020-07-31,0.064205,
2020-08-07,0.076373,
2020-08-14,0.071830,
2020-08-21,0.079165,
2020-08-28,0.087158,
2020-09-04,0.077702,
2020-09-11,0.075725,
2020-09-18,0.074163,
2020-09-25,0.072719,
2020-10-01,0.081516,
2020-10-09,0.091369,
2020-10-16,0.083112,
2020-10-23,0.082703,
2020-10-30,0.068377,
2020-11-06,0.091806,
2020-11-13,0.106655,
2020-11-20,0.105034,
2020-11-27,0.112125,
2020-12-04,0.122110,
2020-12-11,0.127096,
2020-12-18,0.128390,
2020-12-24,0.127474,
2021-01-01,0.133224,
2021-01-08,0.134465,
2021-01-15,0.128274,
2021-01-22,0.118781,
