# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:36:11.780235+00:00
date,fund_value_inr,benchmark_value_inr
2016-11-07,10000.00,
2016-11-10,10033.28,
2016-11-15,9542.58,
2016-11-24,9373.49,
2016-11-30,9676.81,
2016-12-07,9532.01,
2016-12-13,9671.86,
2016-12-26,9301.82,
2016-12-30,9627.25,
2017-01-09,9684.92,
2017-01-12,9885.54,
2017-01-20,9816.52,
2017-01-25,10114.61,
2017-01-31,10065.10,
2017-02-07,10311.86,
2017-02-15,10261.69,
2017-02-22,10499.62,
2017-03-03,10468.35,
2017-03-10,10512.33,
2017-03-16,10779.78,
2017-03-27,10653.18,
2017-04-05,10911.77,
2017-04-11,10878.59,
2017-04-19,10721.39,
2017-04-26,11013.58,
2017-05-05,10936.24,
2017-05-10,11079.65,
2017-05-17,11218.97,
2017-05-24,11025.41,
2017-05-29,11315.81,
2017-06-05,11420.22,
2017-06-15,11312.12,
2017-06-20,11405.43,
2017-06-28,11216.89,
2017-07-07,11436.08,
2017-07-13,11711.11,
2017-07-18,11643.98,
2017-07-26,11877.45,
2017-08-01,11990.94,
2017-08-11,11520.24,
2017-08-16,11740.98,
2017-08-21,11571.91,
2017-09-01,11836.12,
2017-09-08,11791.32,
2017-09-18,12053.45,
2017-09-21,12017.18,
2017-09-27,11559.45,
2017-10-05,11739.81,
2017-10-16,12145.70,
2017-10-23,12091.18,
2017-11-01,12407.09,
2017-11-06,12423.00,
2017-11-15,12026.52,
2017-11-17,12223.09,
2017-11-27,12360.90,
2017-12-06,11938.75,
2017-12-11,12269.10,
2017-12-14,12185.77,
2017-12-26,12517.51,
2018-01-03,12412.61,
2018-01-08,12626.71,
2018-01-16,12718.38,
2018-01-23,13176.14,
2018-02-01,13099.47,
2018-02-06,12482.61,
2018-02-15,12551.73,
2018-02-20,12331.63,
2018-02-26,12599.64,
2018-03-07,12093.91,
2018-03-13,12419.83,
2018-03-23,11931.02,
2018-03-27,12152.23,
2018-04-04,12085.58,
2018-04-12,12478.95,
2018-04-19,12605.90,
2018-04-30,12813.26,
2018-05-04,12669.87,
2018-05-15,12889.01,
2018-05-23,12446.07,
2018-05-28,12767.51,
2018-06-05,12667.82,
2018-06-07,12876.81,
2018-06-13,12982.27,
2018-06-22,12962.03,
2018-06-28,12691.18,
2018-07-10,13125.60,
2018-07-16,13117.88,
2018-07-19,13156.24,
2018-07-31,13638.13,
2018-08-02,13505.76,
2018-08-08,13751.98,
2018-08-16,13685.46,
2018-08-28,14113.81,
2018-09-05,13802.49,
2018-09-07,13939.52,
2018-09-14,13852.92,
2018-09-24,13196.40,
2018-10-01,13244.96,
2018-10-09,12395.33,
2018-10-16,12736.17,
2018-10-26,12081.86,
2018-11-02,12713.21,
2018-11-12,12628.88,
2018-11-19,12967.12,
2018-11-22,12682.30,
2018-11-30,13103.76,
2018-12-10,12636.64,
2018-12-19,13213.07,
2018-12-24,12851.63,
2019-01-01,13152.41,
2019-01-07,12985.82,
2019-01-14,12944.68,
2019-01-21,13215.84,
2019-01-30,12847.47,
2019-02-06,13345.78,
2019-02-14,12971.39,
2019-02-19,12800.77,
2019-02-25,13135.23,
2019-03-01,13120.12,
2019-03-12,13647.60,
2019-03-19,13933.33,
2019-03-25,13721.53,
2019-04-02,14155.15,
2019-04-10,13999.85,
2019-04-16,14244.84,
2019-05-02,14170.41,
2019-05-08,13731.78,
2019-05-15,13488.08,
2019-05-20,14298.93,
2019-05-29,14354.33,
2019-06-03,14629.99,
2019-06-07,14372.49,
2019-06-17,14145.79,
2019-06-24,14191.55,
2019-07-04,14493.13,
2019-07-08,14024.95,
2019-07-17,14188.25,
2019-07-22,13787.59,
