# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:36:08.321386+00:00
date,fund_below_high,benchmark_below_high
2021-01-04,0.000000,
2021-01-06,-0.002309,
2021-01-07,0.000000,
2021-01-14,-0.001065,
2021-01-18,-0.027654,
2021-01-20,-0.003532,
2021-01-27,-0.040277,
2021-01-29,-0.052141,
2021-02-02,-0.005539,
2021-02-08,0.000000,
2021-02-12,-0.000805,
2021-02-17,-0.000101,
2021-02-19,-0.012774,
2021-02-22,-0.023146,
2021-02-26,-0.023349,
2021-03-02,0.000000,
2021-03-05,-0.014434,
2021-03-10,-0.003770,
2021-03-16,-0.012216,
2021-03-18,-0.038148,
2021-03-25,-0.053513,
2021-03-31,-0.015286,
2021-04-05,-0.030971,
2021-04-09,-0.006521,
2021-04-12,-0.036418,
2021-04-16,-0.029524,
2021-04-20,-0.046389,
2021-04-28,-0.005314,
2021-04-30,-0.013786,
2021-05-04,-0.016084,
2021-05-07,0.000000,
2021-05-14,-0.017484,
2021-05-18,0.000000,
2021-05-20,-0.004459,
2021-05-25,0.000000,
2021-06-01,-0.004167,
2021-06-03,0.000000,
2021-06-08,-0.019129,
2021-06-09,-0.025878,
2021-06-15,-0.007370,
2021-06-18,-0.027731,
2021-06-22,-0.018049,
2021-06-28,-0.012645,
2021-07-01,-0.017615,
2021-07-02,-0.019394,
2021-07-07,-0.008336,
2021-07-12,-0.013104,
2021-07-16,0.000000,
2021-07-20,-0.019364,
2021-07-26,-0.006142,
2021-07-28,-0.011989,
2021-08-02,0.000000,
2021-08-06,0.000000,
2021-08-11,-0.016369,
2021-08-13,0.000000,
2021-08-20,-0.010682,
2021-08-23,-0.011522,
2021-08-27,0.000000,
2021-08-31,0.000000,
2021-09-07,0.000000,
2021-09-08,-0.001324,
2021-09-15,0.000000,
2021-09-20,-0.016374,
2021-09-23,0.000000,
2021-09-27,0.000000,
2021-10-01,-0.010987,
2021-10-04,-0.000175,
2021-10-06,-0.012052,
2021-10-11,0.000000,
2021-10-18,0.000000,
2021-10-21,-0.032066,
2021-10-27,-0.029723,
2021-10-29,-0.051315,
2021-11-01,-0.039247,
2021-11-08,-0.027415,
2021-11-12,-0.019735,
2021-11-17,-0.026736,
2021-11-22,-0.057817,
2021-11-25,-0.048175,
2021-11-29,-0.077704,
2021-12-06,-0.075625,
2021-12-09,-0.046976,
2021-12-13,-0.047974,
2021-12-17,-0.065151,
2021-12-20,-0.100101,
2021-12-23,-0.071708,
2021-12-27,-0.072013,
2021-12-30,-0.064208,
2022-01-05,-0.031768,
2022-01-07,-0.035795,
2022-01-12,-0.017419,
2022-01-17,-0.009344,
2022-01-20,-0.035449,
2022-01-24,-0.072187,
2022-01-28,-0.073219,
2022-02-02,-0.039143,
2022-02-08,-0.067140,
2022-02-10,-0.052362,
2022-02-14,-0.092864,
2022-02-17,-0.071999,
2022-02-24,-0.128084,
2022-02-28,-0.103157,
2022-03-03,-0.109521,
2022-03-07,-0.141899,
2022-03-10,-0.107275,
2022-03-15,-0.106013,
2022-03-22,-0.077219,
2022-03-25,-0.082466,
2022-03-30,-0.072027,
2022-04-04,-0.036287,
2022-04-07,-0.043961,
2022-04-11,-0.035476,
2022-04-18,-0.060631,
2022-04-21,-0.053818,
2022-04-25,-0.076034,
2022-04-29,-0.063106,
2022-05-04,-0.093148,
2022-05-06,-0.106665,
2022-05-12,-0.152996,
2022-05-17,-0.125748,
2022-05-19,-0.146078,
2022-05-25,-0.144955,
2022-05-30,-0.111122,
2022-06-01,-0.105258,
2022-06-03,-0.117048,
2022-06-09,-0.119731,
2022-06-13,-0.149419,
2022-06-16,-0.172752,
2022-06-20,-0.182962,
2022-06-27,-0.151374,
2022-06-29,-0.155485,
2022-07-01,-0.155991,
2022-07-05,-0.150549,
2022-07-11,-0.125886,
2022-07-14,-0.135230,
2022-07-19,-0.112883,
