# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:36:14.612953+00:00
date,fund_value_inr,benchmark_value_inr
2019-05-02,10000.00,
2019-05-06,10033.61,
2019-05-13,10044.39,
2019-05-16,10088.17,
2019-05-17,10079.30,
2019-05-24,10189.91,
2019-05-28,10264.52,
2019-06-06,10402.67,
2019-06-10,10374.24,
2019-06-18,10577.52,
2019-06-20,10608.64,
2019-06-26,10584.80,
2019-07-03,10632.38,
2019-07-04,10644.95,
2019-07-10,10819.00,
2019-07-16,10927.92,
2019-07-19,10899.60,
2019-07-25,10868.88,
2019-08-01,10888.92,
2019-08-07,10931.62,
2019-08-08,10931.62,
2019-08-14,10820.80,
2019-08-26,10935.21,
2019-08-27,10968.82,
2019-08-30,10920.14,
2019-09-09,10957.25,
2019-09-16,10956.65,
2019-09-20,10876.06,
2019-09-24,10922.94,
2019-10-03,10990.76,
2019-10-07,10978.00,
2019-10-14,11002.33,
2019-10-17,10986.08,
2019-10-23,11014.90,
2019-10-29,10996.15,
2019-11-04,11020.49,
2019-11-08,10994.35,
2019-11-15,11017.10,
2019-11-20,11055.90,
2019-11-25,11082.93,
2019-12-03,11105.27,
2019-12-05,11058.79,
2019-12-11,11022.38,
2019-12-18,11058.39,
2019-12-23,11152.45,
2019-12-30,11180.18,
2020-01-01,11157.84,
2020-01-09,11186.56,
2020-01-14,11125.52,
2020-01-16,11157.94,
2020-01-21,11193.25,
2020-01-29,11207.61,
2020-01-31,11200.23,
2020-02-07,11314.73,
2020-02-13,11337.68,
2020-02-18,11406.70,
2020-02-24,11378.47,
2020-03-03,11393.73,
2020-03-06,11490.48,
2020-03-09,11557.71,
2020-03-16,11516.12,
2020-03-23,11236.83,
2020-03-27,11496.47,
2020-04-07,11012.71,
2020-04-13,11175.09,
2020-04-21,11570.48,
2020-04-22,11553.22,
2020-04-30,11655.76,
2020-05-08,11838.09,
2020-05-11,11782.64,
2020-05-15,11815.75,
2020-05-26,11963.57,
2020-06-01,11931.56,
2020-06-04,11947.71,
2020-06-08,11961.78,
2020-06-12,11932.35,
2020-06-18,11932.05,
2020-06-22,11966.86,
2020-06-26,11958.09,
2020-07-06,12021.13,
2020-07-09,12089.85,
2020-07-13,12135.83,
2020-07-17,12131.34,
2020-07-22,12166.65,
2020-07-29,12158.18,
2020-08-04,12194.08,
2020-08-05,12167.85,
2020-08-14,12129.55,
2020-08-18,12166.05,
2020-08-24,12007.06,
2020-08-28,12030.60,
2020-09-01,12196.28,
2020-09-07,12216.33,
2020-09-10,12137.83,
2020-09-18,12143.71,
2020-09-22,12084.46,
2020-09-29,11987.71,
2020-10-06,11995.19,
2020-10-09,12106.01,
2020-10-13,12165.56,
2020-10-20,12225.70,
2020-10-22,12239.37,
2020-10-27,12346.59,
2020-11-05,12336.62,
2020-11-11,12341.21,
2020-11-17,12384.10,
2020-11-20,12349.49,
2020-11-26,12395.77,
2020-12-01,12355.47,
2020-12-07,12399.06,
2020-12-11,12362.95,
2020-12-15,12416.91,
2020-12-21,12383.30,
2020-12-29,12442.95,
2021-01-04,12486.63,
2021-01-07,12457.41,
2021-01-12,12428.78,
2021-01-18,12415.32,
2021-01-22,12446.24,
2021-01-28,12457.71,
2021-02-02,12312.68,
2021-02-08,12338.61,
2021-02-11,12262.21,
2021-02-17,12248.34,
2021-02-26,12110.90,
2021-03-01,12156.18,
2021-03-09,12187.80,
2021-03-12,12169.35,
2021-03-17,12200.67,
2021-03-23,12371.23,
2021-03-26,12372.53,
2021-04-08,12480.95,
2021-04-09,12509.48,
2021-04-16,12465.69,
2021-04-26,12506.28,
2021-04-29,12503.69,
2021-05-05,12544.19,
2021-05-12,12569.72,
2021-05-14,12534.01,
2021-05-20,12552.96,
2021-05-27,12622.29,
2021-06-01,12574.61,
2021-06-09,12632.86,
2021-06-11,12686.42,
2021-06-21,12693.31,
2021-06-23,12659.39,
2021-06-28,12688.42,
2021-07-02,12616.00,
2021-07-08,12545.98,
2021-07-12,12588.47,
2021-07-16,12563.04,
2021-07-27,12593.56,
2021-07-28,12623.78,
2021-08-02,12608.22,
2021-08-11,12624.58,
2021-08-17,12700.99,
2021-08-23,12684.73,
2021-08-25,12704.08,
2021-08-30,12749.36,
2021-09-06,12874.84,
2021-09-13,12868.16,
2021-09-17,12931.30,
2021-09-23,12955.13,
2021-09-27,12924.11,
2021-10-01,12882.02,
2021-10-06,12902.17,
2021-10-11,12878.33,
2021-10-21,12927.71,
2021-10-28,12964.41,
2021-11-02,12919.53,
2021-11-09,12967.10,
2021-11-16,13004.91,
2021-11-22,12979.37,
2021-11-23,12995.03,
2021-12-01,13056.28,
2021-12-07,13045.90,
2021-12-13,13100.46,
2021-12-16,13066.85,
2021-12-20,13091.98,
2021-12-28,12967.50,
2021-12-30,12987.25,
2022-01-05,12996.73,
2022-01-10,12931.79,
2022-01-14,12938.68,
2022-01-19,12878.53,
2022-01-24,12941.17,
2022-01-31,12966.90,
2022-02-04,12854.29,
2022-02-10,12974.19,
2022-02-16,13029.25,
2022-02-22,13027.85,
2022-03-02,13047.00,
2022-03-07,12984.06,
2022-03-08,12966.51,
2022-03-14,12972.69,
2022-03-21,13017.38,
2022-03-28,13062.76,
2022-04-04,13012.79,
2022-04-06,13042.11,
2022-04-11,12931.89,
2022-04-19,12976.68,
2022-04-22,12930.70,
2022-05-02,13009.79,
2022-05-04,12789.66,
2022-05-11,12843.22,
2022-05-18,12829.36,
2022-05-23,12865.86,
2022-05-26,12873.44,
2022-05-31,12789.26,
2022-06-07,12748.36,
2022-06-10,12798.54,
2022-06-17,12775.99,
2022-06-22,12833.15,
2022-06-29,12835.14,
2022-07-04,12884.32,
2022-07-07,12981.07,
2022-07-14,13016.38,
2022-07-19,12938.48,
2022-07-22,12957.53,
2022-07-29,13023.96,
2022-08-02,13102.46,
2022-08-08,13054.38,
2022-08-17,13191.73,
2022-08-22,13214.37,
2022-08-25,13145.05,
2022-09-01,13236.61,
2022-09-07,13251.97,
2022-09-12,13298.46,
2022-09-14,13307.03,
2022-09-22,13225.24,
2022-09-26,13114.83,
2022-09-30,13174.07,
2022-10-07,13118.32,
2022-10-14,13127.49,
2022-10-20,13205.19,
2022-10-25,13169.19,
2022-11-02,13217.06,
2022-11-07,13189.53,
2022-11-11,13281.80,
2022-11-18,13291.27,
2022-11-22,13332.47,
2022-11-25,13329.38,
2022-12-02,13412.46,
2022-12-05,13434.61,
2022-12-12,13405.58,
2022-12-19,13438.10,
2022-12-22,13434.71,
2022-12-27,13452.56,
2022-12-30,13452.16,
2023-01-04,13493.86,
2023-01-10,13495.55,
2023-01-13,13518.59,
2023-01-19,13539.44,
2023-01-30,13509.42,
2023-02-02,13577.54,
2023-02-06,13547.02,
2023-02-14,13536.15,
2023-02-16,13562.38,
2023-02-21,13532.46,
2023-02-24,13560.09,
2023-03-02,13554.00,
2023-03-13,13593.00,
2023-03-15,13584.62,
2023-03-17,13569.66,
2023-03-27,13613.35,
2023-04-03,13684.17,
2023-04-10,13793.29,
2023-04-18,13797.78,
2023-04-20,13840.07,
2023-04-27,13873.28,
2023-05-04,13940.41,
2023-05-08,13919.67,
2023-05-15,13978.61,
2023-05-19,13991.28,
2023-05-23,14023.70,
2023-05-26,14017.22,
2023-06-06,14044.15,
2023-06-09,14035.37,
2023-06-13,14066.29,
2023-06-16,14040.96,
2023-06-26,14040.06,
2023-06-30,14057.71,
2023-07-06,14045.24,
2023-07-12,14068.78,
2023-07-14,14107.78,
2023-07-21,14107.88,
2023-07-27,14140.50,
2023-07-28,14103.89,
2023-08-04,14081.05,
2023-08-08,14126.34,
2023-08-17,14108.28,
2023-08-22,14125.54,
2023-08-25,14172.92,
2023-08-30,14174.81,
2023-09-07,14212.42,
2023-09-12,14178.00,
2023-09-14,14232.56,
2023-09-22,14272.46,
2023-10-03,14261.49,
2023-10-06,14188.98,
2023-10-09,14211.32,
2023-10-16,14214.31,
2023-10-19,14191.37,
2023-10-26,14188.18,
2023-11-01,14209.82,
2023-11-07,14279.64,
2023-11-09,14275.55,
2023-11-20,14331.71,
2023-11-24,14310.47,
2023-11-29,14341.79,
2023-12-04,14320.54,
2023-12-11,14352.26,
2023-12-13,14378.99,
2023-12-18,14476.94,
2023-12-22,14483.32,
2024-01-02,14447.51,
2024-01-03,14478.24,
2024-01-11,14494.39,
2024-01-17,14566.11,
2024-01-23,14527.91,
2024-01-24,14559.63,
2024-02-01,14634.04,
2024-02-08,14673.14,
2024-02-14,14668.45,
2024-02-15,14690.39,
2024-02-26,14721.61,
2024-02-28,14715.13,
2024-03-05,14764.60,
2024-03-11,14798.52,
2024-03-18,14792.13,
2024-03-20,14787.84,
2024-03-27,14798.12,
2024-04-04,14852.78,
2024-04-08,14830.13,
2024-04-18,14860.36,
2024-04-22,14803.20,
2024-04-25,14842.30,
2024-05-06,14893.77,
2024-05-09,14888.39,
2024-05-13,14924.49,
2024-05-21,14983.44,
2024-05-24,15006.28,
2024-06-03,15033.21,
2024-06-04,14995.41,
2024-06-11,15069.32,
2024-06-14,15063.24,
2024-06-20,15098.15,
2024-06-26,15134.36,
2024-07-02,15129.87,
2024-07-08,15179.34,
2024-07-15,15178.04,
2024-07-22,15230.11,
2024-07-25,15229.61,
2024-07-30,15290.16,
2024-08-02,15294.94,
2024-08-08,15350.40,
2024-08-16,15389.50,
2024-08-19,15367.56,
2024-08-27,15435.39,
2024-08-30,15454.04,
2024-09-02,15433.09,
2024-09-11,15484.06,
2024-09-13,15496.93,
2024-09-20,15557.57,
2024-09-24,15550.99,
2024-10-03,15620.71,
2024-10-09,15602.66,
2024-10-14,15625.90,
2024-10-18,15610.14,
2024-10-21,15637.37,
2024-10-28,15638.57,
2024-11-04,15667.19,
2024-11-07,15656.62,
2024-11-14,15682.15,
2024-11-19,15663.70,
2024-11-27,15710.48,
2024-12-02,15776.01,
2024-12-03,15769.63,
2024-12-10,15837.56,
2024-12-13,15841.05,
2024-12-20,15807.83,
2024-12-24,15802.05,
2025-01-02,15798.85,
2025-01-08,15852.52,
2025-01-13,15821.30,
2025-01-16,15863.49,
2025-01-21,15891.82,
2025-01-27,15937.10,
2025-01-29,15914.46,
2025-02-05,15986.37,
2025-02-11,15961.54,
2025-02-17,16003.33,
2025-02-21,16000.94,
2025-02-28,16064.57,
2025-03-06,16035.45,
2025-03-07,16030.76,
2025-03-18,16064.67,
2025-03-20,16119.14,
2025-03-25,16134.30,
2025-04-02,16276.53,
2025-04-08,16287.60,
2025-04-15,16417.97,
2025-04-23,16493.78,
2025-04-25,16463.75,
2025-05-05,16521.41,
2025-05-09,16492.18,
2025-05-13,16566.69,
2025-05-19,16642.69,
2025-05-26,16672.82,
2025-05-28,16745.43,
2025-06-03,16729.77,
2025-06-06,16759.60,
2025-06-12,16690.87,
2025-06-17,16743.04,
2025-06-25,16664.04,
2025-07-01,16739.15,
2025-07-02,16693.86,
2025-07-07,16746.03,
2025-07-15,16741.74,
2025-07-17,16777.75,
2025-07-22,16821.34,
2025-07-29,16812.86,
2025-08-05,16841.19,
