# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 17 Aug 2020 (2231 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Notes:
#   - Holdings as of 17 Aug 2020 — 2231 days old. Funds disclose monthly.
# Generated: 2026-09-26T10:36:08.829876+00:00
date,nav
2017-01-12,10.06360
2017-01-13,10.06670
2017-01-17,10.06570
2017-01-19,10.09290
2017-01-20,10.06460
2017-01-24,10.09480
2017-01-27,10.13620
2017-01-31,10.11540
2017-02-01,10.16320
2017-02-03,10.18580
2017-02-07,10.21100
2017-02-08,10.15980
2017-02-10,10.16340
2017-02-14,10.18140
2017-02-15,10.16990
2017-02-17,10.21330
2017-02-22,10.22880
2017-02-27,10.22100
2017-03-01,10.23920
2017-03-02,10.21770
2017-03-06,10.23500
2017-03-07,10.21990
2017-03-10,10.19630
2017-03-14,10.23140
2017-03-16,10.27840
2017-03-17,10.27910
2017-03-22,10.26190
2017-03-23,10.28350
2017-03-27,10.29810
2017-03-29,10.32480
2017-03-31,10.35060
2017-04-05,10.39110
2017-04-07,10.36550
2017-04-11,10.40760
2017-04-12,10.40940
2017-04-17,10.40280
2017-04-18,10.38690
2017-04-21,10.39390
2017-04-25,10.44480
2017-04-26,10.44960
2017-04-27,10.44060
2017-05-03,10.44930
2017-05-04,10.46200
2017-05-08,10.46030
2017-05-11,10.50290
2017-05-12,10.49560
2017-05-16,10.54100
2017-05-17,10.54590
2017-05-22,10.50710
2017-05-24,10.46140
2017-05-25,10.50110
2017-05-26,10.53490
2017-05-30,10.53810
2017-06-02,10.57480
2017-06-05,10.58260
2017-06-06,10.57500
2017-06-08,10.62530
2017-06-12,10.62620
2017-06-14,10.63460
2017-06-16,10.64290
2017-06-19,10.65930
2017-06-22,10.66390
2017-06-23,10.64890
2017-06-28,10.62830
2017-06-29,10.63550
2017-07-03,10.66460
2017-07-05,10.67650
2017-07-07,10.69730
2017-07-10,10.72780
2017-07-12,10.73880
2017-07-13,10.76330
2017-07-18,10.77200
2017-07-19,10.79690
2017-07-21,10.80220
2017-07-24,10.80990
2017-07-27,10.82760
2017-07-28,10.83130
2017-08-01,10.85790
2017-08-03,10.84050
2017-08-07,10.86260
2017-08-08,10.84600
2017-08-10,10.78950
2017-08-11,10.76900
2017-08-16,10.83500
2017-08-21,10.78870
2017-08-23,10.81900
2017-08-28,10.85470
2017-08-29,10.82750
2017-09-01,10.88820
2017-09-04,10.87330
2017-09-05,10.88240
2017-09-08,10.87090
2017-09-11,10.89050
2017-09-12,10.92610
2017-09-15,10.93260
2017-09-18,10.94380
2017-09-20,10.95300
2017-09-22,10.88830
2017-09-26,10.87100
2017-09-27,10.82720
2017-09-29,10.85540
2017-10-03,10.88470
2017-10-05,10.88600
2017-10-10,10.92570
2017-10-11,10.91440
2017-10-12,10.93690
2017-10-16,10.97060
2017-10-23,10.95060
2017-10-24,10.96860
