# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:36:24.033742+00:00
date,fund_value_inr,benchmark_value_inr
2022-02-08,10000.00,
2022-02-09,10076.40,
2022-02-14,10284.82,
2022-02-15,10142.21,
2022-02-21,10178.14,
2022-02-23,10283.24,
2022-02-24,10742.14,
2022-02-28,10402.39,
2022-03-07,11287.74,
2022-03-09,11331.39,
2022-03-10,10995.89,
2022-03-15,10748.97,
2022-03-17,10843.78,
2022-03-23,10809.84,
2022-03-25,11011.23,
2022-03-29,10657.33,
2022-04-01,10710.28,
2022-04-05,10618.93,
2022-04-07,10601.12,
2022-04-12,10818.94,
2022-04-18,11175.32,
2022-04-19,11172.05,
2022-04-25,10487.21,
2022-04-26,10504.82,
2022-04-29,10369.04,
2022-05-02,10091.15,
2022-05-06,10037.71,
2022-05-11,9856.80,
2022-05-13,9503.88,
2022-05-17,9861.84,
2022-05-19,9733.98,
2022-05-23,9964.47,
2022-05-26,9820.08,
2022-05-30,9927.46,
2022-06-01,9707.85,
2022-06-03,9982.19,
2022-06-09,9890.84,
2022-06-10,9731.90,
2022-06-14,9604.43,
2022-06-17,9852.74,
2022-06-21,9787.32,
2022-06-24,9533.87,
2022-06-27,9734.87,
2022-07-01,9316.64,
2022-07-05,9362.96,
2022-07-06,9217.58,
2022-07-12,9030.23,
2022-07-13,9046.17,
2022-07-15,8789.75,
2022-07-19,8933.54,
2022-07-22,8867.63,
2022-07-26,8726.80,
2022-07-29,9221.14,
2022-08-03,9139.29,
2022-08-04,9290.12,
2022-08-10,9372.66,
2022-08-11,9391.56,
2022-08-18,9141.27,
2022-08-22,8821.22,
2022-08-24,8882.87,
2022-08-26,8924.34,
2022-09-01,8398.04,
2022-09-05,8581.03,
2022-09-07,8555.79,
2022-09-09,8761.84,
2022-09-13,9111.68,
2022-09-16,8829.93,
2022-09-19,8978.87,
2022-09-22,9175.71,
2022-09-26,8871.39,
2022-09-28,8672.87,
2022-10-04,9665.89,
2022-10-07,9709.04,
2022-10-11,9183.53,
2022-10-14,8959.37,
2022-10-17,8911.28,
2022-10-20,8957.49,
2022-10-21,8883.86,
2022-10-31,9165.32,
2022-11-01,9375.43,
2022-11-03,9143.95,
2022-11-07,9624.03,
2022-11-11,9881.74,
2022-11-16,9879.86,
2022-11-21,9618.09,
2022-11-22,9758.72,
2022-11-24,9862.83,
2022-11-29,9822.85,
2022-11-30,9840.37,
2022-12-05,10448.41,
2022-12-07,10242.86,
2022-12-12,10608.34,
2022-12-14,10700.08,
2022-12-16,10416.45,
2022-12-21,10813.00,
2022-12-26,10703.25,
2022-12-27,10903.36,
2022-12-29,10741.55,
2023-01-04,11025.38,
2023-01-05,10735.22,
2023-01-09,10900.49,
2023-01-13,10777.38,
2023-01-16,10950.57,
2023-01-19,10706.91,
2023-01-20,10842.79,
2023-01-27,10823.59,
2023-01-31,10745.11,
2023-02-02,11324.66,
2023-02-06,10734.72,
2023-02-09,10705.73,
2023-02-10,10593.20,
2023-02-15,10394.68,
2023-02-17,10284.23,
2023-02-22,10461.97,
2023-02-24,10250.78,
2023-02-28,10023.45,
2023-03-03,10193.18,
2023-03-06,10221.88,
2023-03-09,9777.82,
2023-03-14,10411.10,
2023-03-17,10568.46,
2023-03-20,10841.01,
2023-03-24,11064.28,
2023-03-28,10956.60,
2023-03-31,11333.96,
2023-04-03,11289.43,
2023-04-06,11742.10,
2023-04-13,12005.44,
2023-04-18,11815.82,
2023-04-20,11958.63,
2023-04-24,11814.64,
2023-04-27,11779.21,
2023-05-02,11705.87,
2023-05-05,12176.95,
2023-05-08,12067.99,
2023-05-10,12095.01,
2023-05-12,11403.34,
2023-05-18,11335.94,
2023-05-22,11496.96,
2023-05-23,11216.19,
2023-05-25,11184.13,
2023-05-30,11222.23,
2023-06-02,11465.09,
2023-06-07,11341.78,
2023-06-09,11653.62,
2023-06-13,11591.07,
2023-06-15,11247.17,
2023-06-20,11459.65,
2023-06-22,10921.97,
2023-06-23,10813.30,
2023-06-27,11034.09,
2023-07-03,10986.49,
2023-07-06,11184.72,
2023-07-07,11056.86,
2023-07-12,11208.67,
2023-07-14,11804.15,
2023-07-19,11932.60,
2023-07-20,11987.04,
2023-07-25,11732.10,
2023-07-27,11888.47,
2023-08-01,11763.47,
2023-08-03,11406.70,
2023-08-07,11390.47,
2023-08-09,11129.99,
2023-08-16,11172.74,
2023-08-17,11091.30,
2023-08-21,11180.46,
2023-08-24,11629.08,
2023-08-28,11619.28,
2023-08-30,11779.21,
2023-09-01,11790.09,
2023-09-05,11418.77,
2023-09-08,11249.25,
2023-09-12,11268.25,
2023-09-14,11103.57,
2023-09-18,11394.33,
2023-09-25,11494.78,
2023-09-26,11305.95,
2023-10-04,10752.63,
2023-10-05,10805.28,
2023-10-09,11109.11,
2023-10-12,11043.59,
2023-10-13,11011.23,
2023-10-18,11356.03,
2023-10-23,11367.11,
2023-10-25,11221.14,
2023-10-31,11385.52,
2023-11-01,11172.74,
2023-11-06,11342.17,
2023-11-08,11118.21,
2023-11-13,10999.95,
2023-11-15,11355.63,
2023-11-17,11580.98,
2023-11-23,11521.30,
2023-11-24,11516.45,
2023-11-29,11869.76,
2023-12-04,12040.77,
2023-12-06,11703.10,
2023-12-11,11272.30,
2023-12-13,11166.61,
2023-12-15,11666.88,
2023-12-19,11596.42,
2023-12-22,11772.28,
2023-12-28,11757.43,
2023-12-29,11564.25,
2024-01-02,11696.77,
2024-01-04,11325.05,
2024-01-09,11353.46,
2024-01-12,11254.19,
2024-01-15,11371.96,
2024-01-18,11189.47,
2024-01-23,11121.98,
2024-01-29,11281.61,
2024-01-30,11337.23,
2024-02-02,11338.81,
2024-02-06,11051.51,
2024-02-12,11190.46,
2024-02-14,10878.22,
2024-02-16,11195.90,
2024-02-19,11211.74,
2024-02-23,11013.61,
2024-02-26,11027.86,
2024-02-28,10891.78,
2024-03-05,11378.99,
2024-03-06,11314.86,
2024-03-11,11492.50,
2024-03-13,11410.86,
2024-03-15,11645.50,
2024-03-21,11812.95,
2024-03-22,11603.25,
2024-03-31,11594.64,
2024-04-01,11851.65,
2024-04-04,12491.07,
2024-04-05,12465.34,
2024-04-12,13260.23,
2024-04-15,13036.37,
2024-04-19,13050.52,
2024-04-23,12574.60,
2024-04-26,12767.78,
2024-04-30,12572.81,
2024-05-03,12588.55,
2024-05-08,12766.69,
2024-05-10,13282.50,
2024-05-13,13116.43,
2024-05-17,13568.21,
2024-05-21,14562.62,
2024-05-23,14087.98,
2024-05-28,14588.65,
2024-05-29,14789.65,
2024-06-03,14096.59,
2024-06-05,13880.94,
2024-06-07,14297.10,
2024-06-12,13888.27,
2024-06-18,13798.31,
2024-06-20,14155.38,
2024-06-21,14187.14,
2024-06-26,13639.57,
2024-07-01,13688.46,
2024-07-02,13747.34,
2024-07-08,14303.63,
2024-07-09,14370.63,
2024-07-11,14397.45,
2024-07-18,14301.25,
2024-07-19,13899.65,
2024-07-23,13356.52,
2024-07-25,12775.69,
2024-07-30,12795.98,
2024-08-02,13120.99,
2024-08-06,12362.61,
2024-08-08,12373.30,
2024-08-12,12767.48,
2024-08-16,12794.30,
2024-08-20,13329.70,
2024-08-23,13187.59,
2024-08-26,13450.74,
2024-08-29,13315.16,
2024-09-02,12933.64,
2024-09-04,12694.05,
2024-09-06,13001.63,
2024-09-12,12986.00,
2024-09-16,13785.15,
2024-09-18,13580.68,
