# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:36:14.770217+00:00
date,fund_below_high,benchmark_below_high
2022-03-07,0.000000,
2022-03-08,-0.002675,
2022-03-11,-0.004569,
2022-03-14,-0.004950,
2022-03-16,-0.001754,
2022-03-22,0.000000,
2022-03-25,0.000000,
2022-03-28,0.000000,
2022-03-30,-0.004049,
2022-04-05,-0.001566,
2022-04-07,-0.002283,
2022-04-11,-0.012440,
2022-04-13,-0.014494,
2022-04-19,-0.009649,
2022-04-22,-0.010227,
2022-04-25,-0.008712,
2022-04-29,-0.005851,
2022-05-02,-0.005971,
2022-05-05,-0.024462,
2022-05-11,-0.016856,
2022-05-13,-0.022329,
2022-05-17,-0.019966,
2022-05-20,-0.021023,
2022-05-24,-0.019448,
2022-05-26,-0.018621,
2022-05-30,-0.019079,
2022-06-02,-0.023166,
2022-06-03,-0.021850,
2022-06-07,-0.025698,
2022-06-10,-0.022997,
2022-06-13,-0.026157,
2022-06-14,-0.024950,
2022-06-17,-0.025220,
2022-06-20,-0.021442,
2022-06-24,-0.019468,
2022-06-27,-0.017873,
2022-06-30,-0.018670,
2022-07-01,-0.015889,
2022-07-06,-0.011194,
2022-07-07,-0.009221,
2022-07-12,-0.011314,
2022-07-14,-0.007167,
2022-07-19,-0.011493,
2022-07-20,-0.011214,
2022-07-22,-0.011095,
2022-07-28,-0.007436,
2022-07-29,-0.006649,
2022-08-02,0.000000,
2022-08-08,-0.003784,
2022-08-10,-0.001195,
2022-08-12,-0.000129,
2022-08-19,-0.000040,
2022-08-23,-0.002605,
2022-08-26,-0.000515,
2022-08-30,0.000000,
2022-09-02,-0.002034,
2022-09-06,0.000000,
2022-09-07,-0.000257,
2022-09-12,0.000000,
2022-09-15,-0.004218,
2022-09-16,-0.002566,
2022-09-20,-0.006234,
2022-09-22,-0.007129,
