# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:36:20.049552+00:00
date,nav
2022-03-29,10.02040
2022-03-31,10.03620
2022-04-04,10.03210
2022-04-07,10.03890
2022-04-08,9.96910
2022-04-13,9.87860
2022-04-20,9.90350
2022-04-22,9.89470
2022-04-25,9.91070
2022-04-28,9.91710
2022-05-02,9.91430
2022-05-04,9.76940
2022-05-09,9.71220
2022-05-11,9.75500
2022-05-17,9.76270
2022-05-19,9.75690
2022-05-20,9.75930
2022-05-26,9.78220
2022-05-30,9.77720
2022-05-31,9.75880
2022-06-03,9.73630
2022-06-07,9.70550
2022-06-10,9.72960
2022-06-13,9.71530
2022-06-15,9.71550
2022-06-17,9.72820
2022-06-22,9.76520
2022-06-24,9.77230
2022-06-29,9.78370
2022-07-01,9.79740
2022-07-04,9.81580
2022-07-06,9.85240
2022-07-11,9.85540
2022-07-13,9.87990
2022-07-18,9.89130
2022-07-19,9.87600
2022-07-22,9.87590
2022-07-25,9.89040
2022-07-28,9.90310
2022-08-02,9.95490
2022-08-04,9.95950
2022-08-05,9.93000
2022-08-11,9.95470
2022-08-17,9.99360
2022-08-19,9.98950
2022-08-24,10.00290
2022-08-25,9.99740
2022-08-29,10.00080
2022-09-01,10.01320
2022-09-05,10.01940
2022-09-07,10.01080
2022-09-13,10.03090
2022-09-14,10.02460
2022-09-16,9.97280
2022-09-21,9.95720
2022-09-26,9.90300
2022-09-28,9.91610
2022-09-30,9.94390
2022-10-04,9.95760
2022-10-06,9.95710
2022-10-11,9.90510
2022-10-14,9.92000
2022-10-18,9.95320
2022-10-19,9.96120
2022-10-21,9.95180
2022-10-27,9.99060
2022-11-02,9.98920
2022-11-04,9.99310
2022-11-09,10.00410
2022-11-11,10.03910
2022-11-14,10.03840
2022-11-17,10.05890
2022-11-18,10.05700
