# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:36:20.504830+00:00
date,fund_below_high,benchmark_below_high
2024-12-09,0.000000,
2024-12-10,-0.000347,
2024-12-11,0.000000,
2024-12-12,-0.008310,
2024-12-13,-0.003621,
2024-12-16,-0.002928,
2024-12-17,-0.018470,
2024-12-18,-0.025820,
2024-12-19,-0.032963,
2024-12-20,-0.053629,
2024-12-23,-0.054579,
2024-12-24,-0.049257,
2024-12-26,-0.041233,
2024-12-27,-0.031914,
2024-12-30,-0.045764,
2024-12-31,-0.043044,
2025-01-01,-0.030302,
2025-01-02,0.000000,
2025-01-03,-0.000501,
2025-01-06,-0.022187,
2025-01-07,-0.022197,
2025-01-08,-0.026857,
2025-01-09,-0.029560,
2025-01-10,-0.041475,
2025-01-13,-0.067909,
2025-01-14,-0.049133,
2025-01-15,-0.054264,
2025-01-16,-0.048111,
2025-01-17,-0.051030,
2025-01-20,-0.056004,
2025-01-21,-0.071330,
2025-01-22,-0.072530,
2025-01-23,-0.062384,
2025-01-24,-0.076845,
2025-01-27,-0.085191,
2025-01-28,-0.073011,
2025-01-29,-0.059642,
2025-01-30,-0.063387,
2025-01-31,-0.047914,
2025-02-03,-0.028853,
2025-02-04,-0.020251,
2025-02-05,-0.021008,
2025-02-06,-0.030081,
2025-02-07,-0.023397,
2025-02-10,-0.037887,
2025-02-11,-0.060281,
2025-02-12,-0.067192,
2025-02-13,-0.069816,
2025-02-14,-0.081259,
2025-02-17,-0.086155,
2025-02-18,-0.091630,
2025-02-19,-0.092053,
2025-02-20,-0.081033,
2025-02-21,-0.104705,
2025-02-24,-0.102798,
2025-02-25,-0.098187,
2025-02-27,-0.111734,
2025-02-28,-0.146455,
2025-03-03,-0.144853,
2025-03-04,-0.156030,
2025-03-05,-0.134118,
2025-03-06,-0.127364,
2025-03-07,-0.125300,
2025-03-10,-0.135995,
2025-03-11,-0.138925,
2025-03-12,-0.134727,
2025-03-13,-0.144292,
2025-03-17,-0.136566,
2025-03-18,-0.116020,
2025-03-19,-0.112510,
2025-03-20,-0.099908,
