# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:36:20.967929+00:00
date,fund_below_high,benchmark_below_high
2025-08-28,0.000000,
2025-08-29,-0.002449,
2025-09-01,0.000000,
2025-09-02,0.000000,
2025-09-03,0.000000,
2025-09-04,-0.002812,
2025-09-05,0.000000,
2025-09-08,0.000000,
2025-09-09,0.000000,
2025-09-10,0.000000,
2025-09-11,0.000000,
2025-09-12,0.000000,
2025-09-15,-0.000265,
2025-09-16,0.000000,
2025-09-17,0.000000,
2025-09-18,0.000000,
2025-09-19,-0.000484,
2025-09-22,-0.006853,
2025-09-23,-0.005764,
2025-09-24,-0.013193,
2025-09-25,-0.017711,
2025-09-26,-0.032475,
2025-09-30,-0.030803,
2025-10-01,-0.023876,
2025-10-03,-0.018641,
2025-10-06,-0.016561,
2025-10-07,-0.015271,
2025-10-08,-0.024171,
2025-10-09,-0.016463,
2025-10-10,-0.012157,
2025-10-13,-0.016084,
2025-10-14,-0.022010,
2025-10-15,-0.016737,
2025-10-16,-0.009910,
2025-10-17,-0.008636,
2025-10-20,-0.005506,
2025-10-23,-0.006095,
2025-10-24,-0.006354,
2025-10-27,-0.000814,
2025-10-28,-0.000977,
2025-10-29,0.000000,
2025-10-30,-0.003094,
2025-10-31,-0.004937,
2025-11-03,-0.000782,
2025-11-04,-0.007504,
2025-11-06,-0.015185,
2025-11-07,-0.013235,
2025-11-10,-0.007544,
2025-11-11,-0.000509,
2025-11-12,0.000000,
2025-11-13,-0.000912,
2025-11-14,-0.004577,
2025-11-17,-0.000665,
2025-11-18,-0.006038,
2025-11-19,-0.006587,
2025-11-20,-0.004569,
2025-11-21,-0.013855,
2025-11-24,-0.022392,
2025-11-25,-0.021222,
2025-11-26,-0.006386,
2025-11-27,-0.008745,
2025-11-28,-0.007206,
2025-12-01,-0.005708,
2025-12-02,-0.008097,
2025-12-03,-0.015082,
2025-12-04,-0.014492,
2025-12-05,-0.012769,
2025-12-08,-0.028370,
2025-12-09,-0.029332,
2025-12-10,-0.030739,
2025-12-11,-0.022286,
2025-12-12,-0.012466,
2025-12-15,-0.013390,
2025-12-16,-0.018048,
2025-12-17,-0.019896,
2025-12-18,-0.023383,
2025-12-19,-0.014205,
2025-12-22,-0.004833,
2025-12-23,-0.005229,
2025-12-24,-0.008566,
2025-12-26,-0.011486,
2025-12-29,-0.015743,
2025-12-30,-0.012973,
2025-12-31,-0.000492,
2026-01-01,0.000000,
2026-01-02,0.000000,
2026-01-05,0.000000,
2026-01-06,0.000000,
2026-01-07,-0.000350,
2026-01-08,-0.017630,
2026-01-09,-0.024717,
2026-01-12,-0.022165,
2026-01-13,-0.026750,
2026-01-14,-0.024176,
2026-01-16,-0.030691,
2026-01-19,-0.032608,
2026-01-20,-0.054110,
2026-01-21,-0.058158,
2026-01-22,-0.046839,
2026-01-23,-0.056847,
2026-01-27,-0.052288,
2026-01-28,-0.035609,
2026-01-29,-0.034415,
2026-01-30,-0.039233,
2026-02-01,-0.061936,
2026-02-02,-0.047721,
2026-02-03,-0.018525,
2026-02-04,-0.010327,
2026-02-05,-0.015889,
2026-02-06,-0.016364,
2026-02-09,-0.003120,
2026-02-10,0.000000,
2026-02-11,0.000000,
2026-02-12,-0.001701,
2026-02-13,-0.015000,
2026-02-16,-0.011473,
2026-02-17,-0.009676,
2026-02-18,-0.002857,
2026-02-19,-0.017667,
2026-02-20,-0.010893,
2026-02-23,-0.009473,
2026-02-24,-0.009754,
2026-02-25,0.000000,
2026-02-26,0.000000,
2026-02-27,-0.013325,
2026-03-02,-0.023671,
2026-03-04,-0.048138,
2026-03-05,-0.029908,
2026-03-06,-0.031098,
2026-03-09,-0.053933,
2026-03-10,-0.037473,
2026-03-11,-0.049996,
2026-03-12,-0.055509,
2026-03-13,-0.085101,
2026-03-16,-0.086591,
2026-03-17,-0.074819,
2026-03-18,-0.066167,
2026-03-19,-0.096528,
2026-03-20,-0.087983,
2026-03-23,-0.118086,
2026-03-24,-0.102833,
2026-03-25,-0.084918,
2026-03-27,-0.105302,
2026-03-30,-0.121540,
2026-03-31,-0.121546,
2026-04-01,-0.107590,
2026-04-02,-0.112172,
2026-04-06,-0.107006,
2026-04-07,-0.101276,
2026-04-08,-0.067689,
2026-04-09,-0.063356,
2026-04-10,-0.048246,
2026-04-13,-0.058501,
2026-04-15,-0.039402,
2026-04-16,-0.033772,
2026-04-17,-0.025406,
2026-04-20,-0.025572,
2026-04-21,-0.024736,
2026-04-22,-0.023005,
2026-04-23,-0.029475,
2026-04-24,-0.038289,
2026-04-27,-0.022033,
2026-04-28,-0.023861,
2026-04-29,-0.019020,
2026-04-30,-0.026734,
2026-05-04,-0.017798,
2026-05-05,-0.016812,
2026-05-06,0.000000,
2026-05-07,0.000000,
2026-05-08,-0.003987,
2026-05-11,-0.018278,
2026-05-12,-0.036320,
2026-05-13,-0.029418,
2026-05-14,-0.017847,
2026-05-15,-0.024734,
2026-05-18,-0.032748,
2026-05-19,-0.030900,
2026-05-20,-0.024966,
2026-05-21,-0.020828,
2026-05-22,-0.020336,
2026-05-25,-0.010713,
2026-05-26,-0.010310,
2026-05-27,0.000000,
2026-05-29,-0.016445,
2026-06-01,-0.027241,
2026-06-02,-0.025110,
2026-06-03,-0.024401,
2026-06-04,-0.022448,
2026-06-05,-0.025841,
2026-06-08,-0.041321,
2026-06-09,-0.032674,
2026-06-10,-0.041293,
2026-06-11,-0.045550,
2026-06-12,-0.028981,
2026-06-15,-0.013647,
2026-06-16,-0.015751,
2026-06-17,-0.008788,
2026-06-18,-0.006084,
2026-06-19,-0.006712,
2026-06-22,-0.000158,
2026-06-23,-0.010619,
2026-06-24,-0.014989,
2026-06-25,-0.012463,
2026-06-29,-0.019015,
2026-06-30,-0.015636,
2026-07-01,-0.014755,
2026-07-02,-0.009206,
2026-07-03,-0.009431,
2026-07-06,0.000000,
2026-07-07,-0.006896,
2026-07-08,-0.023631,
2026-07-09,-0.020345,
2026-07-10,-0.011074,
2026-07-13,-0.013501,
2026-07-14,-0.016551,
2026-07-15,-0.012759,
2026-07-16,-0.010154,
2026-07-17,-0.011498,
2026-07-20,-0.006968,
2026-07-21,-0.002358,
2026-07-22,-0.007344,
2026-07-23,-0.011605,
2026-07-24,-0.016282,
2026-07-27,-0.005812,
2026-07-28,-0.010325,
2026-07-29,-0.003256,
2026-07-30,0.000000,
2026-07-31,0.000000,
2026-08-03,0.000000,
2026-08-04,-0.001471,
2026-08-05,0.000000,
2026-08-06,-0.000238,
2026-08-07,0.000000,
2026-08-10,-0.000434,
2026-08-11,-0.003223,
2026-08-12,-0.001941,
2026-08-13,-0.002491,
2026-08-14,-0.006863,
2026-08-17,-0.004588,
2026-08-18,-0.006410,
2026-08-19,-0.011118,
2026-08-20,-0.008867,
2026-08-21,-0.011077,
2026-08-24,-0.008890,
2026-08-25,-0.004803,
2026-08-26,-0.005526,
2026-08-27,-0.006062,
2026-08-28,-0.006081,
2026-08-31,-0.004645,
2026-09-01,-0.015460,
2026-09-02,-0.023440,
2026-09-03,-0.023294,
2026-09-04,-0.026306,
2026-09-07,-0.028387,
2026-09-08,-0.024694,
2026-09-09,-0.026977,
2026-09-10,-0.032642,
2026-09-11,-0.041535,
2026-09-15,-0.064496,
2026-09-16,-0.062612,
2026-09-17,-0.049986,
2026-09-18,-0.043815,
2026-09-21,-0.042892,
2026-09-22,-0.046180,
2026-09-23,-0.038557,
2026-09-24,-0.051011,
2026-09-25,-0.046699,
