# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:35:19.519655+00:00
stretch_ending,fund_return,benchmark_return
2016-01-01,0.085183,
2016-01-08,0.085318,
2016-01-15,0.085124,
2016-01-22,0.084447,
2016-01-29,0.084481,
2016-02-05,0.083565,
2016-02-12,0.083702,
2016-02-19,0.083791,
2016-02-26,0.083332,
2016-03-04,0.083966,
2016-03-18,0.083735,
2016-03-23,0.082584,
2016-04-01,0.082407,
2016-04-08,0.083076,
2016-04-13,0.082712,
2016-04-22,0.083142,
2016-04-29,0.082923,
2016-05-13,0.083951,
2016-05-20,0.083449,
2016-05-27,0.083235,
2016-06-03,0.083103,
2016-06-10,0.083106,
2016-06-17,0.083206,
2016-06-24,0.082636,
2016-07-01,0.082223,
2016-07-15,0.082785,
2016-07-22,0.082674,
2016-07-29,0.082927,
2016-08-05,0.082651,
2016-08-12,0.082532,
2016-08-19,0.081944,
2016-08-26,0.082458,
2016-09-02,0.082404,
2016-09-09,0.082716,
2016-09-23,0.082099,
2016-09-30,0.081987,
2016-10-07,0.081527,
2016-10-14,0.080831,
2016-10-21,0.081076,
2016-10-28,0.080821,
2016-11-04,0.080851,
2016-11-11,0.080779,
2016-11-25,0.080618,
2016-12-02,0.079810,
2016-12-09,0.079367,
2016-12-16,0.079326,
2016-12-23,0.080141,
2016-12-30,0.080644,
2017-01-06,0.079002,
2017-01-13,0.078738,
2017-01-20,0.078739,
2017-02-03,0.077795,
2017-02-10,0.077470,
2017-02-17,0.078258,
2017-02-23,0.077959,
2017-03-03,0.077770,
2017-03-10,0.078147,
2017-03-17,0.078112,
2017-03-24,0.077924,
2017-04-07,0.077949,
2017-04-13,0.076582,
2017-04-21,0.076943,
2017-04-28,0.075602,
2017-05-05,0.076111,
2017-05-12,0.076279,
2017-05-19,0.076325,
2017-05-26,0.076034,
2017-06-09,0.074718,
2017-06-16,0.074541,
2017-06-23,0.074896,
2017-06-30,0.074910,
2017-07-07,0.073688,
2017-07-14,0.073407,
2017-07-21,0.073502,
2017-07-28,0.073521,
2017-08-04,0.073249,
2017-08-18,0.073290,
2017-08-24,0.072926,
2017-09-01,0.072993,
2017-09-08,0.073421,
2017-09-15,0.073086,
2017-09-22,0.073204,
2017-09-29,0.072819,
2017-10-06,0.072919,
2017-10-18,0.072380,
2017-10-27,0.071963,
2017-11-03,0.072108,
2017-11-10,0.072222,
2017-11-17,0.071959,
2017-11-24,0.071930,
2017-12-01,0.072431,
2017-12-08,0.072299,
2017-12-22,0.072052,
2017-12-29,0.071336,
2018-01-05,0.070843,
2018-01-12,0.070740,
2018-01-19,0.070803,
2018-01-25,0.070763,
2018-02-02,0.071383,
2018-02-09,0.070732,
2018-02-23,0.069678,
2018-03-01,0.069959,
2018-03-09,0.070544,
2018-03-16,0.069596,
2018-03-23,0.069779,
2018-03-28,0.068936,
2018-04-06,0.068889,
2018-04-13,0.068777,
2018-04-20,0.068737,
2018-05-04,0.067296,
2018-05-11,0.067461,
2018-05-18,0.067364,
2018-05-25,0.067158,
2018-06-01,0.067180,
2018-06-08,0.067134,
2018-06-15,0.066809,
2018-06-22,0.066383,
2018-06-29,0.066348,
2018-07-13,0.067081,
2018-07-20,0.066964,
2018-07-27,0.066952,
2018-08-03,0.066437,
2018-08-10,0.066826,
2018-08-17,0.066277,
2018-08-24,0.066153,
2018-08-31,0.065701,
2018-09-14,0.065541,
2018-09-21,0.066308,
2018-09-28,0.066741,
2018-10-05,0.066991,
2018-10-12,0.066657,
2018-10-19,0.066651,
2018-10-26,0.067358,
2018-11-09,0.066350,
2018-11-16,0.066659,
2018-11-22,0.066806,
2018-11-30,0.066957,
2018-12-07,0.066491,
2018-12-14,0.066273,
2018-12-21,0.066162,
2018-12-28,0.066280,
2019-01-04,0.065742,
2019-01-11,0.066043,
2019-01-25,0.066281,
2019-02-01,0.065857,
2019-02-08,0.066590,
2019-02-15,0.066072,
2019-02-22,0.066070,
2019-03-01,0.065523,
2019-03-08,0.065488,
2019-03-15,0.065812,
2019-03-29,0.065434,
2019-04-05,0.064608,
2019-04-12,0.064823,
2019-04-18,0.065541,
2019-04-26,0.065569,
2019-05-03,0.065370,
2019-05-10,0.065851,
2019-05-24,0.065976,
2019-05-31,0.066871,
2019-06-07,0.066444,
2019-06-14,0.066456,
2019-06-21,0.065953,
2019-06-28,0.066043,
2019-07-05,0.066308,
2019-07-12,0.066176,
2019-07-19,0.066368,
2019-08-02,0.066124,
2019-08-09,0.066189,
2019-08-16,0.066019,
2019-08-23,0.066215,
2019-08-30,0.066035,
2019-09-06,0.065860,
2019-09-13,0.065839,
2019-09-20,0.065627,
2019-10-04,0.065560,
2019-10-11,0.065816,
2019-10-18,0.066146,
2019-10-25,0.065820,
2019-11-01,0.065588,
2019-11-08,0.065595,
2019-11-15,0.065163,
2019-11-22,0.065336,
2019-12-06,0.065151,
2019-12-13,0.064831,
2019-12-20,0.065051,
2019-12-27,0.064762,
2020-01-03,0.065310,
2020-01-10,0.065040,
2020-01-17,0.065109,
2020-01-24,0.065400,
2020-02-07,0.066094,
2020-02-14,0.065503,
2020-02-20,0.064835,
2020-02-28,0.066347,
2020-03-06,0.065550,
2020-03-13,0.065992,
2020-03-20,0.065040,
2020-03-27,0.065273,
2020-04-03,0.065832,
2020-04-17,0.064833,
2020-04-24,0.065668,
2020-04-30,0.065615,
2020-05-08,0.065735,
2020-05-15,0.065653,
2020-05-22,0.065741,
2020-05-29,0.066985,
2020-06-05,0.064983,
2020-06-12,0.065470,
2020-06-26,0.065317,
2020-07-03,0.064643,
2020-07-10,0.064294,
