# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:35:19.937290+00:00
date,fund_value_inr,benchmark_value_inr
2013-01-02,10000.00,
2013-01-10,10046.55,
2013-01-14,10120.56,
2013-01-29,10121.93,
2013-02-04,10087.56,
2013-02-11,10122.07,
2013-02-28,10106.11,
2013-03-05,10112.49,
2013-03-14,10170.77,
2013-03-22,10168.99,
2013-04-12,10264.83,
2013-04-18,10316.88,
2013-05-03,10371.74,
2013-05-15,10529.07,
2013-05-21,10550.99,
2013-05-31,10523.97,
2013-06-05,10551.68,
2013-06-19,10530.92,
2013-06-24,10473.38,
2013-07-11,10502.55,
2013-07-16,10332.60,
2013-07-24,10339.63,
2013-08-05,10402.21,
2013-08-19,10336.95,
2013-08-26,10405.96,
2013-08-30,10394.57,
2013-09-11,10477.96,
2013-09-19,10551.12,
2013-10-01,10563.81,
2013-10-10,10627.46,
2013-10-29,10667.59,
2013-11-05,10681.24,
2013-11-14,10660.82,
2013-11-20,10685.07,
2013-12-05,10751.21,
2013-12-13,10755.33,
2013-12-18,10772.90,
2014-01-06,10822.71,
2014-01-10,10831.43,
2014-01-21,10869.05,
2014-01-31,10871.68,
2014-02-10,10902.86,
2014-02-14,10900.02,
2014-03-06,10947.02,
2014-03-14,10986.09,
2014-03-24,11045.01,
2014-04-10,11064.57,
2014-04-21,11107.39,
2014-04-30,11133.91,
2014-05-09,11166.65,
2014-05-23,11228.07,
2014-05-29,11241.97,
2014-06-09,11286.88,
2014-06-20,11290.10,
2014-06-27,11306.95,
2014-07-07,11339.08,
2014-07-11,11332.12,
2014-07-23,11372.42,
2014-08-08,11395.32,
2014-08-14,11415.69,
2014-09-01,11479.88,
2014-09-09,11502.67,
2014-09-12,11507.03,
2014-09-25,11544.29,
2014-10-01,11563.59,
2014-10-22,11647.30,
2014-11-05,11715.27,
2014-11-14,11732.00,
2014-11-26,11773.59,
2014-12-02,11810.67,
2014-12-15,11846.34,
2014-12-16,11803.22,
2015-01-01,11868.40,
2015-01-09,11882.02,
2015-01-16,11978.90,
2015-02-02,12026.94,
2015-02-04,12008.66,
2015-02-12,12002.13,
2015-03-04,12097.16,
2015-03-13,12066.41,
2015-03-25,12093.53,
2015-04-06,12167.46,
2015-04-10,12158.71,
2015-04-27,12191.01,
2015-05-08,12141.19,
2015-05-11,12163.23,
2015-05-25,12233.39,
2015-06-01,12265.28,
2015-06-12,12198.99,
2015-06-19,12268.18,
2015-06-26,12250.36,
2015-07-07,12303.49,
2015-07-17,12311.93,
2015-07-30,12381.36,
2015-08-05,12390.93,
2015-08-20,12468.60,
2015-08-24,12455.81,
2015-09-01,12501.97,
2015-09-11,12503.82,
