# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:35:21.045691+00:00
date,fund_below_high,benchmark_below_high
2013-01-02,0.000000,
2013-01-09,-0.004004,
2013-01-11,-0.009009,
2013-01-25,-0.001488,
2013-01-31,-0.005952,
2013-02-11,-0.030258,
2013-02-20,-0.025794,
2013-02-28,-0.064980,
2013-03-11,-0.030754,
2013-03-22,-0.078869,
2013-04-02,-0.053075,
2013-04-12,-0.088294,
2013-04-22,-0.053075,
2013-05-13,-0.032242,
2013-05-17,0.000000,
2013-05-23,-0.035714,
2013-05-31,-0.014881,
2013-06-13,-0.055556,
2013-06-26,-0.072421,
2013-07-01,-0.032738,
2013-07-10,-0.051587,
2013-07-23,-0.036210,
2013-08-06,-0.106151,
2013-08-14,-0.073413,
2013-08-21,-0.132937,
2013-09-03,-0.135417,
2013-09-11,-0.070437,
2013-09-19,-0.046627,
2013-09-30,-0.068948,
2013-10-14,-0.012401,
2013-10-21,-0.000496,
2013-11-06,0.000000,
2013-11-13,-0.033109,
2013-11-21,-0.033589,
2013-12-02,-0.000480,
2013-12-17,-0.016478,
2013-12-20,0.000000,
2014-01-02,-0.012363,
2014-01-15,-0.001374,
2014-01-23,-0.008700,
2014-01-28,-0.045788,
2014-02-13,-0.044414,
2014-02-19,-0.021978,
2014-03-04,-0.001374,
2014-03-14,-0.006258,
2014-03-18,0.000000,
2014-04-04,-0.008089,
2014-04-16,-0.014837,
2014-04-21,0.000000,
2014-05-05,-0.018923,
2014-05-12,0.000000,
2014-05-28,-0.011103,
2014-06-02,0.000000,
2014-06-13,-0.020101,
2014-06-20,-0.021895,
2014-07-07,0.000000,
2014-07-11,-0.045219,
2014-07-22,-0.001726,
2014-08-01,-0.016179,
2014-08-08,-0.018589,
2014-08-18,0.000000,
2014-09-04,-0.002246,
2014-09-15,0.000000,
2014-09-16,-0.022348,
2014-09-30,-0.007514,
2014-10-17,-0.040388,
2014-10-22,-0.013776,
2014-10-31,0.000000,
2014-11-21,0.000000,
2014-12-02,0.000000,
2014-12-05,-0.002615,
2014-12-17,-0.052876,
2014-12-22,-0.019175,
2015-01-07,-0.026346,
2015-01-12,-0.006369,
2015-01-28,0.000000,
2015-02-09,-0.023724,
2015-02-13,0.000000,
2015-03-02,0.000000,
2015-03-10,-0.023573,
2015-03-18,-0.014667,
2015-03-27,-0.050288,
2015-04-13,-0.009691,
2015-04-21,-0.065741,
2015-04-27,-0.086695,
2015-05-07,-0.102148,
2015-05-18,-0.061289,
2015-05-29,-0.039026,
2015-06-08,-0.069932,
2015-06-16,-0.072813,
2015-06-22,-0.042693,
2015-07-09,-0.037192,
2015-07-16,-0.003667,
2015-07-28,-0.019367,
2015-07-31,0.000000,
2015-08-14,0.000000,
2015-08-24,-0.077203,
2015-08-31,-0.060567,
2015-09-07,-0.104497,
2015-09-21,-0.054848,
