# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:35:23.877977+00:00
date,nav
2013-01-02,12.99960
2013-01-07,13.01590
2013-01-18,13.05050
2013-01-28,13.08170
2013-02-01,13.09420
2013-02-15,13.13710
2013-02-25,13.16850
2013-03-01,13.18120
2013-03-15,13.22650
2013-03-22,13.24950
2013-04-12,13.32500
2013-04-22,1335.84230
2013-05-06,1340.33880
2013-05-10,1341.61150
2013-05-20,1344.80530
2013-05-31,1348.35180
2013-06-10,1351.54900
2013-06-14,1352.79540
2013-06-28,1357.22790
2013-07-08,1360.46650
2013-07-16,1360.23170
2013-07-26,1362.73080
2013-08-08,1368.62200
2013-08-19,1373.35350
2013-08-23,1375.17720
2013-09-06,1381.31220
2013-09-16,1385.58460
2013-09-20,1387.45510
2013-10-07,1395.15790
2013-10-11,1396.96770
2013-10-21,1401.04760
2013-11-01,1405.46920
2013-11-18,1411.99220
2013-11-22,1413.44670
2013-12-02,1417.03730
2013-12-13,1421.03400
2013-12-20,1423.59720
2013-12-30,1427.27140
2014-01-10,1431.36850
2014-01-20,1435.00020
2014-01-31,1438.88970
2014-02-13,1443.60690
2014-02-24,1447.65790
2014-03-03,1450.28410
2014-03-14,1454.45110
2014-03-27,1459.56180
2014-04-02,1462.15410
2014-04-11,1465.75670
2014-04-28,1472.37950
2014-05-09,1476.64110
2014-05-19,1480.38120
2014-05-30,1484.47100
2014-06-09,1488.18560
2014-06-13,1489.73910
2014-06-27,1495.33630
2014-07-07,1499.18430
2014-07-11,1500.69950
2014-07-25,1506.04730
2014-08-04,1509.83810
2014-08-14,1513.68690
2014-09-01,1520.36670
2014-09-05,1521.86760
2014-09-15,1525.65560
2014-09-26,1529.85840
2014-10-07,1534.11990
2014-10-22,1539.82860
2014-10-28,1542.11090
2014-11-10,1547.11280
2014-11-21,1551.30340
2014-12-01,1555.07120
2014-12-12,1559.22350
2014-12-19,1561.88620
2014-12-29,1565.66110
2015-01-09,1569.87610
2015-01-22,1574.79610
2015-01-27,1576.70100
2015-02-06,1580.52200
2015-02-23,1587.16310
2015-02-27,1588.76220
2015-03-09,1592.83560
2015-03-20,1597.28590
2015-04-06,1604.70490
2015-04-10,1606.40910
2015-04-20,1610.50290
2015-04-30,1614.61420
2015-05-11,1618.96110
2015-05-22,1623.30610
2015-06-01,1627.22600
2015-06-12,1631.51620
2015-06-22,1635.38530
2015-06-26,1636.90390
2015-07-06,1640.73190
2015-07-17,1644.90820
2015-07-27,1648.69400
2015-08-07,1652.89180
2015-08-14,1655.51160
2015-08-24,1659.26040
2015-09-04,1663.43710
2015-09-11,1666.08310
2015-09-28,1672.56870
2015-10-05,1675.38450
2015-10-16,1679.62610
2015-10-26,1683.52790
2015-11-06,1687.82980
2015-11-16,1691.69950
2015-11-30,1697.02190
2015-12-04,1698.51800
2015-12-18,1703.71650
2015-12-28,1707.36450
2016-01-08,1711.40840
2016-01-18,1715.10100
2016-01-22,1716.57620
2016-02-02,1720.69110
2016-02-12,1724.48890
2016-02-22,1728.32570
