# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:35:25.026908+00:00
date,fund_value_inr,benchmark_value_inr
2013-01-02,10000.00,
2013-01-07,10019.20,
2013-01-14,10043.51,
2013-01-29,10070.06,
2013-02-01,10059.95,
2013-02-11,10081.52,
2013-02-28,10093.16,
2013-03-08,10122.53,
2013-03-14,10150.68,
2013-03-26,10182.48,
2013-04-03,10220.87,
2013-04-17,10260.93,
2013-04-29,10348.41,
2013-05-15,10428.96,
2013-05-21,10441.34,
2013-05-31,10418.94,
2013-06-05,10439.98,
2013-06-19,10453.92,
2013-06-27,10403.02,
2013-07-11,10442.52,
2013-07-16,10302.00,
2013-07-24,10266.43,
2013-08-08,10329.71,
2013-08-19,10268.49,
2013-08-29,10292.25,
2013-09-05,10387.31,
2013-09-13,10410.04,
2013-09-19,10468.19,
2013-10-08,10584.73,
2013-10-15,10569.86,
2013-10-21,10596.37,
2013-11-05,10629.12,
2013-11-14,10592.76,
2013-11-20,10618.36,
2013-12-05,10684.97,
2013-12-13,10684.49,
2013-12-18,10706.99,
2013-12-30,10727.04,
2014-01-09,10755.28,
2014-01-21,10803.63,
2014-01-31,10790.54,
2014-02-10,10827.48,
2014-02-14,10817.75,
2014-03-04,10859.13,
2014-03-11,10902.63,
2014-03-24,10957.25,
2014-04-10,10986.31,
2014-04-21,11031.71,
2014-04-29,11056.34,
2014-05-08,11093.16,
2014-05-16,11139.45,
2014-06-02,11194.46,
2014-06-09,11243.02,
2014-06-19,11241.84,
2014-06-27,11258.03,
2014-07-07,11292.06,
2014-07-14,11271.91,
2014-07-24,11326.97,
2014-08-06,11318.53,
2014-08-20,11365.33,
2014-08-28,11382.27,
2014-09-08,11422.30,
2014-09-11,11428.42,
2014-09-25,11472.49,
2014-10-01,11493.83,
2014-10-22,11591.01,
2014-11-05,11685.69,
2014-11-14,11707.75,
2014-11-26,11761.85,
2014-12-02,11827.98,
2014-12-15,11884.14,
2014-12-17,11828.46,
2014-12-31,11889.76,
2015-01-09,11915.29,
2015-01-16,12028.00,
2015-02-02,12090.16,
2015-02-09,12062.81,
2015-02-12,12060.70,
2015-03-04,12154.16,
2015-03-13,12125.26,
2015-03-25,12157.51,
2015-04-06,12221.19,
2015-04-08,12204.67,
2015-04-28,12254.66,
2015-05-07,12193.69,
2015-05-15,12219.62,
2015-05-25,12292.18,
2015-06-01,12319.21,
2015-06-12,12252.17,
2015-06-19,12336.43,
2015-06-29,12294.74,
2015-07-06,12366.96,
2015-07-15,12380.23,
2015-07-29,12457.07,
2015-08-05,12471.58,
2015-08-20,12549.65,
2015-08-24,12526.93,
2015-09-01,12578.35,
2015-09-11,12575.51,
2015-09-24,12616.08,
2015-10-05,12731.50,
2015-10-13,12747.72,
2015-10-28,12800.51,
2015-11-09,12788.55,
2015-11-16,12822.59,
2015-11-30,12818.53,
2015-12-03,12842.44,
2015-12-15,12824.27,
2015-12-23,12845.23,
2016-01-11,12911.90,
2016-01-15,12892.69,
2016-02-01,12939.77,
2016-02-03,12925.02,
2016-02-11,12937.85,
2016-02-25,12894.91,
2016-03-02,12969.60,
2016-03-14,13010.71,
2016-03-30,13093.89,
2016-04-12,13219.65,
2016-04-21,13216.54,
2016-05-06,13241.57,
2016-05-12,13262.28,
2016-05-20,13269.84,
2016-06-03,13299.75,
2016-06-06,13311.85,
2016-06-15,13328.18,
2016-06-24,13357.98,
2016-07-04,13406.75,
2016-07-13,13496.84,
2016-08-01,13638.26,
2016-08-03,13620.58,
2016-08-11,13713.38,
2016-08-23,13702.11,
2016-09-07,13794.80,
2016-09-20,13809.05,
2016-09-29,13859.43,
2016-10-05,13958.67,
2016-10-17,13950.42,
2016-10-28,13954.01,
2016-11-08,13970.56,
2016-11-16,14162.11,
2016-11-24,14293.19,
2016-12-06,14281.40,
2016-12-15,14153.60,
2016-12-28,14149.84,
2017-01-02,14219.28,
2017-01-12,14256.61,
2017-01-19,14249.14,
2017-02-07,14310.57,
2017-02-09,14198.85,
2017-02-28,14247.05,
2017-03-09,14225.55,
2017-03-10,14216.43,
2017-03-30,14323.68,
2017-04-07,14316.92,
2017-04-17,14371.63,
2017-04-28,14378.87,
2017-05-12,14413.62,
2017-05-15,14436.83,
2017-05-31,14494.04,
2017-06-08,14577.07,
2017-06-13,14601.00,
2017-06-27,14632.03,
2017-07-03,14613.79,
2017-07-11,14667.48,
2017-07-24,14745.84,
2017-07-28,14745.76,
2017-08-08,14788.27,
2017-08-24,14805.85,
2017-09-04,14852.95,
2017-09-11,14864.31,
2017-09-22,14844.38,
2017-10-03,14888.10,
2017-10-12,14901.86,
2017-10-24,14934.38,
2017-11-06,14957.80,
2017-11-14,14948.48,
2017-11-20,14984.58,
2017-11-27,14971.74,
2017-12-08,14995.77,
2017-12-22,14963.60,
2017-12-28,14948.71,
2018-01-08,15001.88,
2018-01-16,14975.07,
2018-02-01,14985.22,
2018-02-12,15040.17,
2018-02-22,15028.04,
2018-03-01,15038.17,
2018-03-12,15109.83,
2018-03-26,15167.45,
2018-04-05,15297.84,
2018-04-17,15284.44,
2018-04-26,15200.37,
2018-05-08,15252.25,
2018-05-17,15162.78,
2018-05-28,15216.64,
2018-05-30,15232.65,
2018-06-07,15189.81,
2018-06-21,15292.78,
2018-06-28,15288.45,
2018-07-04,15330.53,
2018-07-17,15392.51,
2018-07-27,15416.93,
2018-08-02,15456.14,
2018-08-16,15479.51,
2018-08-27,15517.23,
2018-09-03,15522.74,
2018-09-24,15468.18,
2018-09-25,15446.74,
2018-10-08,15540.85,
2018-10-22,15595.87,
2018-10-31,15608.39,
2018-11-06,15639.81,
2018-11-20,15712.86,
2018-12-05,15818.57,
2018-12-11,15809.57,
2018-12-18,15840.37,
2018-12-26,15900.98,
2019-01-14,16000.12,
2019-01-21,16000.93,
2019-01-28,16037.44,
2019-02-06,16016.10,
2019-02-13,16135.15,
2019-02-27,16123.77,
2019-03-13,16226.34,
2019-03-14,16272.27,
2019-04-02,16424.10,
2019-04-08,16381.51,
2019-04-23,16376.47,
2019-05-03,16390.00,
2019-05-16,16456.93,
2019-05-20,16505.82,
2019-05-27,16600.60,
2019-06-11,16635.46,
2019-06-20,16713.45,
2019-07-01,16692.69,
2019-07-08,16813.66,
2019-07-16,16921.59,
2019-07-26,16892.88,
2019-08-02,17003.78,
2019-08-14,16990.16,
2019-08-26,17114.86,
2019-09-09,17173.02,
2019-09-20,17142.50,
2019-09-27,17158.97,
2019-10-03,17234.51,
2019-10-18,17303.33,
2019-11-01,17416.17,
2019-11-08,17414.79,
2019-11-18,17474.03,
2019-12-03,17535.52,
2019-12-11,17454.36,
2019-12-13,17446.46,
2019-12-23,17531.54,
2020-01-09,17609.94,
2020-01-14,17599.33,
2020-01-29,17685.99,
2020-02-05,17739.20,
2020-02-10,17892.81,
2020-02-28,17906.01,
2020-03-09,17962.33,
2020-03-19,17480.33,
2020-03-27,17925.69,
2020-04-13,17836.43,
2020-04-23,18138.66,
2020-04-30,18031.43,
2020-05-08,18183.16,
2020-05-22,18414.30,
2020-06-02,18386.58,
2020-06-12,18455.38,
2020-06-19,18586.22,
2020-07-01,18726.02,
2020-07-10,18889.26,
2020-07-20,18927.05,
2020-07-29,18902.46,
2020-08-05,18944.56,
2020-08-19,18910.09,
2020-08-27,18811.64,
2020-09-03,18956.28,
2020-09-15,18862.21,
2020-09-23,18913.07,
2020-09-30,18904.04,
2020-10-14,19091.11,
2020-10-20,19127.32,
2020-11-04,19156.41,
2020-11-06,19193.51,
2020-11-13,19212.76,
2020-11-26,19313.75,
2020-12-11,19317.31,
2020-12-21,19325.36,
2020-12-24,19339.17,
2021-01-08,19443.70,
2021-01-18,19301.31,
2021-01-29,19332.07,
2021-02-03,19241.84,
2021-02-16,19272.20,
2021-02-24,19227.64,
2021-03-04,19267.44,
2021-03-17,19213.39,
2021-04-06,19433.89,
2021-04-16,19412.92,
2021-04-27,19508.07,
2021-05-03,19538.58,
2021-05-14,19567.25,
2021-05-25,19615.62,
2021-06-02,19612.10,
2021-06-14,19685.13,
2021-06-17,19634.00,
2021-07-06,19616.56,
2021-07-08,19658.83,
2021-07-20,19728.40,
2021-08-03,19780.40,
2021-08-06,19776.65,
2021-08-18,19845.35,
2021-08-27,19861.97,
2021-09-03,19909.41,
2021-09-23,19943.06,
2021-09-27,19901.42,
2021-10-07,19895.48,
2021-10-25,19933.49,
2021-11-01,19918.07,
2021-11-09,19965.73,
2021-11-17,19970.65,
2021-11-30,20007.34,
2021-12-08,20035.87,
2021-12-22,20011.95,
2021-12-31,20037.17,
2022-01-10,20036.38,
2022-01-14,20065.79,
2022-01-31,20105.98,
2022-02-04,20071.88,
2022-02-14,20181.19,
2022-02-28,20192.18,
2022-03-09,20156.78,
2022-03-21,20223.12,
2022-03-31,20253.88,
2022-04-07,20268.43,
2022-04-13,20173.28,
2022-05-02,20236.99,
2022-05-06,20044.42,
2022-05-17,20047.79,
2022-05-25,20086.10,
2022-06-07,20072.95,
2022-06-16,20097.62,
2022-06-30,20157.22,
2022-07-06,20216.06,
2022-07-12,20221.86,
2022-07-27,20256.72,
2022-08-02,20308.16,
2022-08-17,20367.61,
2022-08-25,20365.31,
2022-09-09,20418.57,
2022-09-13,20427.86,
2022-09-23,20362.19,
2022-10-04,20417.37,
2022-10-14,20394.51,
2022-10-27,20475.46,
2022-11-04,20481.57,
2022-11-15,20575.18,
2022-11-23,20601.45,
2022-12-05,20660.04,
2022-12-09,20658.62,
2022-12-19,20699.20,
2022-12-28,20714.40,
2023-01-06,20746.16,
2023-01-19,20821.69,
2023-01-30,20822.52,
2023-02-07,20873.29,
2023-02-17,20859.43,
2023-02-27,20865.28,
2023-03-09,20896.43,
2023-03-20,21020.79,
2023-03-28,21043.51,
2023-04-10,21168.39,
2023-04-19,21209.36,
2023-05-03,21308.14,
2023-05-11,21325.75,
2023-05-22,21414.47,
2023-06-06,21462.42,
2023-06-09,21445.74,
2023-06-19,21480.53,
2023-06-30,21485.11,
2023-07-07,21494.79,
2023-07-18,21584.91,
2023-07-28,21579.76,
2023-08-10,21626.73,
2023-08-17,21606.62,
2023-08-28,21689.44,
2023-09-12,21728.58,
2023-09-14,21774.60,
2023-09-26,21801.34,
2023-10-09,21752.71,
2023-10-17,21822.72,
2023-11-01,21869.50,
2023-11-08,21939.59,
2023-11-17,21994.03,
2023-11-24,21984.08,
2023-12-12,22059.57,
2023-12-18,22159.97,
2023-12-22,22163.78,
2024-01-05,22210.30,
2024-01-15,22290.18,
2024-01-25,22313.95,
2024-02-02,22400.57,
2024-02-14,22406.73,
2024-02-22,22471.21,
2024-03-11,22573.82,
2024-03-20,22575.67,
2024-03-31,22654.76,
2024-04-12,22655.57,
2024-04-19,22658.95,
2024-05-06,22785.45,
2024-05-10,22793.18,
2024-05-27,22914.84,
2024-06-04,22903.64,
2024-06-07,22944.97,
2024-06-24,23041.24,
2024-06-28,23045.66,
2024-07-12,23134.97,
2024-07-24,23205.84,
2024-08-05,23314.70,
2024-08-09,23323.74,
2024-08-20,23379.61,
2024-08-30,23425.03,
2024-09-10,23481.35,
2024-09-16,23546.65,
2024-10-01,23651.94,
2024-10-07,23627.13,
2024-10-15,23716.57,
2024-10-28,23723.81,
2024-11-11,23802.06,
2024-11-14,23791.99,
2024-11-28,23858.88,
2024-12-04,23952.38,
2024-12-20,23967.80,
2024-12-27,23987.37,
2025-01-07,24064.48,
2025-01-13,24033.09,
2025-01-27,24178.35,
2025-02-06,24250.39,
2025-02-10,24232.70,
2025-02-25,24300.92,
2025-03-04,24308.82,
2025-03-13,24366.67,
2025-03-26,24512.62,
2025-04-02,24666.90,
2025-04-21,24893.51,
2025-04-28,24908.02,
2025-05-09,24931.77,
2025-05-21,25189.02,
2025-05-30,25215.46,
2025-06-06,25328.45,
2025-06-13,25201.82,
2025-06-27,25254.12,
2025-07-07,25352.02,
2025-07-11,25355.45,
2025-07-23,25432.69,
2025-08-05,25477.13,
2025-08-13,25414.48,
2025-08-26,25419.19,
2025-08-28,25458.06,
2025-09-16,25533.55,
2025-09-24,25583.66,
2025-10-06,25690.07,
2025-10-10,25710.86,
2025-10-20,25773.88,
2025-10-30,25790.76,
2025-11-11,25878.23,
2025-11-21,25897.80,
2025-12-05,25982.33,
2025-12-10,25918.33,
2025-12-23,25918.87,
2025-12-29,25984.00,
2026-01-12,26010.88,
2026-01-21,25941.30,
2026-02-02,25990.11,
2026-02-05,26080.48,
2026-02-16,26141.15,
2026-03-02,26190.13,
2026-03-11,26197.83,
2026-03-27,26105.79,
2026-04-02,26075.89,
2026-04-15,26280.37,
2026-04-30,26227.90,
2026-05-07,26323.21,
2026-05-18,26208.69,
2026-05-21,26184.54,
2026-06-04,26324.65,
2026-06-10,26524.83,
2026-06-23,26618.10,
2026-07-06,26815.94,
2026-07-14,26727.64,
2026-07-24,26770.83,
2026-07-29,26822.08,
2026-08-14,26933.84,
2026-08-21,26819.57,
2026-09-02,26823.39,
2026-09-09,26921.10,
2026-09-23,26904.36,
2026-09-25,26850.18,
