# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:35:24.444617+00:00
date,nav
2023-03-29,1000.43090
2023-03-31,999.45610
2023-04-03,999.95900
2023-04-06,1006.67520
2023-04-11,1006.38380
2023-04-12,1007.60810
2023-04-17,1007.28660
2023-04-19,1008.59940
2023-04-20,1009.16280
2023-04-24,1014.66730
2023-04-26,1014.77250
2023-04-28,1015.09750
2023-05-03,1022.41070
2023-05-04,1022.00410
2023-05-08,1020.75960
2023-05-11,1022.63170
2023-05-15,1025.17650
2023-05-16,1028.04300
2023-05-17,1028.38710
2023-05-22,1028.39100
2023-05-23,1026.72170
2023-05-24,1028.23710
2023-05-29,1027.23560
2023-05-30,1027.90870
2023-06-01,1030.42750
2023-06-05,1030.22870
2023-06-06,1031.38130
2023-06-08,1029.12660
2023-06-09,1028.36330
2023-06-13,1031.00050
2023-06-15,1029.40970
2023-06-16,1029.70660
2023-06-21,1029.08980
2023-06-22,1028.13140
2023-06-26,1030.29320
2023-06-28,1031.13950
2023-06-30,1027.78820
2023-07-03,1028.15500
2023-07-05,1029.24950
2023-07-07,1026.70540
2023-07-11,1030.92550
2023-07-12,1029.97300
2023-07-14,1031.92430
2023-07-18,1035.21170
2023-07-20,1033.70530
2023-07-24,1035.08470
2023-07-25,1033.74420
2023-07-26,1034.74960
2023-07-28,1030.87420
2023-08-01,1032.33730
2023-08-03,1029.97970
2023-08-04,1030.07860
2023-08-08,1032.11050
2023-08-10,1033.20500
2023-08-14,1031.72640
2023-08-17,1029.96250
2023-08-18,1032.46480
2023-08-23,1035.01520
2023-08-25,1035.02410
2023-08-28,1037.13560
2023-08-29,1037.74390
2023-09-01,1037.72560
2023-09-04,1037.08620
2023-09-06,1036.31200
2023-09-07,1038.55050
2023-09-11,1035.77490
2023-09-12,1035.69660
2023-09-14,1042.47320
2023-09-18,1039.69160
2023-09-21,1042.09440
2023-09-22,1040.26060
2023-09-27,1041.30150
2023-09-29,1038.29260
2023-10-04,1037.16600
2023-10-05,1038.84810
2023-10-09,1029.33950
2023-10-11,1033.05960
2023-10-12,1033.49570
2023-10-16,1033.00900
2023-10-17,1034.29360
2023-10-19,1031.84980
2023-10-23,1031.91310
2023-10-25,1034.99640
2023-10-27,1033.81810
2023-11-01,1035.79160
2023-11-02,1037.39380
2023-11-06,1039.03870
2023-11-08,1041.87970
2023-11-09,1042.60310
2023-11-13,1041.01010
2023-11-15,1045.83160
2023-11-17,1047.03100
2023-11-21,1044.72390
2023-11-23,1046.99160
2023-11-24,1045.50820
2023-11-29,1047.48520
2023-12-01,1045.66320
2023-12-04,1047.57580
2023-12-06,1049.29310
2023-12-07,1050.08160
2023-12-11,1048.60650
2023-12-13,1050.46550
2023-12-15,1057.39880
2023-12-18,1057.99620
2023-12-20,1057.63690
2023-12-21,1058.23890
2023-12-26,1058.58100
2023-12-28,1058.02260
2023-12-29,1060.00450
2024-01-03,1058.77360
2024-01-04,1058.55030
2024-01-05,1058.19690
2024-01-09,1061.39780
2024-01-12,1063.43430
2024-01-15,1065.90130
2024-01-17,1065.91650
2024-01-18,1064.69720
2024-01-23,1066.24650
2024-01-25,1066.40700
2024-01-29,1067.17400
2024-01-31,1068.81510
2024-02-02,1075.47900
2024-02-05,1073.54280
2024-02-07,1074.71790
2024-02-09,1073.34620
2024-02-12,1074.56790
2024-02-14,1073.62510
2024-02-16,1075.99160
2024-02-21,1079.27480
2024-02-23,1078.17700
2024-02-26,1079.15500
2024-02-27,1078.97850
2024-02-29,1078.95060
2024-03-04,1080.63560
2024-03-06,1081.42780
2024-03-11,1085.00630
2024-03-12,1084.49390
2024-03-14,1083.64450
2024-03-18,1081.93070
2024-03-20,1081.72350
2024-03-21,1084.35960
2024-03-26,1083.27190
2024-03-28,1086.43460
2024-03-31,1086.84270
2024-04-02,1084.28680
2024-04-04,1085.80730
2024-04-08,1083.22800
2024-04-10,1085.78900
2024-04-16,1082.16900
2024-04-18,1083.00120
2024-04-19,1080.56330
2024-04-23,1084.97790
2024-04-25,1083.24780
2024-04-26,1084.28760
2024-04-30,1084.65330
2024-05-06,1090.80220
2024-05-07,1090.99430
2024-05-08,1090.11500
2024-05-10,1090.01300
2024-05-14,1093.06940
2024-05-16,1095.18760
2024-05-17,1094.25530
2024-05-22,1098.60380
2024-05-27,1100.00400
2024-05-29,1098.59130
2024-05-30,1099.04530
2024-06-03,1102.91250
2024-06-04,1097.48150
2024-06-06,1100.86300
2024-06-10,1100.82160
2024-06-12,1102.29300
2024-06-13,1103.74030
2024-06-18,1104.91430
2024-06-19,1105.96090
2024-06-24,1107.65880
2024-06-25,1107.19460
2024-06-26,1106.60110
2024-06-28,1106.16830
2024-07-02,1107.20930
